date,open,close,high,low,volume
2002-08-13,14.9000,14.5900,15.2100,14.5500,4819100
2005-07-21,43.7000,43.2900,44.0400,42.9000,14438000
2015-11-19,117.6400,118.7800,119.7500,116.7600,43295820
2015-11-18,115.7600,117.2900,117.4900,115.5000,46674697
2008-11-14,93.7600,90.2400,93.9900,90.0000,50188100
2008-11-13,89.8700,96.4400,96.4400,86.0200,66217400
2008-11-12,92.4300,90.1200,93.2400,90.0100,42106300
2008-11-11,94.8100,94.7700,97.1700,92.2600,43733500
2008-11-10,100.1700,95.8800,100.4000,94.5000,40136500
2015-11-11,116.3700,116.1100,117.4200,115.2100,45217971
2015-11-10,116.9000,116.7700,118.0700,116.0610,59127931
2015-11-13,115.2000,112.3400,115.5700,112.2700,45812403
2015-11-12,116.2600,115.7200,116.8200,115.6500,32525579
2005-11-07,60.8500,60.2300,61.6700,60.1400,22815400
2015-11-17,114.9200,113.6900,115.0500,113.3200,27583101
2015-11-16,111.3800,114.1750,114.2400,111.0000,38106701
2004-05-27,28.4800,28.1700,28.6000,27.8200,4213800
2004-05-26,28.3100,28.5100,28.7800,28.0000,5753000
2004-05-25,27.5000,28.4100,28.5100,27.2900,5713900
2004-05-24,27.2500,27.3400,27.9000,27.1100,4207200
2017-08-01,149.1000,150.0500,150.2200,148.4100,24725526
2004-05-21,26.9000,27.1100,27.2000,26.7300,3212400
2004-05-20,26.6300,26.7100,27.0000,26.4700,3505300
2000-06-13,91.1900,94.5000,94.6900,88.1900,3138000
2000-06-12,96.3700,91.1900,96.4400,90.8700,2592300
2002-08-12,14.9000,14.9900,15.0200,14.6900,3210100
2000-06-16,93.5000,91.1900,93.7500,89.0600,2710400
2000-06-15,91.2500,92.3700,93.3700,89.0000,2219400
2004-05-28,28.0800,28.0600,28.2700,27.8000,2602100
2016-03-23,106.4800,106.1300,107.0700,105.9000,25703495
2001-06-19,20.8500,20.1900,21.4000,20.0100,5733700
2007-08-24,130.5300,135.3000,135.3700,129.8100,32565500
2011-12-01,382.5400,387.9300,389.0000,380.7500,13827900
2009-10-06,187.7400,190.0100,190.0100,187.3000,21610200
2009-10-07,189.7600,190.2500,190.5500,189.0320,16631000
2008-08-20,174.7725,175.8400,176.9400,173.6100,18105400
2017-02-23,137.3800,136.5300,137.4800,136.3000,20788186
2008-11-17,88.4800,88.1400,90.5500,87.2600,41518800
2006-11-27,92.5100,89.5400,93.1590,89.5000,38387000
2006-01-03,72.3320,74.7500,74.7500,72.2500,28829800
2006-08-16,67.1000,67.9800,68.0700,66.3300,27903000
2015-12-14,112.1800,112.4800,112.6800,109.7900,65003609
2015-12-15,111.9400,110.4900,112.8000,110.3500,53323105
2015-12-16,111.0700,111.3400,111.9900,108.8000,56238467
2015-12-17,112.0200,108.9800,112.2500,108.9800,44772827
2002-03-05,24.1500,23.5300,24.4300,23.4000,4905400
2015-12-11,115.1900,113.1800,115.3900,112.8510,46886161
2013-01-07,522.0000,523.9000,529.3000,515.2000,17291300
2002-03-06,23.4800,24.0700,24.3400,22.9300,4039400
2013-01-09,522.5000,517.1000,525.0054,515.9900,14557300
2013-01-08,529.2100,525.3100,531.8900,521.2500,16382400
2015-12-18,108.9100,106.0300,109.5200,105.8100,96453327
2017-08-04,156.0700,156.3900,157.4000,155.6900,20349532
