date,open,close,high,low,volume
2014-06-30,56.5100,56.4400,56.8900,56.1001,6477200
2014-10-16,55.8000,52.9000,55.9000,52.8400,61236695
2016-08-23,67.2600,66.1700,67.4900,65.9900,10227754
2015-11-19,61.2200,60.5500,61.7300,60.1400,5571205
2015-11-18,60.2600,60.9900,61.0600,59.8501,5470204
2015-04-16,61.8000,62.5900,62.9100,61.6500,9815626
2015-11-11,62.2000,60.8600,62.2700,60.5700,8212540
2015-11-10,63.3300,62.3000,63.6200,62.2775,6897363
2015-11-13,60.0100,59.8600,60.9700,58.8900,7831816
2015-11-12,60.7900,60.2300,61.7297,60.1500,7765449
2013-09-05,43.0300,43.5100,43.6600,43.0000,3355500
2013-09-04,42.6000,43.1300,43.1400,42.5900,3190700
2013-04-17,42.1400,42.2400,42.4300,41.4200,5046200
2015-11-16,59.7400,60.0100,60.8100,59.5600,6965093
2017-01-05,63.3800,63.7700,63.9500,63.0300,5359393
2016-05-17,62.4400,60.2500,62.7899,58.5000,31527592
2014-09-19,59.8400,59.0600,59.9300,59.0100,13986900
2014-09-18,59.6000,59.4500,59.6500,59.1000,10980500
2013-02-12,35.7700,35.4200,35.9000,35.2000,7473800
2014-09-15,57.7500,57.9300,58.1500,57.4700,8632700
2014-09-17,58.8900,59.6200,60.0200,58.7530,14389400
2014-09-16,57.6300,58.6000,58.7000,57.4600,9112400
2014-09-11,57.0000,57.8500,57.8800,56.8500,9943900
2014-09-10,56.9000,57.1900,57.3200,56.5100,8740300
2013-12-24,52.7800,52.3600,52.7900,52.2750,1747000
2015-09-10,59.3600,59.5800,60.1300,58.8900,9306601
2015-09-11,59.6200,59.3500,59.7600,58.9700,9365126
2015-09-14,59.4300,58.9400,59.6200,57.5400,9095647
2015-09-15,58.9800,59.2000,59.4400,58.3700,10474719
2015-09-16,59.5000,59.5100,59.6400,58.6250,8044172
2015-09-17,59.5600,59.8600,60.9200,59.3900,10281713
2015-09-18,59.4200,61.2200,61.8300,58.9700,28957042
2013-01-30,36.8100,36.9300,37.5250,36.8100,10841800
2014-08-13,52.9700,53.6000,53.6400,52.7500,9029400
2013-07-02,41.5800,42.2100,42.5690,41.5800,4365900
2013-02-15,36.9300,37.5800,37.8100,36.9300,13296300
2013-02-26,37.6000,37.0900,37.6000,36.9600,4463000
2013-03-28,40.2600,40.7800,40.8000,39.7750,7263400
2015-07-09,68.4800,67.9700,68.9200,67.8000,6516775
2015-07-08,67.7900,67.6600,68.4400,67.5800,5027199
2013-05-02,45.6800,43.9900,45.6800,43.8600,9649400
2017-11-10,95.3500,95.4300,95.9400,93.5600,6124339
2015-07-07,68.4200,68.5600,68.7900,67.3200,7821618
2015-07-06,67.5300,68.2200,69.0010,67.4900,17029081
2015-07-01,67.9000,68.5100,68.6000,67.6800,7694912
2017-07-31,70.5200,69.9100,70.5800,69.8300,7740218
2013-09-09,43.8800,44.4300,44.4400,43.5000,3287500
2013-04-19,42.5100,42.3900,42.5800,42.2000,6493200
2013-04-18,42.3700,42.3200,42.6400,41.8900,5009000
2014-07-31,53.1300,52.3400,53.4000,52.3000,15479900
2013-02-27,36.9700,36.7300,36.9800,36.4000,12238400
2017-05-26,66.1400,66.0600,66.4100,65.8500,4064896
2015-12-14,53.7100,55.4400,55.4750,53.2400,9419071
2015-12-15,56.1500,56.3900,57.0000,55.9100,6990048
2015-12-16,56.6700,57.6300,57.6900,56.2000,6282513
2015-12-17,57.6600,56.3800,57.9300,56.3500,7848920
2015-12-10,56.0000,55.7800,56.6500,55.6500,6736772
2016-03-18,55.5900,56.5700,56.6000,54.8000,11029792
2013-07-12,43.9300,45.0500,45.1100,43.8000,5693900
2016-03-15,56.6500,55.6200,56.9300,55.1280,5779576
2016-03-14,57.6700,57.2100,57.7300,56.9700,4650827
2016-03-17,56.4600,55.3200,56.4600,54.4100,8307931
2016-03-16,55.5800,56.3100,56.5400,55.2500,6245419
2016-03-11,56.4000,57.7300,57.8700,56.3500,6537430
2016-03-10,56.5600,56.2300,57.3700,55.3188,5627812
2013-05-29,44.8900,43.8800,45.1800,43.7900,6908400
2016-10-18,60.6200,61.5500,61.6200,60.4000,6655071
2014-03-31,51.3400,51.4000,51.7000,50.9500,4813100
2016-08-30,64.5400,64.1600,64.7100,64.1050,5531774
2016-08-31,64.2100,64.1000,64.4500,63.5000,6750010
2013-04-11,43.4200,43.2000,43.7050,43.1100,6494100
2015-05-18,65.7900,65.6100,65.9100,65.1400,7858040
2013-04-10,42.6500,43.6200,43.7700,42.5000,7809200
2014-01-02,52.1200,51.9800,52.3300,51.5200,4569100
2013-09-03,43.0000,42.5900,43.2800,42.3100,2925600
2013-08-09,44.9000,44.7100,45.0000,44.4700,3290800
2013-03-11,37.2500,37.6700,38.1500,37.0800,4614400
2013-03-12,37.7000,37.1700,38.3000,37.0500,6523900
2013-03-13,37.2000,37.1700,37.5899,37.0400,3710600
2013-03-14,37.4300,37.5600,37.5900,36.8600,9859700
2013-03-15,37.4400,38.5000,38.5400,37.2800,12208300
2016-01-12,54.4700,54.8400,54.9701,53.5700,6799265
2013-03-18,38.0500,38.1600,38.4900,37.9900,5178700
2013-04-15,42.8700,41.4400,43.0300,41.4100,7152500
2015-06-11,68.6700,68.0400,68.6700,67.6500,7552238
2015-06-10,67.6600,68.2400,68.4400,67.5400,7349344
2015-06-12,67.8900,67.0500,67.9300,66.5900,8249850
2015-06-15,66.6600,66.9100,67.0500,66.1000,7028434
2015-11-17,60.1000,60.3800,61.7300,59.7300,8405288
2015-06-17,66.9700,67.7700,67.9900,66.8800,7377100
2015-06-16,66.7200,66.7700,67.4000,66.6200,5201034
2015-06-19,68.5000,69.4800,69.7500,68.5000,9960684
2015-06-18,67.7900,68.9800,69.0700,67.7900,9078824
2013-04-16,41.6700,42.4500,42.5300,41.1300,6998000
2015-01-21,63.1000,62.7000,63.4500,62.2800,7979249
2014-03-07,52.2500,51.4600,52.5000,51.0100,5860700
2016-01-11,55.8600,53.8800,55.9800,52.8300,10483232
2014-04-29,50.9400,51.3700,51.5270,50.7600,5601300
2014-04-28,49.5500,50.8700,50.9200,49.5000,7932200
2015-01-22,63.2000,62.9800,63.4500,61.8800,8941629
2014-04-25,50.2100,49.1400,50.9800,48.9500,7289100
2014-04-24,50.1300,49.3200,50.1300,49.0000,6628800
2014-04-23,50.1400,50.1400,50.2600,49.3900,6578300
2014-04-22,49.4900,50.0100,50.4200,49.3500,6613200
2014-04-21,48.5000,49.4300,49.4500,48.4000,4445000
2017-06-16,70.8000,71.0500,71.1200,70.4900,9020326
2016-09-08,63.9600,64.0600,64.1500,63.4400,8238846
2016-09-09,63.2200,63.3600,64.0000,63.0600,8848534
2016-09-06,64.7000,64.6100,64.8950,64.0500,6286293
2016-09-07,64.3700,64.9700,65.1400,64.2900,5714320
2016-09-01,64.1000,64.0300,64.1400,63.6050,5126674
2016-09-02,64.3700,64.1200,64.4800,63.8737,4100767
2016-12-05,59.6000,60.8600,61.2200,59.5700,10227657
2016-12-06,60.7600,61.6200,61.7200,60.3300,7610418
2016-12-07,60.2600,59.9900,60.6500,58.8000,13095613
2017-04-11,64.4300,64.1800,64.4300,63.3200,5404529
2016-12-01,60.8300,59.1600,60.8300,58.7500,8266058
2017-04-13,64.2400,64.1300,64.7200,64.0800,3896680
2017-04-12,64.1700,64.3700,64.4100,63.6700,6121973
2017-01-30,59.9100,60.4300,60.4700,59.2700,7792453
2017-01-31,60.0100,61.1100,61.3150,59.7500,8149664
2015-02-17,58.9500,58.7200,59.0000,57.9000,12789265
2017-04-19,63.9000,63.4500,63.9300,63.3100,4057127
2017-04-18,64.0300,63.6500,64.0800,63.1200,4755959
2015-02-13,57.3500,58.0500,58.1000,56.9000,11303213
2015-02-12,57.4000,57.0500,57.5800,56.1600,11940929
2014-07-01,56.4200,56.8900,57.2000,56.1700,6869800
2014-07-02,57.4600,58.1100,58.1100,56.9200,6198500
2014-07-03,57.9000,58.2200,58.2700,57.6500,3828900
2014-07-07,57.9100,57.4000,58.1500,57.3900,4736300
2014-07-08,56.6800,55.6900,56.9700,55.4800,9297300
2014-07-09,55.5600,55.0100,55.6400,54.8200,11516300
2016-02-25,55.1700,56.2000,56.2300,54.4300,7076286
2016-05-23,59.7500,59.3000,59.8400,59.1300,6468921
2013-05-16,46.0600,46.2100,46.9000,46.0100,4605300
2013-12-20,52.7700,52.5900,53.0100,52.2900,12471800
2016-05-20,59.6300,59.6900,60.0500,59.0300,11259353
2013-05-17,46.0300,47.1700,47.3400,45.8500,5244800
2013-12-27,52.9200,52.5500,53.0500,52.3800,2354100
2013-05-08,45.0100,43.4900,45.0500,43.3900,6973200
2016-07-13,64.8100,64.7700,65.0400,64.2500,7684151
2013-12-26,52.5900,52.9900,53.0600,52.3400,2401500
2017-08-24,71.7200,72.1100,72.3100,71.4000,4028279
2017-08-25,72.2200,72.4800,72.7800,72.2100,3852441
2017-03-09,64.1400,64.5000,64.7200,64.0500,6957213
2017-03-08,63.7500,64.1400,64.6800,63.5000,7049660
2016-05-31,62.7100,62.9300,63.4900,62.6400,7147942
2017-08-21,69.9200,70.7000,70.8300,69.9100,3961680
2017-08-22,70.9100,71.7500,71.8800,70.7600,3499957
2017-08-23,71.2900,71.5200,71.9000,71.2700,3002092
2017-05-23,65.4400,65.8400,66.2600,65.4300,4676455
2017-05-22,65.5500,65.4400,65.6200,64.8000,5475547
2017-03-01,62.1600,62.8300,62.9300,61.9500,7737382
2014-09-12,57.8500,57.8800,58.7700,57.7400,15556200
2017-03-07,63.1400,63.6900,64.1400,62.9700,9637663
2017-03-06,63.0000,63.5500,63.8500,62.8800,6837019
2017-05-25,66.0600,66.3200,66.5700,65.8000,4030788
2017-05-24,65.7900,65.9300,66.1200,65.5700,3174632
2014-08-08,52.7200,52.8200,52.8900,52.2900,13117700
2014-05-30,53.9800,54.3300,54.4300,53.8900,4025600
2013-05-10,44.2100,45.0100,45.0100,44.2000,4455800
2014-08-01,52.0300,52.4800,52.6400,51.7500,11593200
2016-05-18,59.8700,60.4600,60.8000,59.5600,10622035
2014-08-05,52.7700,52.7900,53.1900,52.4466,12783800
2014-08-04,52.5800,53.2900,53.4000,52.3700,10456300
2014-08-07,51.5900,52.4300,52.7100,51.4200,17171700
2014-08-06,51.4800,52.0500,52.6600,51.3700,18126200
2016-11-23,58.8100,60.1800,60.3800,58.6000,5580284
2016-11-22,60.4900,58.9300,60.5600,58.6100,8516828
2016-11-21,60.7000,60.4200,60.8000,60.2000,6328304
2016-12-08,60.0200,60.9000,60.9800,59.0900,9192264
2014-10-28,60.7600,60.9300,61.1300,60.4400,9412487
2015-05-20,65.9200,65.8900,66.2000,65.3900,9955983
2014-10-27,60.3500,60.4900,60.9800,60.2100,10010862
2016-11-29,59.7000,61.5900,62.1000,59.5200,11858682
2016-11-28,59.1300,59.4600,59.9400,59.0100,6274639
2014-10-22,56.9600,56.9000,57.4500,56.2600,16048209
2014-10-23,58.1000,59.5200,59.7000,57.8800,14729311
2014-10-20,52.5600,54.4100,54.5900,52.2500,17953937
2014-10-21,55.3000,56.2900,56.4450,55.0200,17522116
2014-11-14,63.9800,64.0000,64.0000,63.1300,4684199
2014-11-17,64.0800,65.0400,65.4100,64.0300,7117082
2014-11-10,61.9900,63.7900,64.0600,61.8700,9513038
2014-11-11,63.6900,63.8500,64.2000,63.5000,5041212
2014-11-12,63.5600,63.7600,64.0200,63.5600,5366690
2014-11-13,64.2500,63.6300,64.7901,63.4000,4510242
2015-08-31,64.1400,62.4100,64.3100,62.2545,15580921
2014-11-18,64.7800,66.0500,66.2400,64.7800,6432239
2014-11-19,65.8800,65.5000,66.1480,65.2200,5710889
2013-05-14,44.0900,45.3500,45.5200,44.0900,5760300
2013-05-07,44.5000,44.9100,45.0000,44.4201,3745600
2013-08-20,43.2900,42.9700,43.4800,42.8500,2803000
2013-08-21,42.8200,42.3100,42.8800,42.2500,4118800
2013-08-22,42.4000,42.9200,43.1000,42.2900,4077700
