date,open,close,high,low,volume
2002-08-13,47.4900,45.6400,47.9200,45.4800,14460400
2005-07-21,80.1900,81.9500,82.0000,79.3800,25462000
2015-11-19,159.8900,159.4900,161.5200,158.8300,2040962
2015-11-18,158.1100,160.9200,161.1200,156.3500,2975793
2008-11-14,59.0100,58.2300,60.0000,57.8900,12293400
2008-11-13,55.4400,59.6000,59.6200,55.3100,13623200
2008-11-12,57.5300,55.4700,58.1500,55.2000,9322600
2008-11-11,58.2200,58.4300,59.3100,57.6100,8427600
2008-11-10,60.7400,58.7800,60.9000,57.5500,7846800
2015-11-11,159.2600,156.8600,159.5700,156.7600,1923926
2015-11-10,160.2500,158.3700,161.1650,158.0500,2871340
2015-11-13,150.6800,151.5500,153.5200,148.0000,3855017
2015-11-12,155.9400,150.9800,157.7000,150.8200,4767155
2005-11-07,79.6100,79.8900,80.4000,78.9800,7518000
2015-11-17,154.9100,157.6000,159.1299,153.6975,3642647
2015-11-16,152.0200,154.5000,154.7800,151.1000,2443154
2004-05-27,54.9000,54.9800,55.1400,54.4500,10801800
2004-05-26,54.5410,54.7700,54.8700,54.1600,8049000
2004-05-25,53.4800,54.6300,54.6300,53.4000,9457800
2004-05-24,54.1988,53.5500,54.3100,53.2600,9161200
2017-08-01,174.8100,174.1300,175.1100,173.6600,2042695
2004-05-21,54.1900,53.9000,54.3300,53.4000,9411500
2004-05-20,54.7000,53.5500,54.8300,53.3700,15449200
2000-06-13,60.8800,65.6900,65.8800,60.8800,6875300
2000-06-12,63.2500,61.0000,63.9400,60.0000,9648700
2002-08-12,47.0100,47.9800,48.2300,46.7000,9703200
2000-06-16,67.5000,68.0000,69.1300,65.5000,8687700
2000-06-15,65.1700,66.4400,66.7500,64.3800,5766900
2004-05-28,55.2000,54.7000,55.2100,54.4900,5533200
2016-03-23,150.3100,148.7600,151.9100,148.1400,3107554
2001-06-19,67.4900,66.9700,68.0000,66.7000,6065500
2007-08-24,50.0200,50.2700,50.4700,50.0000,8330100
2011-12-01,57.7000,58.0000,58.0600,57.4100,10555600
2009-10-06,58.2800,58.8600,59.3700,58.1700,5389200
2009-10-07,58.6700,58.5400,58.8725,58.3000,4616100
2008-08-20,64.0500,63.5700,64.2900,63.4000,9584100
2017-02-23,172.7500,174.0100,174.0100,171.8900,2191424
2008-11-17,57.1400,56.0900,58.3800,55.9000,9900700
2006-11-27,72.1600,71.8800,72.4900,71.5100,5007400
2006-01-03,79.3600,80.3600,81.2400,78.1000,9114400
2006-08-16,66.0800,66.6100,67.0000,65.6100,10830100
2015-12-14,155.9800,158.1100,158.3400,153.4300,2801651
2015-12-15,161.6500,162.6150,164.4480,161.5600,5365581
2015-12-16,164.3100,164.5800,165.2300,162.1000,3923581
2015-12-17,164.5800,161.4300,164.9900,159.8100,3699409
2002-03-05,59.4400,58.9400,60.2500,58.5200,8645400
2015-12-11,157.8200,155.1500,158.7800,154.7900,3005700
2013-01-07,88.4900,88.5300,88.8000,87.7600,2573300
2002-03-06,59.1900,60.5900,60.6100,58.9000,12320100
2013-01-09,88.3400,88.6700,88.9244,88.2100,3372500
2013-01-08,88.4400,88.1500,88.6800,87.4400,5170700
2015-12-18,160.5000,158.8000,161.8200,158.6200,6227035
2017-08-04,174.2700,173.8500,174.8200,172.9000,1894653
2005-07-25,80.3900,81.0700,81.7700,80.2100,14166200
2014-03-31,122.5000,123.3400,124.5299,122.1940,4761200
2002-06-11,42.1000,38.7500,42.2500,38.2000,24301900
2002-06-10,41.5000,41.8100,42.3500,41.2000,11662600
2001-10-31,57.3100,56.8200,58.5500,56.7100,8416900
2005-05-31,62.6400,62.5800,62.9800,62.5800,5421800
2002-06-12,38.6600,38.1700,39.1600,36.7300,25015900
2003-03-13,55.8100,57.0000,57.0000,55.4000,14876200
2008-11-19,56.3800,53.6400,56.8200,53.5500,9804900
2003-03-12,55.0900,55.1600,55.5000,54.1700,11470500
2008-11-18,55.9300,56.3400,56.7700,53.4500,12197100
2003-03-11,55.2100,55.0000,55.4900,54.8100,11075800
2014-02-11,120.0000,121.2400,121.2500,118.8500,2502700
2001-09-10,62.8500,64.1300,65.0600,62.5500,6669100
2012-06-18,71.2400,72.0200,72.1400,71.0800,4015600
2000-06-19,67.6900,70.3800,70.4400,67.0600,6660500
2012-03-19,67.2000,68.0500,68.3000,67.0000,2938700
2009-02-12,57.5100,58.4100,58.4600,57.1000,8704400
2016-09-08,170.0700,170.9700,171.3600,169.7300,2611176
2016-09-09,169.6900,166.5500,169.7600,166.5300,3131402
2010-05-06,56.4300,54.7500,56.4900,52.8000,9744800
2010-05-07,54.5300,54.4600,55.2800,53.5150,10580700
2016-09-06,169.8500,170.8400,171.7700,169.3900,1919702
2016-09-07,169.7800,170.6300,171.4400,169.2000,2013680
2012-03-15,68.2400,68.2600,68.3000,67.7750,3891200
2016-09-01,170.5500,170.1300,170.5600,168.6200,1876141
2016-09-02,170.5500,169.7700,171.0500,168.9100,2083804
2012-03-16,68.0900,67.3800,68.4900,67.3500,8288800
2004-09-01,58.8300,59.3400,59.5000,58.6500,6057400
2017-04-17,161.3400,162.1100,162.5200,161.2600,2364877
2009-02-11,57.4400,58.0100,58.2000,57.1500,7494800
2017-04-11,162.8900,163.1100,163.4000,161.5600,1990300
2017-04-10,163.8500,162.7900,164.2400,162.6200,1772029
2017-04-13,163.2800,161.6100,163.6300,161.3300,2568793
2017-04-12,164.0800,163.0500,164.1000,162.1600,2248673
2001-08-31,64.2900,64.3000,64.5600,63.5100,6568700
2017-04-19,162.1000,161.2600,162.6400,161.1300,2344063
2017-04-18,161.9300,161.2500,161.9300,160.2800,2532118
2009-02-17,56.8100,56.4100,57.3600,56.2500,8469900
2004-09-07,59.9600,59.9200,60.0000,59.4500,7382800
2004-09-02,59.4800,59.9100,59.9900,58.9800,5363400
2005-06-30,61.0300,60.4600,61.1200,60.3000,6538800
2005-10-11,78.0700,76.3400,78.4200,76.0900,9572200
2005-10-10,77.3400,76.7000,77.9700,76.4400,6026500
2005-10-13,73.9900,75.8200,76.2600,73.5100,12690000
2005-10-12,76.4800,74.7700,76.5000,74.5200,9491300
2005-10-14,76.1600,75.7500,76.6500,75.5200,7432100
2005-10-17,75.1200,75.4000,75.6700,74.2500,9518900
2005-10-19,75.9900,78.0900,78.0900,75.4600,12088200
2005-10-18,75.7100,75.8700,77.2800,75.6000,8331900
2017-08-24,169.2800,169.9500,170.6900,168.5700,1769375
2017-08-25,170.8200,169.7400,171.5700,169.4000,1471916
2017-03-09,178.0500,178.9200,179.1200,177.0700,2505311
2017-03-08,177.2500,177.7800,178.7600,177.1400,2320991
2016-05-31,157.4200,157.9500,158.4300,156.8554,3204387
2017-08-21,167.4600,168.1600,168.6400,167.0100,1386655
2017-08-22,168.8600,170.0700,170.9400,168.8300,1913034
2017-08-23,169.6600,169.0000,169.9400,168.7600,1259000
2017-03-03,178.4600,180.2000,180.5300,177.5500,2900888
2017-03-02,177.7200,178.0700,178.8600,176.8200,3493003
2017-03-01,178.0000,178.2400,179.6800,175.7600,3532349
2000-06-14,66.2500,64.3100,66.2500,63.6300,4743400
2017-03-07,177.4000,177.3800,178.5900,176.2800,3328877
2017-03-06,179.5500,179.4600,180.3400,178.1600,3280087
2002-10-08,45.0600,45.7900,46.3400,45.0100,22168900
2014-08-08,125.2200,126.9500,127.4100,125.1400,2206800
2008-04-23,41.9400,42.6900,42.8500,41.9300,4690600
2016-05-19,149.4500,148.6700,150.2250,147.1200,3023612
2014-08-01,126.1700,125.5500,127.3000,124.7600,4542700
2003-04-01,57.9200,58.5200,58.9000,57.8010,9856000
2001-04-26,58.7000,55.8900,59.0600,54.8500,10395700
2014-08-05,127.5100,127.8800,129.0000,126.6200,3749100
2014-08-04,129.0000,128.6500,129.3870,126.5200,6403700
2014-08-07,127.4100,125.7500,128.8900,125.5100,3065200
2014-08-06,127.2600,127.0900,128.7800,126.5300,2579000
2011-05-06,57.8000,57.6300,58.0700,57.3400,4535300
2011-05-05,57.5700,57.4200,57.8500,57.2800,7204300
2011-05-04,57.2600,57.6800,57.9000,57.2600,7241600
2011-05-03,57.1200,57.5000,57.8000,57.0700,6500000
2011-05-02,56.9800,57.3800,57.4500,56.6700,8552200
2002-10-04,45.9500,43.6600,46.0700,43.5800,18705900
2003-04-02,59.4800,59.7300,59.8000,59.1500,10091500
2011-05-09,57.3800,57.6900,57.9400,57.3200,3624900
2014-11-14,161.1000,157.6800,161.2800,156.6150,4505723
2014-11-17,156.9100,159.1400,160.2000,156.6600,2662429
2014-11-10,161.0100,163.0900,163.2000,160.5000,3160895
2014-11-11,163.0800,162.4200,163.8600,161.5180,3015732
2014-11-12,161.7700,161.9300,163.0750,161.0400,3528893
2014-11-13,162.1100,160.8500,162.3500,159.5800,3636942
2003-09-15,68.5400,68.5000,69.0030,68.2700,5492600
2004-09-08,60.0100,59.9800,60.4500,59.8100,9358300
2014-11-18,158.9100,162.2400,162.3900,158.3700,3135567
2014-11-19,161.2800,162.6400,163.2800,160.3700,2422850
2015-12-24,163.7000,163.5500,164.3600,162.2200,943079
2016-11-17,147.7300,147.3600,148.4500,146.5100,3957285
2014-12-19,168.9100,170.1700,171.7300,167.4010,7856281
2014-12-18,166.1000,168.4800,168.5900,164.5800,3511800
2012-04-12,66.9600,66.9200,67.2300,66.7100,2721300
2012-04-13,66.6700,65.5900,66.6700,65.5500,4543300
2000-12-27,66.5000,65.6900,66.8800,65.0600,7020200
2012-04-16,65.5900,66.2600,66.3300,65.3700,3033000
2012-04-17,66.6200,67.3500,67.5600,66.5100,3820700
2014-12-11,166.7000,166.0800,169.6400,165.6000,3175216
2014-12-10,169.0000,165.3900,169.7500,165.0000,3490159
2014-12-12,163.1400,164.5300,167.7100,162.3000,3376207
2014-12-15,164.7700,159.6000,164.9900,159.4010,4428254
2014-12-17,159.4600,163.4800,164.0100,158.6000,3417914
2014-12-16,157.6800,159.4400,163.9600,157.5000,4492752
2000-09-05,76.0000,72.5000,76.0000,71.8800,7469600
2000-09-07,69.6900,72.0000,73.1300,69.6300,7854100
2000-09-06,72.5000,68.0600,73.0000,68.0000,9203300
2000-09-01,76.5600,76.4400,76.6300,74.1900,4917600
2009-10-30,54.1100,53.6200,54.8400,52.9100,12034000
2000-09-08,72.8100,74.9400,76.3100,71.1900,8089800
2011-06-30,58.1000,58.3500,58.4000,57.9900,5069900
2011-10-03,54.6600,53.9000,55.3400,53.8700,7462900
2011-10-05,54.6100,55.9300,56.0400,53.9500,7484200
2011-10-04,53.3700,54.3500,54.4700,52.8500,8517100
2011-10-07,56.8500,56.2700,56.8500,55.9500,4418200
2011-10-06,55.9200,56.8300,56.8500,55.2600,4828000
2006-07-03,65.7900,65.7900,66.0300,65.5600,2164400
2006-07-05,65.1300,65.4900,65.9400,65.0800,6239300
2016-11-30,145.7000,144.0700,146.3200,144.0700,4296889
2006-07-07,66.2000,66.3900,67.1800,65.9700,8631100
2006-07-06,65.7400,65.9400,66.4500,65.5900,5520200
2004-02-23,63.5700,63.1200,63.7300,63.0200,5835700
2005-07-14,69.0500,70.4300,70.5800,69.0000,11082500
2011-08-08,51.6600,49.8800,52.4400,49.8800,13911500
2013-10-29,118.3000,118.2690,118.3800,116.7000,2655600
2013-10-28,115.9900,118.3300,118.9600,115.8000,3322000
2011-08-09,50.0100,50.5500,50.7900,48.5000,16124400
2013-10-25,116.6200,116.3200,116.6500,115.1700,2002200
2013-10-24,116.2800,116.2000,117.5300,115.7500,3234200
2013-10-21,114.9600,113.6400,115.4700,112.7600,2683400
2013-10-23,114.9400,115.6700,116.1500,114.1000,3365200
2013-10-22,114.3800,116.2100,116.6400,113.4000,3665700
2012-07-17,77.6200,78.7600,78.9000,77.6200,4568600
2012-07-16,76.5600,77.2650,77.7300,76.5100,3175800
2012-07-11,74.7800,76.0900,76.1700,74.5900,7086100
2012-07-10,74.8500,74.9300,75.5000,74.7300,5896200
2012-07-13,75.7600,76.9600,77.0000,75.7400,3234900
2012-07-12,75.0800,75.8100,76.2400,74.4500,4817800
2000-01-05,59.1900,59.9400,60.2500,58.2500,15071400
2000-01-04,62.0000,58.1300,64.1300,57.6900,15052600
2006-04-28,67.7000,67.7000,67.9000,66.9300,6756200
2000-01-06,60.7500,61.1300,61.9400,60.2500,11118400
2012-07-19,79.4000,79.6350,80.2500,78.8800,4894800
2012-07-18,78.5900,79.6200,79.9000,78.1700,4587600
2000-01-03,60.0600,60.0600,60.0600,60.0600,22914900
2001-02-08,71.0600,69.8100,71.2500,69.4400,4383400
2003-07-24,70.0400,68.3000,70.3800,68.2200,8797900
2003-07-25,68.6200,68.7100,68.8370,67.6300,9158400
2003-07-22,69.5100,68.9300,70.2240,68.6300,11158000
2003-07-23,70.5500,69.7200,70.5550,68.5100,12696900
2003-07-21,70.4400,69.0800,70.4900,68.5000,9111400
2010-07-08,51.5100,52.2300,52.2600,51.0200,6758600
2000-02-11,65.3100,62.6300,66.3100,61.9400,8105000
2014-08-21,132.9600,132.5300,133.0099,132.0400,1774300
2003-07-28,69.0000,69.8900,70.1200,68.4900,7095400
2003-07-29,69.9900,69.2900,70.1000,68.2700,8150400
2001-03-20,63.7500,61.3100,63.9400,61.2500,8771200
2010-09-08,52.4700,52.9400,53.1400,52.2600,4900300
2014-08-20,131.9700,132.6800,133.2700,131.8500,1748900
2011-08-01,55.0200,53.7700,55.2800,53.0500,8875500
2010-09-02,52.5900,52.5100,52.6600,52.1775,3272800
2014-08-27,137.9400,137.8300,138.5700,136.6900,2693200
2010-09-01,51.6100,52.5900,52.7518,51.2800,4772000
2010-09-07,52.6500,52.5100,52.8700,52.3100,2760100
2016-06-08,158.4800,158.0000,158.9400,157.5400,2475994
2009-06-26,51.4400,52.8000,52.9500,51.0100,31114200
2009-06-25,50.9900,51.9200,52.1500,50.6500,8177600
2012-12-03,88.9200,88.4000,89.5900,88.1100,3712100
2012-12-04,88.6600,88.3310,88.8600,88.1200,2745500
2012-12-05,88.5500,89.0100,89.4200,87.7700,3425400
2012-12-06,89.0500,88.5400,89.1400,88.2000,3975500
2012-12-07,88.7800,88.3200,88.8000,87.6300,3526400
2008-06-04,44.0000,44.5000,44.5800,43.7800,7161000
2008-06-05,44.5500,44.9300,45.0600,44.3000,8024700
2008-06-06,44.7800,44.2400,45.0800,44.2100,7834900
