date,open,close,high,low,volume
2002-08-13,14.3000,13.9300,14.6700,13.9100,5234400
2005-07-21,38.9600,37.9500,39.7500,37.7600,11055600
2015-11-19,664.9900,661.2700,672.8600,659.0000,4705237
2015-11-18,646.5100,663.5400,664.8800,646.3700,4469769
2008-11-14,43.6100,41.7500,44.5000,41.5000,11949700
2008-11-13,41.4000,44.9300,45.0000,38.4800,16935300
2008-11-12,43.9900,41.5600,45.4400,40.9000,14768600
2008-11-11,47.1000,46.3000,48.0600,44.8100,9939200
2008-11-10,49.9800,48.4600,50.6800,46.8600,8964900
2015-11-11,663.2500,673.2500,675.9600,663.2500,5387309
2015-11-10,651.0100,659.6800,660.0000,647.2620,3489483
2015-11-13,663.5700,642.3500,667.0000,640.4500,6261076
2015-11-12,673.0000,665.6000,675.6400,664.2200,4284678
2005-11-07,41.0800,41.3900,41.4700,40.5500,3386100
2015-11-17,650.6500,643.3000,653.2500,641.0000,4316843
2015-11-16,640.9200,647.8100,649.9900,622.2900,7435934
2004-05-27,45.2600,47.6200,47.8300,44.8500,14175200
2004-05-26,43.8600,44.6900,45.0000,43.6700,7397600
2004-05-25,41.7500,43.6200,43.8600,41.3900,7222000
2004-05-24,41.2900,41.6300,42.3000,41.1700,5073900
2017-08-01,996.1100,996.1900,1006.4000,991.5800,4421395
2004-05-21,41.2800,41.1700,41.4800,40.5500,5272900
2004-05-20,41.6500,40.9800,41.9700,40.8000,5926300
2000-06-13,48.1900,49.0000,49.5000,46.2500,4788500
2000-06-12,52.1900,48.4400,52.1900,47.0000,3986000
2002-08-12,14.1400,14.4600,14.4900,13.9500,3503300
2000-06-16,47.2500,46.0000,47.4400,45.3800,3070900
2000-06-15,47.0000,46.3100,47.9400,45.3100,3554700
2004-05-28,47.2700,48.5000,48.6800,46.8800,10629100
2016-03-23,561.0000,569.6300,572.4800,558.1000,3983720
2001-06-19,12.4500,11.3600,12.6500,11.2000,6109500
2007-08-24,76.8000,79.2500,79.4000,76.6900,5665700
2011-12-01,191.8500,197.1300,198.0750,191.5900,7327700
2009-10-06,89.3300,90.9100,91.0800,88.4000,6963700
2009-10-07,91.5000,93.9700,94.4800,91.1500,7445100
2008-08-20,82.0000,82.1300,83.2500,81.2000,5950600
2017-02-23,857.5700,852.1900,860.8600,848.0000,3461984
2008-11-17,39.9100,39.6900,41.2600,39.0700,10711800
2006-11-27,42.1800,40.8500,42.8000,40.7200,8972800
2006-01-03,47.4700,47.5800,47.8500,46.2500,7582200
2006-08-16,27.9700,27.9500,28.1400,27.5200,7636600
2015-12-14,641.7500,657.9100,658.5850,635.2700,4361273
2015-12-15,665.0300,658.6400,671.5000,657.3500,4753415
2015-12-16,663.5600,675.7700,677.3500,659.3200,3964470
2015-12-17,680.0000,670.6500,682.5000,670.6500,3681645
2002-03-05,16.0000,15.9700,16.6800,15.5300,8809700
2015-12-11,651.2300,640.1500,657.8800,639.6200,5474420
2013-01-07,262.9700,268.4592,269.7250,262.6700,4910000
2002-03-06,14.8200,16.3300,16.5900,14.8200,14262700
2013-01-09,268.1700,266.3500,269.5000,265.4010,2265600
2013-01-08,267.0700,266.3800,268.9800,263.5670,3010700
2015-12-18,668.6500,664.1400,676.8400,664.1300,6841304
2017-08-04,989.6800,987.5800,991.6700,982.0000,2704026
2005-07-25,38.0000,37.9500,39.0400,37.8500,5470000
2014-03-31,342.4000,336.3650,346.2900,334.0600,4297500
2002-06-11,17.3100,17.1400,17.7900,17.1300,5520800
2002-06-10,17.9000,17.3000,18.1200,17.0200,11082400
2001-10-31,6.7900,6.9800,7.0200,6.5500,7741500
2005-05-31,35.3600,35.5100,36.0400,35.2900,4930200
2002-06-12,17.0500,17.0800,17.1500,16.2600,7331200
2003-03-13,23.6800,24.4200,24.5900,23.1300,11208900
2008-11-19,37.9700,35.8400,39.0000,35.7500,12521100
2003-03-12,22.5100,23.3600,23.3800,22.4900,5573100
2008-11-18,39.7300,38.4400,40.6600,36.0800,15049200
2003-03-11,22.7500,22.7800,22.9200,22.5200,4034100
2014-02-11,361.8420,361.7900,363.6100,356.2500,3222100
2001-09-10,8.4000,8.6300,8.6500,8.0600,5833600
2012-06-18,217.2800,222.6600,223.7600,216.7300,3369600
2000-06-19,45.5000,45.3100,45.8800,43.5000,5151500
2012-03-19,183.4500,185.5200,186.6800,183.0000,3903400
2009-02-12,63.2500,63.9600,64.2500,61.7100,8095500
2016-09-08,783.8900,784.0600,786.5000,781.4400,2030511
