date,open,close,high,low,volume
2002-08-13,35.2000,34.8300,36.4300,34.6000,4572400
2005-07-21,53.8000,54.3300,54.5500,53.7400,5895600
2015-11-19,72.1000,72.7400,72.8800,72.0650,4851343
2015-11-18,71.1300,72.1500,72.1700,71.1300,5815951
2008-11-14,20.0000,19.9900,21.5000,19.6600,21674900
2008-11-13,19.8500,20.7800,21.6400,16.5500,47721200
2008-11-12,20.9600,20.0500,21.2500,19.7500,35778000
2008-11-11,23.4700,22.4000,23.5000,22.0000,19968600
2008-11-10,25.9200,23.9800,26.0400,23.5000,11937400
2015-11-11,73.4600,72.9100,73.6000,72.7600,4719547
2015-11-10,73.1200,73.3700,73.5800,73.1000,4961113
2015-11-13,71.6900,71.2000,72.2081,71.1000,4486331
2015-11-12,72.7200,71.9800,72.7900,71.8230,6112290
2005-11-07,49.7300,49.8000,50.0000,49.4700,5483200
2015-11-17,71.9200,71.1100,72.0300,70.9600,5867721
2015-11-16,70.8300,71.6600,71.6600,70.2100,5244587
2004-05-27,50.6000,51.0200,51.1800,50.4900,5499900
2004-05-26,50.1500,50.2500,50.5800,49.9000,4301200
2004-05-25,49.8000,50.4600,50.5000,49.5100,4436100
2004-05-24,49.8200,49.9300,50.0000,49.6600,3713100
2017-08-01,85.7200,85.2400,85.8400,85.1400,3083365
2004-05-21,49.3400,49.6300,49.9700,49.3300,4809500
2004-05-20,48.8500,49.3300,49.4400,48.8500,3815900
2000-06-13,53.7500,54.5000,54.6900,52.8100,2826500
2000-06-12,53.7500,53.6500,54.5000,53.5000,2644400
2002-08-12,35.2500,35.4800,35.9300,34.6300,4368300
2000-06-16,55.5000,51.5000,55.6900,51.3800,6841100
2000-06-15,56.3800,55.5000,56.8800,53.9400,4454100
2004-05-28,50.9200,50.7000,50.9500,50.4700,2601300
2016-03-23,60.7000,60.6300,60.9100,60.2800,3605059
2001-06-19,38.5400,38.6400,39.0900,38.4000,6855900
2007-08-24,59.9000,60.8900,60.9800,59.7200,4785000
2011-12-01,47.7000,47.7900,48.0900,47.3850,6534000
2009-10-06,33.5400,33.5200,33.7500,32.8800,12523400
2009-10-07,33.2600,33.9900,34.0500,33.2200,8742000
