date,open,close,high,low,volume
2002-08-13,39.9000,37.2300,39.9100,37.1000,9662900
2005-07-21,66.1800,65.7100,66.3100,65.6900,4864100
2015-11-19,148.7900,149.2400,149.4800,148.2600,2492572
2015-11-18,146.2400,148.2800,148.3850,146.2300,3099834
2008-11-14,42.0100,41.0400,43.7600,40.8000,8908900
2008-11-13,42.0300,43.1600,43.3200,39.0700,13997600
2008-11-12,43.2300,42.5200,44.0900,42.0000,7739500
2008-11-11,45.5000,43.9700,45.5000,42.7500,7928100
2008-11-10,47.3000,46.1400,48.3100,45.5940,5304200
2015-11-11,145.2000,144.9900,145.8300,144.5200,1589325
2015-11-10,145.2800,145.1500,146.1400,144.0300,2524124
2015-11-13,142.3300,142.5900,143.8900,141.8600,3063568
2015-11-12,143.0000,142.5400,144.4000,141.5900,3796076
2005-11-07,65.4800,65.6900,65.7100,65.3000,2994000
2015-11-17,145.2900,146.0800,146.5931,144.6380,3038322
2015-11-16,142.5800,144.4200,144.5000,142.3300,2378332
2004-05-27,45.0000,46.2000,46.6200,44.9100,6691500
2004-05-26,44.3500,44.7600,44.9800,44.1300,3432900
2004-05-25,44.5500,44.7000,44.9200,44.2500,3989900
2004-05-24,44.2200,44.5600,44.6000,44.0200,3803600
2017-08-01,243.3800,239.4400,243.9910,239.1550,4999836
2004-05-21,43.1500,43.4000,43.4600,43.0000,2493000
2004-05-20,43.1400,42.9200,43.2200,42.7500,2281200
2000-06-13,38.0000,38.8100,38.8800,37.6900,2599400
2000-06-12,38.6300,38.1300,39.0600,38.0600,1553800
2002-08-12,40.1500,40.5000,40.6500,39.5500,2871100
2000-06-16,40.1300,39.2500,40.3800,38.8100,4919000
2000-06-15,39.5000,40.3800,41.0000,39.2500,6346900
2004-05-28,46.0000,45.8000,46.5000,45.4500,5323600
2016-03-23,134.9900,132.8600,135.0000,132.7400,4360844
2001-06-19,64.7000,61.8000,64.8800,61.5400,4464100
2007-08-24,96.7800,98.4700,98.6000,96.6300,4350400
2011-12-01,68.7000,70.9800,71.7100,68.5100,12018200
2009-10-06,51.5400,52.2900,52.5700,51.1500,6244300
2009-10-07,52.1800,51.7900,52.2500,51.2500,3659300
2008-08-20,62.9900,63.2100,63.9700,62.2100,3964400
2017-02-23,175.9700,176.8600,177.0000,175.7000,3502645
2008-11-17,40.6100,41.1800,42.8000,40.5000,7042600
2006-11-27,90.0000,87.3700,90.0300,86.9500,6282300
2006-01-03,70.4000,70.4400,70.6000,69.3300,4943000
2006-08-16,77.2000,78.8300,78.9500,76.8600,4181600
2015-12-14,144.5000,143.0000,144.5000,141.4600,4841724
2015-12-15,145.6600,146.5300,147.1000,144.1200,4705329
2015-12-16,147.9800,148.1100,148.6100,146.2300,3315793
2015-12-17,148.8500,145.5600,149.8000,145.5000,3448810
2002-03-05,49.1000,48.2100,49.1000,47.4100,3606200
2015-12-11,145.0000,144.6200,145.7000,143.7200,3684384
2013-01-07,77.5400,76.1300,77.6900,75.3400,7172600
2002-03-06,48.2200,49.8600,49.8600,47.7400,3690700
2013-01-09,74.9200,76.7600,76.8100,74.9100,10915800
2013-01-08,75.2400,74.1300,75.8100,73.1100,20268100
2015-12-18,144.4100,139.5800,144.4100,138.8900,9914494
2017-08-04,238.5800,237.7100,239.7300,236.3800,5579759
2005-07-25,66.0000,66.0500,66.7900,65.9800,2962700
2014-03-31,125.3600,125.4900,126.0400,124.8000,2962000
2002-06-11,43.1000,42.5000,43.8000,42.3000,1819500
2002-06-10,42.9500,42.9200,43.5000,42.8300,1850700
2001-10-31,33.0500,32.6000,33.5500,32.4200,4590700
2005-05-31,63.0100,63.9000,64.2000,62.9100,4241200
2002-06-12,42.6200,43.8300,43.9900,42.6000,2183000
2003-03-13,25.4200,25.3500,25.5200,24.9000,6496300
2008-11-19,39.2800,37.4800,40.1300,37.4500,10614300
2003-03-12,25.1500,25.1500,25.4200,24.7300,4288500
2008-11-18,40.6000,39.5600,40.7600,38.0500,12209200
2003-03-11,25.6300,25.2200,25.8400,25.1100,3400400
2014-02-11,127.6500,130.1600,130.6900,127.4600,7874000
2001-09-10,44.9000,43.4600,45.9500,43.4600,6618500
2012-06-18,71.6900,71.9000,72.3400,71.2500,3435200
2000-06-19,39.3800,39.0000,39.5600,38.5600,3962300
2012-03-19,75.0000,75.4000,75.6900,75.0000,2683800
2009-02-12,39.5800,39.8600,39.9900,38.5800,6028900
2016-09-08,132.3200,132.9000,132.9100,131.5100,2618307
2016-09-09,131.9400,128.5300,131.9400,128.5200,4892944
2010-05-06,70.6600,67.9700,71.4900,62.0000,13769700
2010-05-07,68.2900,66.7200,69.1200,65.8000,8926100
2016-09-06,131.6300,132.9900,132.9900,131.2700,4151796
2016-09-07,132.4800,132.6400,133.0800,132.0000,2198386
2012-03-15,75.5000,75.4300,75.6300,74.8800,4850700
2016-09-01,130.0300,129.9000,130.0300,128.3600,2807237
2016-09-02,130.8900,131.1600,131.9600,130.5800,2631047
2012-03-16,75.7600,75.2000,75.8100,75.0000,7079200
2004-09-01,52.1000,52.3900,52.5800,51.9400,2275100
2017-04-17,175.8400,179.0200,179.0800,175.6500,2450222
2009-02-11,40.5100,40.3300,40.7600,39.8600,6519300
2017-04-11,177.5000,178.5700,178.6000,176.9600,2265743
2017-04-10,179.0000,177.5600,179.9700,177.4800,2309273
2017-04-13,175.7400,175.6200,176.8800,175.5639,2024086
2017-04-12,178.2500,176.0500,178.2500,175.9400,2922725
2001-08-31,50.5000,51.2000,51.2000,50.2600,1939700
2017-04-19,178.4700,178.4000,179.9000,178.1600,2124533
2017-04-18,178.5900,177.8500,179.9700,177.1200,2960165
2009-02-17,39.4900,38.4300,39.7436,38.3000,6949100
2004-09-07,53.4000,53.9700,54.0100,53.4000,2965800
2004-09-02,52.3900,53.5900,53.6900,52.3600,2894000
