date,open,close,high,low,volume
2002-08-13,68.4500,67.3600,69.9900,67.3100,6714200
2005-07-21,44.9000,44.6000,44.9600,44.6000,11957200
2015-11-19,17.7800,17.6900,17.8500,17.6200,51812145
2015-11-18,17.4300,17.8400,17.8700,17.4300,85633743
2008-11-14,16.8400,16.4200,18.0400,16.2000,124550600
2008-11-13,17.1600,17.1000,17.4000,14.8800,197772100
2008-11-12,18.3500,17.0000,18.8400,17.0000,101948600
2008-11-11,19.1500,18.6900,19.3300,18.2500,103837200
2008-11-10,21.0500,19.4800,21.1400,19.0500,79599800
2015-11-11,17.9900,17.7500,17.9900,17.6800,59235017
2015-11-10,17.6300,17.8500,17.9400,17.5600,59845097
2015-11-13,17.1300,17.2000,17.3100,17.0900,103497332
2015-11-12,17.5800,17.3700,17.6300,17.3500,77712229
2005-11-07,44.4000,44.4600,44.4800,44.1700,9632500
2015-11-17,17.5000,17.4200,17.6000,17.3400,70480628
2015-11-16,17.1300,17.4300,17.4600,17.0100,70377293
2004-05-27,83.0000,82.6100,83.1300,81.8500,7029000
2004-05-26,82.1100,82.9400,82.9400,82.1100,7193100
2004-05-25,81.2200,82.4400,82.4500,81.0500,6614700
2004-05-24,81.8400,81.5500,81.8800,81.4300,4218600
2017-08-01,24.2900,24.4500,24.4900,24.2700,51956075
2004-05-21,81.4800,81.4700,81.8800,81.2700,4842700
2004-05-20,80.9000,81.3200,81.6000,80.7200,5336700
2000-06-13,56.4400,55.6900,56.5600,55.5600,3777700
2000-06-12,56.0000,56.4700,56.7500,55.9400,2605600
2002-08-12,67.8500,68.4500,68.8700,66.9000,4754700
2000-06-16,52.1900,48.0000,52.2500,46.5000,17353800
2000-06-15,55.5600,51.9400,55.5600,51.1900,10636500
2004-05-28,82.6100,83.1300,83.3500,82.5300,5147000
2016-03-23,13.7700,13.6200,13.8300,13.6000,95747961
2001-06-19,59.8000,59.7200,59.9800,58.7300,5803300
2007-08-24,51.8800,51.8700,51.9900,51.3700,18412600
2011-12-01,5.3700,5.5300,5.6300,5.2900,315495500
2009-10-06,17.2100,17.0000,17.3700,16.7100,195927500
2009-10-07,17.0800,17.3500,17.3500,17.0400,153192000
2008-08-20,28.3000,29.2900,29.4000,27.7200,63148100
2017-02-23,24.7900,24.5800,24.8900,24.5100,85845982
2008-11-17,16.2100,15.0300,16.2800,14.9800,130129600
2006-11-27,54.5600,53.9200,54.6900,53.7300,14859600
2006-01-03,46.9200,47.0800,47.1800,46.1500,16296700
2006-08-16,52.4800,52.3000,52.4800,51.9000,9384100
2015-12-14,16.7600,16.8000,16.8900,16.4950,121067256
2015-12-15,17.0200,17.4200,17.4900,16.9900,99737154
2015-12-16,17.6500,17.7500,17.7800,17.2300,171512739
2015-12-17,17.8000,17.3000,17.8300,17.3000,97265726
2002-03-05,66.0000,65.0500,66.7000,64.8200,9078900
2015-12-11,16.9700,16.7300,17.0600,16.6400,91451006
2013-01-07,12.1500,12.0900,12.2000,12.0000,201403500
2002-03-06,65.4000,66.7000,67.2000,65.2200,7058200
2013-01-09,11.8700,11.4300,12.0000,11.3300,335692000
2013-01-08,12.0900,11.9800,12.1000,11.8900,168461100
2015-12-18,17.1900,16.7600,17.2650,16.7600,136520314
2017-08-04,24.6800,24.9700,25.0800,24.6500,104769518
2005-07-25,44.9200,44.6600,45.0700,44.6600,10232800
2014-03-31,17.1500,17.2000,17.2700,17.1200,62115800
2002-06-11,71.5000,70.7100,72.4000,70.6500,5460500
2002-06-10,71.0000,71.1300,71.7700,71.0000,5535900
2001-10-31,59.9500,58.9900,60.2500,58.7200,4768600
2005-05-31,46.5600,46.3200,46.6500,46.3200,9095400
2002-06-12,70.5500,71.1500,71.6800,70.2500,6987700
2003-03-13,66.5000,67.6000,67.7500,66.0500,7074300
2008-11-19,14.8100,13.0600,14.9800,12.9300,173059700
2003-03-12,65.4500,65.8400,65.8500,64.2600,8814400
2008-11-18,15.1700,15.1900,15.7200,14.5400,149127600
2003-03-11,66.8400,65.6300,67.1900,65.3700,7764100
2014-02-11,16.7250,16.8800,16.9200,16.6350,92617500
