date,open,close,high,low,volume
2002-08-13,73500.0000,74005.0000,74100.0000,73400.0000,34000
2005-07-21,83650.0000,83700.0000,83879.0000,83650.0000,10000
2015-11-19,204129.6500,204901.0000,205297.8500,203530.0000,264
2015-11-18,200100.0000,204280.0000,204414.8600,200100.0000,321
2008-11-14,101000.0000,101000.0000,103333.0000,99700.0000,137600
2008-11-13,103100.0000,102800.0000,103600.0000,96050.0000,319800
2008-11-12,105200.0000,103333.0000,105800.0000,103150.0000,142600
2008-11-11,109100.0000,106720.0000,109100.0000,105150.0000,115300
2008-11-10,111000.0000,109999.0000,112500.0000,109300.0000,151200
2015-11-11,202000.0000,202355.0000,202829.0200,201375.0000,72
2015-11-10,201450.0000,201754.0000,201814.7500,200500.0000,123
2015-11-13,199500.0000,197825.0000,200260.2500,197760.2500,149
2015-11-12,201989.0000,199371.0000,201989.0000,199240.0000,180
2005-11-07,88000.0000,89890.0000,89890.0000,87400.0000,91000
2015-11-17,200400.0000,200045.0000,200804.9500,199120.0100,426
2015-11-16,197899.0000,199800.0000,199860.0000,197280.0100,385
2004-05-27,88100.0000,88450.0000,89000.0000,88100.0000,15000
2004-05-26,87000.0000,87800.0000,87800.0000,87000.0000,10000
2004-05-25,87200.0000,87000.0000,88000.0000,86700.0000,18000
2004-05-24,89600.0000,88000.0000,89600.0000,87500.0000,28000
2017-08-01,263929.0000,264321.0000,264500.0000,262700.0000,133
2004-05-21,90000.0000,89000.0000,90100.0000,89000.0000,15000
2004-05-20,89200.0000,89800.0000,89800.0000,89200.0000,7000
2000-06-13,59800.0000,59600.0000,59800.0000,59600.0000,12000
2000-06-12,60100.0000,59700.0000,60100.0000,59700.0000,20000
2002-08-12,72200.0000,72800.0000,73400.0000,72000.0000,38000
2000-06-16,57400.0000,57000.0000,57400.0000,56700.0000,26000
2000-06-15,59000.0000,57400.0000,59000.0000,57400.0000,47000
2004-05-28,89000.0000,89000.0000,89000.0000,88900.0000,14000
2016-03-23,212900.0000,211370.0000,213340.0000,211370.0000,257
2001-06-19,66600.0000,66600.0000,66600.0000,66300.0000,5000
2007-08-24,118600.0000,119850.0000,119910.0000,118500.0000,14000
2011-12-01,116900.0000,116925.0000,117169.0000,116183.0000,50900
2009-10-06,100450.0000,100255.0000,101400.0000,100255.0000,109600
2009-10-07,100750.0000,100400.0000,100750.0000,99675.0000,55100
2008-08-20,117500.0000,116690.0000,117500.0000,115500.0000,53800
2017-02-23,254520.0000,254900.0000,255200.0000,253730.0000,393
2008-11-17,99500.0000,95615.0000,99700.0000,95501.0000,148900
2006-11-27,107800.0000,106300.0000,107800.0000,105990.0000,24000
2006-01-03,88250.0000,89300.0000,89300.0000,88250.0000,45000
2006-08-16,92600.0000,94550.0000,94700.0000,92500.0000,67000
2015-12-14,195620.0000,198040.0000,198212.0000,195270.0000,381
2015-12-15,199600.0000,202439.9700,203320.0100,199400.0000,510
2015-12-16,203460.0000,203800.0000,204100.0000,199939.0000,604
2015-12-17,203600.0000,201000.0000,204000.0000,200920.0000,216
2002-03-05,72300.0000,72000.0000,72300.0000,72000.0000,29000
2015-12-11,195750.0000,195756.8700,196356.8800,194500.0000,316
2013-01-07,140949.0000,140190.0000,140949.0000,139731.0000,60400
2002-03-06,71700.0000,70800.0000,71700.0000,70800.0000,22000
2013-01-09,141188.0000,140000.0000,141365.0000,139819.0000,39400
2013-01-08,140195.0000,141000.0000,141000.0000,139584.0000,61700
2015-12-18,199161.0000,194720.0000,199400.0000,194720.0000,571
2017-08-04,268600.0000,270000.0000,270000.0000,268160.0000,252
2005-07-25,84050.0000,84000.0000,84050.0000,83700.0000,18000
2014-03-31,186005.0000,187350.0000,187400.0000,186005.0000,600
2002-06-11,73500.0000,72300.0000,73800.0000,72000.0000,40700
2002-06-10,74500.0000,73500.0000,74500.0000,73500.0000,31000
2001-10-31,69800.0000,71200.0000,71500.0000,69700.0000,55000
2005-05-31,85200.0000,84100.0000,85600.0000,84100.0000,52000
2002-06-12,72000.0000,73000.0000,73200.0000,72000.0000,21000
2003-03-13,67500.0000,68500.0000,68650.0000,67500.0000,66000
2008-11-19,91600.0000,84000.0000,93450.0000,83500.0000,314900
2003-03-12,67400.0000,67300.0000,67800.0000,67100.0000,50000
2008-11-18,95800.0000,95550.0000,97300.0000,91500.0000,227000
2003-03-11,67400.0000,67750.0000,67800.0000,67100.0000,26000
2014-02-11,168875.0000,170515.0000,170975.0000,168740.0000,400
2001-09-10,68500.0000,68000.0000,68500.0000,67200.0000,58000
2012-06-18,122855.0000,123276.0000,123720.0000,122855.0000,38900
2000-06-19,56500.0000,56900.0000,56900.0000,56000.0000,10000
2012-03-19,121725.0000,122115.0000,122400.0000,121550.0000,55800
2009-02-12,89260.0000,89182.0000,89550.0000,87600.0000,53900
2016-09-08,224499.9900,224740.0000,225100.0000,224055.0000,264
2016-09-09,224100.0000,220109.9900,224210.5000,219870.0000,330
