date,open,close,high,low,volume
2015-11-19,188.8700,186.1300,188.8700,185.6600,1154945
2015-11-18,185.4900,187.8100,187.8800,184.1100,788390
2015-11-11,192.8500,191.2000,192.8500,189.8300,780702
2015-11-10,189.7600,190.7700,191.8200,188.6600,694382
2015-11-13,190.2000,186.4800,193.6000,185.8100,1621095
2015-11-12,190.9700,192.0000,192.3200,188.5600,781994
2015-11-17,186.2300,184.6400,186.9400,184.3400,980070
2015-11-16,186.4400,185.6900,186.6400,183.0600,971341
2016-03-23,204.0000,202.3200,204.5550,201.9000,1784559
2015-12-14,178.7000,174.8100,179.4400,173.2075,1791268
2015-12-15,177.1400,178.2500,181.9750,176.6000,1667918
2015-12-16,178.9200,183.3100,184.5000,178.9200,2461334
2015-12-17,183.6100,183.0300,185.2700,182.8600,1015774
2015-12-10,184.7000,183.6400,185.2900,182.7950,1223139
2015-12-11,180.9800,178.0200,185.0000,175.6100,1872738
2013-01-07,77.1800,77.4000,77.6700,76.7300,562200
2013-01-09,77.5000,78.6000,78.7500,77.3300,872100
2013-01-08,77.5400,77.2000,77.5700,76.2800,482300
2015-12-18,181.6300,178.2900,181.8300,177.9000,1430700
2014-03-31,123.3800,123.2000,125.0800,121.6500,821700
2012-03-19,63.7400,63.9700,64.0800,63.4300,220500
2016-09-08,276.2000,268.6600,276.4500,267.3800,5006568
2016-09-09,266.3600,264.1200,267.4900,264.1200,2897723
2010-05-06,39.0000,38.3500,39.0000,37.0000,43500
2010-05-07,37.8000,37.8500,38.0000,37.5000,4000
2010-05-04,39.5000,39.7500,39.9900,39.0000,9700
2010-05-05,39.5000,39.5000,39.7500,39.0000,83100
2012-03-15,63.1900,63.4900,63.8400,62.7500,214900
2016-09-01,267.0000,268.8200,272.8100,264.3700,7872466
2016-09-02,268.6800,271.7900,272.9600,268.6800,3715126
2012-03-16,63.6000,63.9900,64.0700,63.1900,375300
2017-04-17,331.7300,330.3600,332.7100,329.0800,730304
2017-04-11,330.4200,332.3000,332.6600,328.0000,877273
2017-04-10,330.4500,331.3700,333.1500,329.5600,965591
2017-04-13,335.2800,330.0000,335.7000,329.6500,705184
2017-04-12,331.0100,334.5700,335.6900,330.5400,1061588
2017-04-19,330.0100,333.6100,335.9600,328.3100,1011041
2017-04-18,329.6200,328.1800,331.0000,325.9500,1392556
2017-08-24,390.0900,389.2300,391.5300,384.2400,1361900
2017-08-25,391.4200,388.7900,392.5300,387.5100,752943
2017-03-09,322.8700,323.1400,326.1000,321.4300,921449
2017-03-08,323.1700,322.6000,325.0800,321.6800,1030004
2016-05-31,220.0600,218.9400,220.9800,216.1000,3566156
2017-08-21,392.7500,396.4500,396.9000,391.3800,913553
2017-08-22,398.1500,397.0500,399.9900,395.0000,991452
2017-08-23,396.2900,390.3300,396.2900,390.2600,1274048
2017-03-03,323.5700,322.3200,323.5700,320.5100,1130975
2017-03-02,324.6800,323.9500,324.6800,321.8300,897024
2017-03-01,325.7600,325.1700,328.1000,321.6600,1492977
2017-03-07,323.9100,323.2400,327.0400,322.3600,1093502
2017-03-06,321.2600,323.7700,324.5400,319.4500,765471
2014-08-08,151.7900,152.0400,152.5900,151.0000,924200
2014-08-01,155.6800,152.2600,157.4063,149.6600,1923200
2012-03-26,65.1700,64.3700,65.3200,64.2800,287300
