date,open,close,high,low,volume
2002-08-13,29.1000,29.2000,30.0800,28.5700,5012700
2005-07-21,83.0000,84.1700,84.8500,82.8900,3839500
2015-11-19,78.5300,79.5800,79.9800,78.5300,3751659
2015-11-18,76.9500,78.2900,78.3100,76.6000,3698511
2008-11-14,32.5400,31.1900,34.9800,31.1100,9574400
2008-11-13,30.2000,33.5600,34.6500,28.9800,19028100
2008-11-12,30.4500,30.0400,32.0000,29.5200,9614800
2008-11-11,31.6500,32.0500,33.5900,30.3400,8514400
2008-11-10,35.7200,32.5600,35.7200,31.8500,6774000
2015-11-11,79.7600,78.8700,79.9300,78.6900,2425337
2015-11-10,80.2800,79.3800,80.7700,79.3700,2801035
2015-11-13,77.1400,76.9700,77.8600,76.7100,2817728
2015-11-12,78.3300,77.3800,78.3300,77.1900,3473144
2005-11-07,76.3600,77.3000,77.7100,76.3600,1569200
2015-11-17,77.8000,76.3700,77.8500,76.3200,3353543
2015-11-16,76.9500,77.9000,77.9000,76.6800,2654030
2004-05-27,69.1500,69.9900,70.3300,69.1500,2191800
2004-05-26,69.2000,69.0200,69.7400,68.7000,1401300
2004-05-25,67.3100,69.2500,69.4400,66.7800,2739700
2004-05-24,67.6000,67.3500,67.6500,66.6200,1456700
2017-08-01,86.6400,86.0100,86.7300,85.6400,2276369
2004-05-21,67.1000,67.1700,67.6500,66.9400,1307200
2004-05-20,66.0800,66.8800,67.2300,66.0100,1718400
2000-06-13,49.8100,50.4400,50.6300,49.6900,474100
2000-06-12,48.0000,49.7500,49.9400,47.8800,912600
2002-08-12,28.2500,28.8800,28.9500,27.3100,4513600
2000-06-16,50.2500,48.5000,50.2500,46.5000,1252200
2000-06-15,52.2500,50.2500,52.2500,49.5600,893800
2004-05-28,70.0500,70.0600,70.4500,69.8000,978300
2016-03-23,70.5200,70.2100,70.7685,70.0000,2603538
2001-06-19,60.3000,60.1200,60.7900,59.6000,1622900
2007-08-24,66.3700,66.3200,66.5900,65.5800,2957100
2011-12-01,44.1800,44.7500,44.9600,44.1400,5876600
2009-10-06,35.6100,35.9600,36.7500,34.7300,7088600
2009-10-07,35.7600,36.9400,37.0500,35.6600,7823500
2008-08-20,40.5500,41.2900,41.4300,39.2100,7822100
2017-02-23,93.2500,93.4100,93.5200,92.8900,2142975
2008-11-17,30.0200,29.8700,31.2700,29.2700,8859400
2006-11-27,75.6500,75.1800,75.6500,74.4000,3269100
2006-01-03,86.4000,86.9800,86.9800,84.3500,1934000
2006-08-16,74.7000,74.4300,74.9800,73.6600,2215800
2015-12-14,73.8100,73.3100,74.6750,72.4900,3448402
2015-12-15,74.2700,75.3700,75.5200,74.0800,3039255
2015-12-16,76.1900,76.3600,76.5500,74.4001,4175810
2015-12-17,76.5500,74.3800,76.7400,74.2800,2890259
2002-03-05,54.6000,56.2000,57.7000,54.5100,6296800
2015-12-11,74.2900,73.6800,74.5500,73.3000,2915396
2013-01-07,61.8000,62.8800,62.9200,61.6000,6413400
