date,open,close,high,low,volume
2002-08-13,28.7500,28.6900,29.7800,28.6000,1609400
2005-07-21,30.9000,30.3200,30.9000,30.2400,3352500
2015-11-19,95.2000,92.4900,95.3900,92.1300,6398974
2015-11-18,93.8500,95.1900,95.3600,93.8100,4932002
2008-11-14,30.1500,29.3100,31.0000,28.7800,11938200
2008-11-13,28.0300,30.7300,31.0000,27.7300,14460600
2008-11-12,28.4600,28.3200,29.0400,28.1200,9144300
2008-11-11,29.4600,28.8700,30.1200,28.2100,9700200
2008-11-10,30.7300,29.6900,31.1700,29.0205,8826200
2015-11-11,98.0000,94.8500,98.1089,94.6400,7996741
2015-11-10,97.9100,97.8400,98.2918,97.5800,4399336
2015-11-13,92.5500,91.8100,92.8700,91.4700,7508170
2015-11-12,94.2100,93.1200,94.6000,92.7600,8111196
2005-11-07,27.0800,27.6700,27.7200,27.0700,7704600
2015-11-17,93.7500,93.7900,94.9500,93.2200,4705833
2015-11-16,91.8700,93.6200,93.6400,91.8201,5355623
2004-05-27,41.2500,41.9600,42.1300,41.2300,2591300
2004-05-26,41.1500,41.0400,41.3100,40.8300,1714600
2004-05-25,40.0100,41.1500,41.1500,39.6700,1675100
2004-05-24,40.0500,39.9800,40.1000,39.2800,1969300
2017-08-01,79.9000,79.7000,80.3000,79.4500,4084518
2004-05-21,39.9000,39.8600,40.5500,39.6200,2471500
2004-05-20,39.6500,39.9600,40.0500,39.4600,1291400
2000-06-13,37.8800,37.1300,37.9400,36.3800,3249300
2000-06-12,38.5000,37.8400,38.8100,37.3100,1429900
2002-08-12,29.2000,28.7500,29.3100,28.6100,1535000
2000-06-16,38.3800,38.3800,39.0600,38.2500,1792900
2000-06-15,38.8800,38.1900,39.1900,38.1300,1828100
2004-05-28,41.9700,41.6800,41.9900,41.6500,1484900
2016-03-23,101.6700,100.7400,102.1000,100.5500,4228216
2001-06-19,49.0000,48.8500,49.0000,48.2500,3862700
2007-08-24,37.2500,36.8000,37.2500,36.0100,6340900
2011-12-01,38.6600,38.4800,39.1200,38.3900,9832200
2009-10-06,34.9100,34.6500,35.0800,33.9200,22072300
