date,open,close,high,low,volume
2002-08-13,14.0000,13.7700,14.1000,13.7500,14147600
2005-07-21,25.8500,25.5600,25.8500,25.5000,5525900
2015-11-19,118.1500,118.7100,119.1598,117.6400,6100938
2015-11-18,116.2200,118.1400,118.2800,116.0500,6744009
2008-11-14,21.1400,21.0800,22.3900,20.9400,16888600
2008-11-13,20.3000,21.6500,21.7500,19.5800,24066200
2008-11-12,21.3600,20.1600,21.7100,20.0300,21258600
2008-11-11,21.7700,21.7800,22.4100,20.4900,23171800
2008-11-10,23.9000,22.0800,23.9000,21.6600,16363000
2015-11-11,117.5500,116.5200,117.5800,116.4300,6381663
2015-11-10,116.1700,117.4200,117.5100,115.5100,8240273
2015-11-13,115.9200,114.8400,116.4200,114.3800,8070303
2015-11-12,115.6000,116.2100,116.9900,115.0000,7221172
2005-11-07,25.0000,25.1600,25.2000,24.8700,7906300
2015-11-17,116.1100,116.1300,117.5500,115.5100,6434320
2015-11-16,113.4700,115.9200,116.0800,113.3350,5769657
2004-05-27,23.8500,23.7100,23.9300,23.6100,5806600
2004-05-26,23.6600,23.6600,23.8500,23.5300,5472500
2004-05-25,23.2000,23.7500,23.7500,23.0300,5406800
2004-05-24,22.9000,23.2000,23.2500,22.8200,5980900
2017-08-01,109.9800,110.6100,110.8300,109.9500,5919236
2004-05-21,23.2000,22.6800,23.3600,22.6800,7055800
2004-05-20,22.9100,23.0500,23.1800,22.8600,4252800
2000-06-13,41.5000,40.1900,41.5000,40.1900,5001900
2000-06-12,41.3100,40.7100,41.6900,40.3800,3475500
2002-08-12,14.6000,14.2300,14.6100,13.9500,9581900
2000-06-16,42.0000,41.1900,42.2500,41.0600,4975000
2000-06-15,41.0000,42.0000,42.0000,40.8800,4223500
2004-05-28,23.8000,23.4700,23.8700,23.4700,3881100
2016-03-23,97.7200,96.8300,97.8450,96.7500,5517292
2001-06-19,29.2500,28.8500,29.6000,28.8400,5342300
2007-08-24,33.2700,33.8700,33.8900,33.1200,7380600
2011-12-01,36.0300,35.9900,36.3300,35.7200,10350800
2009-10-06,27.8300,28.1800,28.3300,27.6700,11016400
2009-10-07,28.2900,28.1700,28.4500,27.9600,6861400
2008-08-20,31.8600,31.8200,32.2000,31.4000,12415000
2017-02-23,110.3000,109.7300,110.4900,109.5900,5470661
2008-11-17,20.0800,19.7400,20.7400,19.5800,20652300
2006-11-27,32.8500,32.5900,32.8900,32.4600,10127600
2006-01-03,24.0800,24.4000,24.4800,24.0000,9792600
2006-08-16,29.7100,29.7100,29.7600,29.5600,9917300
2015-12-14,108.6800,109.3500,109.8700,108.2792,9694951
2015-12-15,112.0500,112.1600,113.3450,111.5801,13361688
2015-12-16,114.6900,113.7900,114.7500,111.8000,12298950
2015-12-17,114.1300,112.0100,114.4800,111.9800,9375035
2002-03-05,23.5000,24.0400,24.2600,23.4400,11564400
2015-12-11,109.9100,108.0400,109.9500,107.6177,12333768
2013-01-07,51.7600,50.9700,51.7600,50.6600,9472100
2002-03-06,24.0000,24.1500,24.1600,23.7900,9079900
2013-01-09,50.9300,50.7800,51.5000,50.7600,8389000
2013-01-08,50.8800,50.7600,51.1750,50.5700,8637600
2015-12-18,112.0100,107.7200,112.4400,107.3500,28291181
2017-08-04,108.2300,107.6900,108.5000,107.3200,8491176
2005-07-25,25.8300,25.6400,25.9300,25.5900,3798100
2014-03-31,79.7000,80.0700,80.3900,79.6600,6848800
2002-06-11,22.0000,21.5800,22.3700,21.4700,6669300
2002-06-10,21.7500,21.9800,22.2900,21.5500,5433100
2001-10-31,18.4500,18.5900,18.9500,18.3000,5918600
2005-05-31,27.6800,27.4400,27.7200,27.4200,6229200
2002-06-12,21.5400,21.1500,21.6500,20.0000,11383000
2003-03-13,15.4000,16.2000,16.3500,15.3200,9530800
2008-11-19,20.5600,19.9400,21.0300,19.9300,22433000
2003-03-12,15.0100,15.1800,15.2400,14.8400,6850300
2008-11-18,19.9200,20.6700,20.9800,19.8600,21954000
2003-03-11,15.3200,15.0200,15.4200,14.9100,7513600
2014-02-11,77.1500,77.7900,77.9200,77.1100,8186200
2001-09-10,23.5000,23.5800,23.9900,23.2500,7359900
2012-06-18,46.9600,47.1000,47.4000,46.8000,8821100
2000-06-19,41.3100,41.9400,42.0000,41.1300,2712800
2012-03-19,43.0700,43.4400,43.5800,42.9500,6382500
2009-02-12,18.3300,18.8300,18.8800,18.0300,20367000
2016-09-08,93.4900,94.0900,94.2100,92.9250,7438081
2016-09-09,93.5100,92.4200,93.7400,92.3900,10248373
2010-05-06,35.1600,34.0100,35.5500,31.0000,25181500
2010-05-07,33.8600,33.4100,34.3500,32.7700,22579800
2016-09-06,94.5300,93.8000,94.5300,93.3500,8435043
2016-09-07,93.9800,93.7100,94.0300,93.3300,6280746
2012-03-15,43.5000,43.4700,43.5000,43.1700,6123600
2016-09-01,94.7300,94.2600,94.8700,93.9100,6274204
2016-09-02,94.7500,94.4200,94.9600,94.1300,5381671
2012-03-16,43.4200,43.1900,43.5200,43.1800,8952100
2004-09-01,22.4600,22.4800,22.5300,22.2900,4672100
2017-04-17,113.3300,113.7800,113.9400,113.2200,5120176
2009-02-11,18.8100,18.5000,18.9800,18.2600,19154300
2017-04-11,113.6800,113.0700,113.8300,112.5900,5230127
2017-04-10,112.8000,112.4300,112.8900,112.0400,4053564
2017-04-13,113.0400,113.2000,114.2500,112.9900,6530791
2017-04-12,113.0300,113.0400,113.2800,112.7600,4086275
2001-08-31,24.5600,25.4300,25.5200,24.5600,4095200
2017-04-19,114.5600,113.7300,115.0000,113.5400,5303424
2017-04-18,113.4800,114.1900,114.7500,113.0000,6191132
2009-02-17,18.0700,17.8400,18.1100,17.7200,21996100
2004-09-07,22.3600,22.6900,22.7900,22.3600,5707100
2004-09-02,22.3500,22.5100,22.5800,22.2300,5101200
2005-06-30,25.4000,25.1800,25.7500,25.1200,7741900
2005-10-11,23.8200,23.7700,24.0900,23.7000,8462900
2005-10-10,24.0400,23.8800,24.1200,23.8400,6802900
2005-10-13,23.1500,23.4300,23.4600,23.0800,8469300
2005-10-12,23.7500,23.3400,23.9600,23.2000,12678800
2005-10-14,23.4100,23.3900,23.5400,23.2000,6543500
2005-10-17,23.2400,23.4900,23.5500,23.1300,7327100
2005-10-19,23.2200,23.4400,23.4800,22.9000,8652800
2005-10-18,23.4900,23.3900,23.5400,23.1900,9324400
2017-08-24,101.8200,101.5200,102.0300,101.4300,6952915
2017-08-25,101.6900,102.4100,102.6900,101.5600,6054728
2017-03-09,110.9000,111.0300,111.3200,110.6900,4005660
2017-03-08,110.8700,110.8400,111.3200,110.6600,4929881
2016-05-31,99.8500,99.2200,99.8900,98.5700,10395445
2017-08-21,100.6400,101.1700,101.4200,100.5300,6102061
2017-08-22,101.4100,102.7700,102.9100,101.1700,6826583
2017-08-23,102.4800,101.5000,102.9800,101.4800,5927489
2017-03-03,110.5900,111.2400,111.5000,110.0400,5843886
2017-03-02,111.0000,110.5900,111.2100,110.4500,4715623
2017-03-01,110.6600,111.0400,111.8000,110.6600,7418101
2000-06-14,40.7500,40.7500,41.0600,40.4400,2942000
2017-03-07,110.7000,110.8600,110.9300,110.1600,5114392
2017-03-06,110.7700,110.6700,110.9800,110.0900,4983166
2002-10-08,14.1500,14.6500,14.9500,13.9000,11850900
2014-08-08,85.6500,86.8500,86.8900,85.6200,6382700
2008-04-23,31.4700,31.6400,31.6800,31.1100,15000000
2016-05-19,98.5800,98.4100,98.6100,97.5100,7063535
2014-08-01,85.3900,85.3800,86.0100,85.2100,6759200
2003-04-01,17.0200,17.1100,17.2500,16.9500,8342300
2001-04-26,31.7000,31.5200,31.9700,31.0000,6731200
2014-08-05,87.1400,86.7500,87.2400,86.0200,9361800
2014-08-04,86.1700,87.2400,87.5200,86.0100,8262700
2014-08-07,86.9900,85.5100,87.0100,85.2300,7916900
2014-08-06,86.1800,86.5900,87.6200,86.1700,9789500
2011-05-06,43.3000,43.0600,43.5000,42.8500,7791900
2011-05-05,42.5100,42.6900,43.2500,42.4400,8242300
2011-05-04,42.9400,42.6200,43.2400,42.3000,7481400
2011-05-03,43.2500,43.0700,43.5700,42.8900,6206900
2011-05-02,43.4700,43.2700,43.7900,43.2100,5601100
2002-10-04,16.0500,15.0500,16.2000,14.7600,14944100
2003-04-02,17.3600,17.9800,18.0500,17.3600,9327500
2011-05-09,43.3200,43.1000,43.3500,42.9250,6308300
2014-11-14,90.6800,90.8000,90.8500,90.3800,4280320
2014-11-17,90.5000,90.4100,90.7800,90.0500,4147903
2014-11-10,90.2400,89.7800,90.4200,88.9500,8149919
2014-11-11,90.0100,89.9800,90.0300,89.1300,5896789
2014-11-12,89.7700,89.9000,90.1200,89.3300,5261034
2014-11-13,90.1000,90.4900,90.7100,90.0300,5098761
2003-09-15,20.0000,20.1000,20.4500,20.0000,11569500
2004-09-08,22.8600,22.8900,23.0800,22.7700,6233500
2014-11-18,90.3300,90.2800,90.6900,90.1300,4466404
2014-11-19,90.2600,89.8200,90.2800,89.1850,7709580
2015-12-24,105.2000,105.8600,106.6400,105.0600,4356193
2016-11-17,99.0500,99.3700,99.5000,98.2650,8662057
2014-12-19,92.3400,92.8900,93.2000,91.8800,12837921
2014-12-18,92.1900,92.6100,92.6100,91.8600,9386648
2012-04-12,41.4300,42.1500,42.2000,41.2502,5538400
2012-04-13,42.0300,41.8500,42.2200,41.7000,7311700
2000-12-27,27.0000,28.3100,28.5600,26.9400,8591000
2012-04-16,42.0600,41.6600,42.1300,41.5400,6109300
2012-04-17,41.8800,42.6800,42.7400,41.8800,6550300
2014-12-11,91.0900,91.7500,92.6600,90.6600,8227028
2014-12-10,92.5200,91.6300,92.8300,91.5500,10345840
2014-12-12,91.1800,91.4900,92.6100,90.9500,7890417
2014-12-15,92.0300,90.9000,92.6900,90.1900,6746824
2014-12-17,90.3600,91.3800,91.6800,90.2000,6890832
2014-12-16,90.5000,90.1700,92.0000,90.1300,6548540
2000-09-05,39.3100,38.6300,39.4400,38.5600,3263200
2000-09-07,40.0000,41.5000,41.5000,39.6300,4185000
2000-09-06,38.9400,40.0000,40.0000,38.8100,4413800
2000-09-01,39.0000,39.0000,39.3800,38.1300,1997800
2009-10-30,28.1400,27.3700,28.3100,27.2800,12957000
2000-09-08,39.8800,40.2500,40.6900,39.6900,3329400
2011-06-30,38.5000,39.0400,39.1200,38.3500,10049800
2011-10-03,30.0300,29.0000,30.3300,28.9900,13899200
2011-10-05,30.3500,31.5100,31.5500,30.3100,17823700
2011-10-04,28.7300,29.8600,29.9700,28.1900,19000000
2011-10-07,32.2000,31.7000,32.3700,31.6100,12070100
2011-10-06,31.2300,32.0300,32.0500,31.0200,12659400
2006-07-03,30.1900,30.0200,30.3100,29.9600,5877000
2006-07-05,29.8200,30.0700,30.4500,29.7000,11345300
2016-11-30,99.4000,99.1200,100.2895,99.0000,11368462
2006-07-07,29.9000,29.8300,30.0800,29.6700,9480200
2006-07-06,30.0600,30.0400,30.4500,29.9400,10921300
2004-02-23,26.5500,26.7500,26.7500,26.0200,13661500
2005-07-14,25.9200,26.3300,26.5000,25.8500,12601600
2011-08-08,34.0600,33.0300,34.5700,33.0300,25923500
