date,open,close,high,low,volume
2017-08-04,63.5500,64.1100,64.1600,63.5200,4015500
2017-11-01,73.1100,73.3200,73.5800,72.3200,7785670
2017-11-02,72.0200,72.0400,73.2000,71.5600,10239822
2017-11-03,72.0900,71.1600,72.2700,70.8600,8505147
2017-11-06,71.4000,70.2400,71.7300,70.1300,8919535
2017-11-07,70.8900,71.1400,71.1500,70.3200,6654903
2017-11-08,71.3100,70.8100,71.5000,70.7100,6091437
2017-11-09,70.5000,70.2300,70.5400,70.0100,4528620
2017-10-30,72.3200,71.6800,72.6100,71.5200,5736786
2017-10-31,71.9100,72.3100,72.4700,71.6000,5925916
2017-10-10,71.5600,71.5700,71.7500,71.1600,4828995
2017-10-11,71.5000,71.6200,71.6300,70.9200,4969383
2017-10-12,71.5000,71.4000,71.6300,71.2100,4464653
2017-10-13,71.5300,71.4300,71.7000,71.1500,5135077
2017-10-18,70.8600,70.7800,70.9700,70.5600,4755211
2017-10-19,70.6500,70.8900,71.0800,70.2900,5846213
2017-09-08,64.9000,64.8500,65.2000,64.6400,8084493
2017-09-18,70.0000,69.7700,70.3700,69.6200,7193103
2017-09-19,70.0200,70.0500,70.1100,69.6400,6676368
2017-09-14,69.6000,70.0200,70.3000,69.2200,11262962
2017-09-15,70.2600,69.8600,70.7000,69.5000,32104793
2017-09-12,68.2000,68.5200,69.2500,67.8000,14419059
2017-09-13,68.9000,69.5000,69.6000,68.2900,8734377
2017-09-11,65.2500,66.8500,67.1600,65.2000,11124364
2017-10-16,71.8000,70.9300,71.8100,70.8100,4264175
2017-10-09,71.2000,71.6800,71.8800,71.0000,5278815
2017-10-17,70.8000,70.8800,70.9400,70.5300,5580414
2017-08-14,63.5300,63.4100,63.9000,63.2400,3168900
2017-11-10,70.2300,69.9700,70.4900,69.7400,7118712
2017-10-03,70.4100,70.3600,70.6200,69.9000,6609275
2017-10-02,69.4000,70.4200,70.4200,69.1500,5973290
2017-10-06,70.8000,71.2200,71.2300,70.6200,3916285
2017-10-05,70.8200,70.9700,71.0000,70.2400,5478167
2017-10-04,70.5800,70.4500,70.9100,70.4400,5999176
2017-10-20,71.2000,71.1800,71.3900,71.0000,7323008
2017-10-23,71.9500,71.5500,72.1800,71.4000,11089734
2017-10-25,71.8600,71.0900,72.1000,70.9300,6556254
2017-10-24,71.8400,71.8600,72.1200,71.6100,10221914
2017-10-27,73.0000,72.5400,73.1000,72.2300,8373245
2017-08-25,64.5900,64.5400,64.7400,64.2700,2676500
2017-08-03,64.3100,63.4300,64.5300,63.2400,6185100
2017-10-26,72.3300,73.0500,73.8500,72.0300,16680416
2017-09-27,69.5200,68.8000,69.5200,68.2700,6594167
2017-09-26,70.2600,69.3500,70.4800,69.3300,5231424
2017-09-25,70.0700,70.3400,70.3800,69.2100,6366314
2017-09-22,70.1400,69.9600,70.2300,69.6800,4013074
2017-09-21,70.4100,70.3200,70.5000,70.1000,4450108
2017-09-20,70.2800,70.4100,70.5000,69.6600,6639388
2017-09-05,67.0200,64.9800,67.1700,64.9800,10533964
2017-09-07,64.6000,64.6800,64.9500,64.2200,6321024
2017-09-06,65.2000,64.8700,65.3300,64.0100,9965743
2017-09-01,66.6600,67.1800,67.3000,65.6600,7204419
2017-09-29,69.0000,69.2300,69.4100,68.5700,5635752
2017-09-28,68.4400,69.0600,69.0700,67.7700,7868752
