date,open,close,high,low,volume
2002-08-13,11.6400,11.4400,11.8500,11.2900,8964300
2005-07-21,10.9000,10.6400,10.9300,10.5800,12844700
2015-11-19,14.4500,14.5700,14.6300,14.4200,23593476
2015-11-18,14.2300,14.4600,14.5000,14.1800,26249288
2008-11-14,1.8600,1.8000,1.8900,1.7900,35717500
2008-11-13,1.9000,1.9000,1.9300,1.7400,47082700
2008-11-12,1.9900,1.8400,2.0000,1.8300,50057500
2008-11-11,1.9900,1.8000,2.0000,1.7200,72447400
2008-11-10,2.0800,1.9300,2.1200,1.9000,57943100
2015-11-11,14.2800,14.3100,14.3800,14.1800,16893049
2015-11-10,14.3300,14.2800,14.3400,14.1400,22195505
2015-11-13,14.0200,13.9200,14.0700,13.8900,25469460
2015-11-12,14.2100,14.0400,14.2700,14.0200,20281724
2005-11-07,8.3600,8.3400,8.3900,8.2500,7670600
2015-11-17,14.0200,14.1500,14.3700,14.0100,25184601
2015-11-16,13.8500,14.0400,14.0800,13.8500,22633170
2004-05-27,15.2000,15.0400,15.3500,14.9300,9024200
2004-05-26,14.6800,15.0200,15.1400,14.6700,11994000
2004-05-25,14.3000,14.6800,14.8000,14.1600,10781700
2004-05-24,14.4700,14.2900,14.6400,14.2500,7593700
2017-08-01,11.1100,10.9500,11.1500,10.8700,64993885
2004-05-21,14.2900,14.2400,14.3300,14.0200,10912500
2004-05-20,14.0800,14.1800,14.2400,13.9000,14447900
2000-06-13,49.6300,49.9400,50.4400,49.3800,1989752
2000-06-12,49.6900,50.1300,50.6300,49.6300,2213813
2002-08-12,11.8000,11.6400,11.9700,11.5500,8458700
2000-06-16,46.0000,45.0000,46.4400,44.9400,5296690
2000-06-15,48.0000,46.0000,48.1300,45.7500,5364036
2004-05-28,15.0300,14.8500,15.0300,14.7800,9733300
2016-03-23,13.5700,13.2600,13.6050,13.1901,31530552
2001-06-19,25.0000,24.7400,25.1700,24.5400,4398200
2007-08-24,7.7300,7.9000,7.9200,7.6100,32283200
2011-12-01,10.5100,10.5900,10.8100,10.4100,61397000
2009-10-06,7.1800,7.1400,7.2200,7.0400,48500800
2009-10-07,7.1100,7.1300,7.1400,7.0010,33869000
2008-08-20,4.8000,4.6100,4.8300,4.5200,49237900
2017-02-23,12.7000,12.5600,12.7200,12.5500,22520597
2008-11-17,1.8600,1.7200,1.8800,1.7200,39304700
2006-11-27,8.5500,8.1600,8.5500,8.1400,37061300
2006-01-03,7.7200,7.8300,7.8300,7.6600,16903100
2006-08-16,7.9400,8.2600,8.2900,7.9300,59447500
2015-12-14,13.6600,13.6200,13.7400,13.4000,26816160
2015-12-15,13.7400,13.8700,14.0000,13.7200,43728526
2015-12-16,14.0000,14.3600,14.3600,13.9900,40682741
2015-12-17,14.3700,13.9800,14.3800,13.9500,26179792
2002-03-05,16.3900,15.7400,16.4000,15.5500,14976700
2015-12-11,13.8400,13.6400,13.9200,13.5800,29569122
2013-01-07,13.5200,13.4300,13.5800,13.3500,43482400
2002-03-06,16.0000,16.3500,16.5200,15.8500,11895300
2013-01-09,13.4000,13.4700,13.6000,13.3900,36973900
2013-01-08,13.3800,13.3500,13.4300,13.2000,46336200
2015-12-18,13.8800,13.8000,13.9100,13.7200,40379898
2017-08-04,10.9000,10.9500,10.9900,10.7800,29226342
2005-07-25,10.8000,10.6100,10.9200,10.5800,10656600
2014-03-31,15.6000,15.6000,15.6300,15.4800,27054500
2002-06-11,16.8900,16.8200,17.3600,16.7700,6146800
2002-06-10,16.7000,16.7900,16.9600,16.5500,4035600
2001-10-31,16.1200,16.0500,16.3200,15.8800,8847900
2005-05-31,10.0700,9.9800,10.1000,9.9800,8852200
2002-06-12,16.8200,16.6800,16.9300,16.5000,6595700
2003-03-13,7.3500,7.1300,7.3900,6.9300,23135300
2008-11-19,1.6500,1.2600,1.7100,1.2100,127672300
2003-03-12,6.8400,7.0800,7.1300,6.7600,24379800
2008-11-18,1.7600,1.6800,1.7700,1.5600,51644300
2003-03-11,7.0000,6.6000,7.2200,6.5800,27663900
2014-02-11,14.9100,14.9600,15.0100,14.8200,43482100
2001-09-10,18.7000,19.4000,19.5500,18.5200,5233700
2012-06-18,10.3500,10.3400,10.4000,10.2600,27361000
2000-06-19,45.0600,44.6300,45.7500,44.5000,3843730
2012-03-19,12.5200,12.6300,12.6800,12.4800,52445700
2009-02-12,1.8300,1.7900,1.8500,1.7500,23422600
2016-09-08,12.5000,12.7300,12.7500,12.5000,34017856
2016-09-09,12.6100,12.3800,12.6850,12.3800,35733644
2010-05-06,12.1700,11.7800,12.5100,10.5900,237094700
2010-05-07,11.9500,11.5100,11.9700,10.9500,261066500
2016-09-06,12.4900,12.6700,12.6700,12.4300,36098440
2016-09-07,12.6200,12.7000,12.7500,12.6200,22873210
2012-03-15,12.9000,12.9000,13.0400,12.8300,55286600
2016-09-01,12.6600,12.4400,12.7200,12.3500,40510400
2016-09-02,12.5300,12.5000,12.5700,12.4600,21075786
2012-03-16,12.8600,12.5100,12.9000,12.5075,77119600
2004-09-01,14.1200,13.9000,14.1300,13.8600,11151600
2017-04-17,11.2200,11.2800,11.3000,11.1400,44731735
2009-02-11,1.8700,1.8500,1.8800,1.8000,30214000
2017-04-11,11.2700,11.2800,11.2800,11.1700,36361406
2017-04-10,11.2600,11.2500,11.3500,11.2400,25857108
2017-04-13,11.2200,11.1100,11.2500,11.1100,32789905
2017-04-12,11.2700,11.2300,11.3000,11.2000,56588425
2001-08-31,20.0000,19.8700,20.1900,19.8700,4713100
2017-04-19,11.1900,11.1900,11.2800,11.1700,37524445
2017-04-18,11.1500,11.1400,11.1800,11.0800,35659989
2009-02-17,1.7000,1.6900,1.7500,1.6100,32860300
2004-09-07,14.3000,14.5600,14.6800,14.2900,7703900
2004-09-02,13.9300,14.3600,14.4000,13.9000,9806700
2005-06-30,10.4200,10.2400,10.5500,10.2300,8847700
2005-10-11,8.8400,8.7100,8.9500,8.7000,20015100
2005-10-10,9.2000,8.9300,9.2000,8.8800,20039800
2005-10-13,8.6500,8.9900,9.0000,8.6500,20890900
2005-10-12,8.7500,8.6900,8.8400,8.6100,26949100
2005-10-14,8.7500,8.6100,8.8900,8.6000,31425600
2005-10-17,9.2500,8.6600,9.2500,8.6400,27903500
2005-10-19,8.4500,8.4700,8.5400,8.2600,23533900
2005-10-18,8.6100,8.4700,8.6200,8.3400,29284300
2017-08-24,10.7500,10.7100,10.8000,10.6900,33284434
2017-08-25,10.7700,10.8200,10.8800,10.7600,35600564
2017-03-09,12.5400,12.5000,12.5400,12.4000,29149095
