date,open,close,high,low,volume
2015-11-19,107.3600,106.2600,107.7300,105.9500,25520599
2015-11-18,105.8000,107.7700,107.8800,105.3900,23836526
2015-11-11,108.2700,109.0100,109.8700,107.1100,25057099
2015-11-10,105.9600,107.9100,108.1500,105.2400,25031681
2015-11-13,107.7100,103.9500,108.2500,103.8300,30278403
2015-11-12,108.4800,108.0200,109.3900,108.0000,20924674
2015-11-17,104.6200,105.1300,106.2000,104.1400,26774146
2015-11-16,103.3200,104.0400,104.1700,100.4700,49309167
2015-12-14,102.2850,104.6600,104.7400,101.4600,24813496
2015-12-15,105.3000,104.5500,105.8000,104.2800,21764331
2015-12-16,105.3700,106.7900,107.0900,104.1900,22680547
2015-12-17,107.4900,106.2200,107.7500,106.1300,21675686
2015-12-10,105.0500,105.4200,106.4000,104.4100,17454312
2015-12-11,104.1500,102.1200,104.3400,101.9100,26427727
2013-01-07,28.6900,29.4213,29.7900,28.6500,83781800
2013-01-09,29.6700,30.5900,30.6000,29.4900,104787700
2013-01-08,29.5100,29.0607,29.6000,28.8600,45871300
2015-12-18,106.0800,104.0400,106.5900,103.9700,35994199
2014-03-31,60.7800,60.2400,61.5200,59.8700,53011000
2016-09-08,130.9200,130.2700,131.0800,129.8100,15676595
2016-09-09,129.7100,127.1000,129.9490,127.1000,27100679
2016-09-06,126.6700,129.7300,129.9400,126.4700,26278407
2016-09-07,130.0400,131.0500,131.9800,129.9500,27990796
2016-09-01,126.3800,126.1700,126.6300,125.6000,13536125
2016-09-02,126.8500,126.5100,126.8600,126.0000,12118773
2017-04-17,139.7600,141.4200,141.5500,139.7500,11519663
2017-04-11,140.8000,139.9200,141.0300,138.8100,16638087
2017-04-10,141.0000,141.0400,141.4300,140.6300,9039366
2017-04-13,139.6200,139.3900,140.5800,139.3300,10965614
2017-04-12,139.7200,139.5800,140.4000,139.4400,11612456
2017-04-19,141.3500,142.2700,143.0400,141.2700,15563945
2017-04-18,141.2700,140.9600,141.9100,140.6100,14807472
2017-08-24,168.8800,167.7400,169.2900,166.4100,13552865
2017-08-25,167.8600,166.3200,168.3800,166.1800,12391910
2017-03-09,137.7200,138.2400,138.5700,137.4000,15535259
2017-03-08,137.1500,137.7200,137.9900,137.0500,10184514
2016-05-31,119.4600,118.8100,120.1000,118.1210,23547597
2017-08-21,167.1600,167.7800,168.0000,165.8200,11880823
2017-08-22,168.2800,169.6400,169.8700,167.1500,11333260
2017-08-23,168.8400,168.7100,169.3600,168.2000,9756817
2017-03-03,136.6300,137.1700,137.3300,136.0800,11160563
2017-03-02,137.0900,136.7600,137.8200,136.3100,12294804
