date,open,close,high,low,volume
2002-08-13,31.8000,30.9500,32.2300,30.8000,26276700
2005-07-21,35.1800,35.0000,35.3600,35.0000,16290900
2015-11-19,30.3800,30.2700,30.5100,30.2500,98930079
2015-11-18,30.2200,30.5200,30.5700,30.1000,177775421
2008-11-14,16.3600,16.0200,17.0900,15.9500,128296200
2008-11-13,16.4100,16.8600,16.9300,14.5800,300885200
2008-11-12,17.4800,16.2900,17.5500,16.0500,177128900
2008-11-11,18.2700,17.8100,18.3000,17.3600,104019300
2008-11-10,19.3400,18.4500,19.3900,18.1000,80927900
2015-11-11,30.2000,30.6700,30.8200,30.2000,197598775
2015-11-10,29.6300,30.1200,30.2700,29.6100,239433940
2015-11-13,29.8600,30.2800,30.4900,29.8100,247131467
2015-11-12,30.4100,30.1600,30.9000,30.1100,292774116
2005-11-07,34.1000,34.0200,34.1300,33.9500,14892600
2015-11-17,30.5700,30.3200,30.7500,30.0000,431315043
2015-11-16,29.8800,30.3600,30.6000,29.7700,284792224
2004-05-27,31.3000,31.2600,31.4700,31.0500,16240500
2004-05-26,31.1800,31.2900,31.4400,31.1500,18591000
2004-05-25,30.7000,31.2100,31.2600,30.6700,23139300
2004-05-24,30.9400,30.7800,30.9500,30.5600,19510800
2017-08-01,25.6300,25.4400,25.6600,25.3300,41834789
2004-05-21,30.3100,30.6500,30.6900,30.3100,21917300
2004-05-20,30.2600,30.2300,30.4500,30.1700,14329400
2000-06-13,50.0000,51.1900,51.5600,49.7500,13406400
2000-06-12,50.0000,49.8800,50.1300,48.4400,12246200
2002-08-12,31.7600,32.2500,32.4000,31.4500,20814600
2000-06-16,52.0000,51.1300,52.1900,51.0500,18995100
2000-06-15,50.5000,51.8800,52.0000,50.0000,11984300
2004-05-28,31.2700,31.1200,31.2700,30.9700,17527800
2016-03-23,31.0400,31.0700,31.2400,31.0100,27233948
2001-06-19,49.8000,48.8700,49.9800,48.7500,22588200
2007-08-24,39.0400,39.4100,39.4700,38.9800,34819900
2011-12-01,15.8900,15.9100,16.0000,15.7300,58202800
2009-10-06,16.1400,16.0800,16.4001,16.0000,95698000
2009-10-07,16.0300,16.1600,16.3200,15.9100,60911500
2008-08-20,28.7400,28.6500,28.9300,28.0900,40667500
2017-02-23,30.0400,30.0200,30.0800,29.8500,28947909
2008-11-17,15.9500,16.1100,16.5000,15.4000,97462100
2006-11-27,35.5700,35.4500,35.7500,35.2800,24611300
2006-01-03,35.1000,35.3700,35.4000,34.8000,33221200
2006-08-16,33.3700,33.7100,33.8400,33.3200,23881000
2015-12-14,30.2600,30.2600,30.4600,29.7700,65050993
2015-12-15,30.4000,30.3200,30.6100,30.2200,59345615
2015-12-16,30.4600,30.9800,31.2300,30.4200,73810563
2015-12-17,30.9400,30.5500,31.0500,30.5300,58024145
2002-03-05,39.9500,40.5000,40.8000,39.8000,23793500
2015-12-11,30.3200,30.2600,30.6100,30.1500,62901542
2013-01-07,21.1600,21.1300,21.2200,20.9600,32746700
2002-03-06,40.5000,41.5500,41.6700,40.4000,24636300
2013-01-09,21.0400,20.9500,21.0700,20.9300,28540500
2013-01-08,21.1000,20.9000,21.1200,20.6813,40045500
2015-12-18,30.3900,30.2800,30.5800,30.2800,82796913
2017-08-04,25.7500,25.7800,25.8500,25.6200,23304936
2005-07-25,35.2000,34.7700,35.2000,34.7000,18132200
2014-03-31,26.0200,25.8900,26.0800,25.8100,32088900
2002-06-11,30.1000,29.4000,30.4500,29.3500,22304000
2002-06-10,30.1500,29.9500,30.4000,29.7500,20841500
2001-10-31,36.6000,36.4100,37.1500,36.2500,15930400
2005-05-31,36.8800,36.4800,36.9100,36.4600,20204200
2002-06-12,29.4000,30.3500,30.4100,29.3500,28132500
2003-03-13,24.2000,25.2100,25.2300,24.2000,38540500
2008-11-19,15.8700,14.4500,16.2000,14.4500,181540200
2003-03-12,23.2200,23.8000,23.8000,23.1600,22940100
2008-11-18,16.0300,16.0600,16.3500,15.2700,135118000
2003-03-11,23.6700,23.3500,23.9700,23.3400,21506000
2014-02-11,25.2100,25.4300,25.5200,25.1600,32587400
2001-09-10,39.0100,39.3500,40.1600,38.9500,24095000
2012-06-18,19.8800,19.7500,19.9800,19.7500,41970000
2000-06-19,50.8100,50.2500,51.7500,50.0000,9807400
2012-03-19,20.0800,20.2100,20.3600,20.0600,42727200
2009-02-12,11.7500,11.6800,11.7500,11.2000,132083900
2016-09-08,31.0000,31.0400,31.0500,30.9000,30256181
2016-09-09,30.8200,30.1100,30.8200,30.1100,44619722
2010-05-06,18.0000,17.3100,18.1500,15.0000,181771678
2010-05-07,17.5100,16.8800,17.6900,16.5200,165465900
2016-09-06,31.3100,31.0500,31.3400,30.8000,40949519
2016-09-07,30.9900,31.0600,31.0600,30.8000,27262702
2012-03-15,19.8700,20.1600,20.2000,19.8600,76328200
2016-09-01,31.1500,31.2000,31.2900,30.9600,41255600
2016-09-02,31.2500,31.2900,31.4500,31.2300,20807497
2012-03-16,20.2600,20.2000,20.3000,20.0100,79237400
