date,open,close,high,low,volume
2002-08-13,34.2500,32.8500,34.8200,32.4400,4226200
2005-07-21,46.4100,46.1700,46.7600,45.1000,4186800
2015-11-19,108.0000,106.5100,108.0500,106.2100,7019598
2015-11-18,104.4900,108.1300,108.2200,104.4500,8246792
2008-11-14,46.7800,46.9200,48.8400,46.2400,15074000
2008-11-13,44.2300,47.3000,47.4500,43.8000,14987800
2008-11-12,43.5700,44.4500,44.8600,43.1600,10282900
2008-11-11,44.5200,44.1400,45.1500,43.7000,8516800
2008-11-10,45.7100,44.8400,45.7500,44.1800,5826800
2015-11-11,108.9100,107.1900,109.2300,107.0300,6056763
2015-11-10,108.1000,108.8500,109.3700,107.9400,8571251
2015-11-13,104.0900,102.5700,104.1800,102.1200,10848375
2015-11-12,106.9400,104.2300,107.1000,104.1600,8010872
2005-11-07,50.4900,49.8700,50.5300,49.3100,2958800
2015-11-17,104.4500,104.5300,104.8900,103.5000,6910542
2015-11-16,102.9000,103.8100,104.0000,101.6400,7344204
2004-05-27,65.7900,65.7100,66.9100,64.9100,2630200
2004-05-26,63.6000,65.9200,66.0600,63.5400,3395400
2004-05-25,62.7500,63.7800,63.8500,62.3200,2344000
2004-05-24,63.0700,62.8000,63.8500,62.5300,2041800
2017-08-01,76.3500,75.7000,76.3600,75.5200,7007728
2004-05-21,63.9900,63.3300,64.1700,62.6200,2167900
2004-05-20,62.9800,63.1500,64.2000,62.7700,2343900
2000-06-13,59.0600,63.0600,63.1300,58.0000,400600
2000-06-12,66.8800,59.5000,67.0000,59.5000,395100
2002-08-12,33.7700,34.6400,34.9000,33.5700,2825000
2000-06-16,63.5900,65.7500,69.1300,63.0000,629500
2000-06-15,61.6300,64.3800,64.7500,58.7500,449600
2004-05-28,65.7700,65.3300,66.1700,64.9400,1771600
2016-03-23,90.9600,90.0800,92.2200,89.9700,13891940
2001-06-19,52.0000,51.9600,53.0500,50.5500,1547900
2007-08-24,37.2100,37.2900,37.5900,36.6300,5601100
2011-12-01,39.6700,39.6700,40.0900,39.4510,10459900
2009-10-06,45.1200,45.7200,45.8000,44.6400,6945500
2009-10-07,45.5500,45.3100,45.7400,45.0700,4931800
2008-08-20,55.0700,54.6200,55.5500,54.1300,5968900
2017-02-23,68.7400,69.3700,69.5300,68.4300,7529059
2008-11-17,46.1000,45.9100,47.0300,45.8900,8167800
2006-11-27,66.0100,65.2000,66.1500,64.8000,3584300
2006-01-03,53.0000,54.7000,55.3300,52.4800,4307100
2006-08-16,62.6300,64.0000,64.0600,62.5500,4873500
2015-12-14,99.9700,100.4900,100.9300,98.6600,10309033
2015-12-15,101.7400,101.9700,103.0000,101.4400,11740330
2015-12-16,103.1800,103.3400,103.4900,101.6400,10950294
2015-12-17,104.2500,102.3600,104.7899,102.3300,7614392
2002-03-05,74.1600,72.9900,75.8000,72.8900,2946700
2015-12-11,101.3500,100.0300,102.4650,99.6700,9518903
2013-01-07,76.8900,76.8800,77.0800,76.2001,3974200
2002-03-06,71.0100,73.2000,73.4500,70.9000,3936300
2013-01-09,77.4600,77.8700,77.8800,76.9220,4128700
2013-01-08,76.8200,77.4000,78.4100,76.8100,6685700
2015-12-18,101.6800,101.6000,101.9900,100.9200,15768517
2017-08-04,73.7300,73.1600,73.7600,72.5800,14791852
2005-07-25,44.4350,42.8500,44.5500,42.1200,6052600
2014-03-31,69.1700,70.8600,71.0000,69.1700,18594900
2002-06-11,33.0700,30.5000,33.4500,30.1200,3945200
2002-06-10,32.0000,32.9100,33.9000,31.9000,3029700
2001-10-31,64.8900,62.9000,65.4000,62.6200,2496900
2005-05-31,41.1500,40.8000,41.1700,40.6700,2968700
2002-06-12,30.4200,30.4300,31.2400,29.3100,4426700
2003-03-13,37.8600,39.9000,39.9500,37.8600,5680900
2008-11-19,44.1500,43.2000,45.4900,43.0700,10179300
2003-03-12,37.0600,37.8600,37.9700,36.7700,3425000
2008-11-18,45.8100,45.2200,46.0000,43.6200,14125900
2003-03-11,37.9000,37.3000,38.0400,36.9200,3439000
2014-02-11,81.1200,81.8000,82.0400,80.8900,12608600
2001-09-10,58.5000,57.9000,60.1500,56.6900,1784800
2012-06-18,50.3500,50.2100,50.4800,49.9300,4283000
2000-06-19,66.0000,70.2500,70.2500,61.8800,345400
2012-03-19,46.5500,47.0700,47.2300,46.3300,3504600
2009-02-12,49.5550,50.5000,50.5000,49.1000,7023400
2016-09-08,78.3300,78.9900,79.1400,77.6000,8549621
2016-09-09,78.4600,78.0500,79.0000,78.0500,10415211
2010-05-06,39.7600,39.1800,40.2500,38.0100,19512000
2010-05-07,39.0050,38.3700,39.3200,38.0800,19027200
2016-09-06,77.7800,77.8800,78.2900,77.2500,11648436
2016-09-07,78.3800,78.2200,78.8050,77.9200,8232697
2012-03-15,46.9300,47.1600,47.2000,46.6400,6127300
