date,open,close,high,low,volume
2015-11-19,36.4300,36.1400,36.4700,36.0700,9760141
2015-11-18,35.4000,36.4600,36.4800,35.3000,14864570
2015-11-11,35.7400,35.5500,36.0100,35.5200,6751848
2015-11-10,35.5400,35.6200,35.6300,35.1600,9686165
2015-11-13,34.9700,34.3100,35.1700,34.1850,12089072
2015-11-12,35.3400,35.0900,35.4836,35.0200,10650703
2015-11-17,35.2400,35.2100,35.5900,35.0100,11747220
2015-11-16,34.3100,35.1700,35.2200,34.2900,14599137
2016-03-23,31.9200,31.3100,31.9300,31.1700,9105813
2015-12-14,34.7800,34.3900,34.8401,34.0500,13791826
2015-12-15,34.7500,34.5400,34.9600,34.3000,13874284
2015-12-16,34.3500,35.1400,35.1700,34.2500,14770925
2015-12-17,35.1500,34.1100,35.2700,34.0650,14448386
2015-12-10,35.2500,35.6300,35.8900,35.1800,8827010
2015-12-11,35.1400,34.5500,35.4100,34.2700,16270348
2013-01-07,29.6400,29.6600,29.8600,29.3000,8385300
2013-01-09,29.5800,29.9700,30.2800,29.5600,13341400
2013-01-08,29.6600,29.3700,29.8500,29.0500,10435200
2015-12-18,33.9600,33.6700,34.0600,33.5400,19320742
2014-03-31,34.5300,34.4200,34.7900,33.9500,24292600
2012-03-19,25.5000,25.3900,25.7000,25.2400,5462700
2016-09-08,31.8500,31.7100,32.0000,31.6800,11808229
2016-09-09,31.4400,30.4800,31.5575,30.3700,22476319
2016-09-06,32.2500,32.1300,32.3400,31.8500,16766012
2016-09-07,31.9900,31.8900,31.9900,31.6200,12554723
2012-03-15,26.3700,26.0500,26.5800,25.8800,10133700
2016-09-01,31.8600,31.8000,32.5500,31.3400,14898781
2016-09-02,31.8800,32.1600,32.2000,31.8500,10822877
2012-03-16,26.0700,25.5700,26.0700,25.2600,11752400
2017-04-17,33.4700,33.9000,33.9800,33.3700,10736501
2017-04-11,34.0900,33.9200,34.0900,33.5900,10424332
2017-04-10,33.8400,33.9700,34.1200,33.8000,13814860
2017-04-13,33.7800,33.3900,33.9100,33.3700,9527066
2017-04-12,34.0300,33.9400,34.2900,33.7200,14714992
2017-04-19,33.8900,33.7900,34.1000,33.7100,12368731
2017-04-18,33.7200,33.6900,33.8300,33.4900,7020421
2017-08-24,35.6400,35.5200,35.7300,35.4500,4901420
2017-08-25,35.5400,35.6000,35.8800,35.5400,6649633
2017-03-09,37.3300,36.8300,37.3500,36.7800,12703571
2017-03-08,37.1100,37.2700,37.6900,37.1100,11377291
2016-05-31,31.5400,31.2800,31.6200,31.1300,11803307
2017-08-21,34.9000,34.9100,35.0600,34.7800,5628327
2017-08-22,35.0000,35.3000,35.4200,34.9700,7802711
2017-08-23,35.2700,35.4900,35.6600,35.1200,6405900
2017-03-03,37.7600,38.2300,38.3700,37.5800,19515749
2017-03-02,37.3700,37.7600,38.1000,37.2500,14929759
2017-03-01,37.2000,37.4300,37.7500,37.1800,10702571
2017-03-07,37.7600,37.5200,37.8400,37.3000,17234957
2017-03-06,37.9800,37.9100,38.5500,37.2000,20199145
2014-08-08,33.0900,33.5300,33.5600,33.0900,9935600
2014-08-01,33.7900,33.4400,34.0000,33.3000,15343800
2014-08-05,33.5700,33.3600,33.8050,33.1500,11012500
2014-08-04,33.7600,33.6100,34.0210,33.5000,11486300
2014-08-07,33.5600,33.1100,33.6300,32.8000,13526700
2014-08-06,33.2300,33.4000,33.6700,33.2300,8715400
2011-05-06,32.5000,31.9100,32.6000,31.8400,12801800
2011-05-05,32.0600,32.0200,32.6800,31.4900,26623400
2011-05-04,33.1600,33.0400,33.4700,32.7100,20492000
2011-05-03,32.3800,32.9900,33.2000,32.3600,29894800
