date,open,close,high,low,volume
2015-11-19,759.7800,759.9400,763.2300,757.2300,1403913
2015-11-18,749.5700,760.0100,761.1000,747.3900,1813336
2008-11-14,303.2500,310.0200,324.9900,302.5600,19015100
2008-11-13,291.7700,312.0800,313.0000,280.0000,26442900
2008-11-12,302.0500,291.0000,312.4899,287.7600,20082000
2008-11-11,308.6900,311.4600,316.3000,300.5210,20272900
2008-11-10,328.0000,318.7800,329.4440,309.4700,16144000
2015-11-11,762.3800,765.2500,769.0800,759.7500,2095922
2015-11-10,753.4800,758.2600,760.6000,748.4100,1489929
2015-11-13,754.0400,740.0700,755.3300,739.4700,2409363
2015-11-12,760.1800,756.5300,765.7990,755.8600,1772555
2005-11-07,395.1000,395.0300,397.4700,392.1500,19163800
2015-11-17,752.4700,745.9800,754.9500,744.0500,1939934
2015-11-16,740.2100,750.4200,751.7100,734.3300,2535198
2017-08-01,947.8100,946.5600,954.4900,944.9600,1205799
2005-07-22,306.3700,302.4000,309.2500,296.3300,46726800
2016-03-23,763.3500,757.5600,765.3900,756.0300,1233854
2009-10-06,491.7001,498.7400,499.3700,491.7001,5459100
2009-10-07,499.0000,517.5400,518.9900,497.8100,9738600
2017-02-23,851.0800,851.0000,852.6200,842.5000,1386681
2008-11-17,303.0000,300.1200,310.1600,297.9500,15072500
2006-08-16,383.4800,387.7200,388.4500,382.1200,11694600
2015-12-14,751.2600,762.5400,764.1500,736.2600,2708520
2015-12-15,767.7900,760.0900,774.7500,758.0000,2469319
2015-12-16,766.5700,776.5900,781.5000,757.0450,2656010
2015-12-17,781.1600,769.8300,781.5900,769.3000,1825538
2015-12-10,763.5900,760.0400,766.0655,755.0000,1622940
2015-12-11,749.0000,750.4200,757.4400,748.6500,2159164
2013-01-07,735.4500,734.7500,739.3800,730.5800,3308000
2013-01-09,732.2700,738.1180,738.3500,728.6000,4045300
2013-01-08,735.5400,733.3000,736.2999,724.4300,3348800
2015-12-18,767.2300,756.8500,774.1400,756.5900,3389702
2005-07-25,302.3900,295.8500,303.2900,294.9600,19298200
2014-03-31,1130.4000,1114.5100,1135.0000,1112.8500,3880700
2005-05-31,269.5600,277.2700,278.4000,269.3700,44429100
2005-06-20,276.0800,286.7000,287.6720,271.7300,42007300
2008-11-19,295.3900,280.1800,300.1900,278.5800,15653500
2008-11-18,301.5700,297.4200,303.7300,285.3500,16675500
2014-02-11,1180.1700,1190.1800,1191.8700,1172.2100,4097400
2012-03-19,623.1200,633.9800,637.2700,621.2410,4341200
2009-02-12,353.1600,363.0500,363.6200,351.4800,11089400
2016-09-08,805.2200,802.8400,808.4200,801.0101,1177660
2016-09-09,798.7700,788.4800,801.7500,788.0500,1887633
2010-05-06,508.7500,498.6700,517.5200,460.0000,9990100
2010-05-07,499.9700,493.1400,505.3200,481.3300,10167800
2016-09-06,798.3900,808.0200,810.8900,795.4300,1989537
2016-09-07,807.9300,807.9900,810.6000,803.7200,1145724
2012-03-15,616.6000,621.1300,623.5000,614.8300,4865300
2016-09-01,791.9800,791.4000,792.8900,786.3300,1303460
2016-09-02,795.2700,796.8700,797.1000,793.2600,1349896
2012-03-16,620.8900,625.0400,625.9080,620.0500,6094800
2004-09-01,102.7000,100.2500,102.9700,99.6700,9138200
2017-04-17,841.3800,855.1300,855.6400,841.0300,1049125
2009-02-11,358.9600,358.0400,365.0000,353.0000,10452700
2017-04-11,841.7000,839.8800,844.6300,834.6000,974343
2017-04-10,841.5400,841.7000,846.7400,840.7900,1046215
2017-04-13,841.0400,840.1800,843.7300,837.8500,1073650
2017-04-12,838.4600,841.4600,843.7200,837.5900,1135775
2017-04-19,857.3900,856.5100,860.2000,853.5300,1080336
2017-04-18,852.5400,853.9900,857.3900,851.2500,936201
2009-02-17,345.5900,342.6600,347.0900,339.6900,11349400
2004-09-07,101.0100,101.5800,102.0000,99.6100,5847500
2004-09-02,99.0900,101.5100,102.3700,98.9400,15118600
2005-06-30,294.3400,294.1500,298.9300,291.0400,30158600
2005-10-11,311.1600,306.1000,312.6500,304.8600,17068100
2005-10-10,313.3100,310.6500,314.8200,309.1500,11133200
2005-10-13,302.0000,297.4400,302.0000,290.6850,21114200
2005-10-12,305.2000,300.9700,307.1900,299.0000,18593700
2005-10-14,299.2600,296.1400,300.2300,292.5400,17021100
2005-10-17,297.5000,305.0000,305.2000,294.5600,15118200
2005-10-19,304.0000,308.7000,309.8700,303.9600,14007300
2005-10-18,304.9600,303.2800,307.9600,302.7400,14141400
2017-08-24,943.7100,936.8900,946.3100,930.7400,1249098
2017-08-25,939.2100,930.5000,940.7300,930.1000,1169101
2017-03-09,853.6900,857.8400,860.7100,852.6700,1347697
2017-03-08,853.1200,853.6400,856.9300,851.2500,1029834
2016-05-31,748.7600,748.8500,753.4800,745.5700,2124248
2017-08-21,925.7700,920.8700,928.2500,918.6000,1292624
2017-08-22,926.9600,940.4000,941.9600,926.1700,1711377
2017-08-23,937.0000,942.5800,945.4300,935.2400,1126487
2017-03-03,848.9400,849.0800,850.8200,844.7100,1006612
2017-03-02,856.3100,849.8500,856.4900,848.7200,1250938
2017-03-01,851.3800,856.7500,858.0000,849.0200,1818671
2017-03-07,847.2600,851.1500,853.3300,845.5200,1038696
2017-03-06,846.8600,847.2700,848.9400,841.1700,1047872
2014-08-08,572.0200,577.9400,579.5639,569.0200,1493300
2008-04-23,558.0000,546.4900,559.3100,540.9500,9833100
2014-08-01,578.5550,573.6000,583.4300,570.3000,2213300
2014-08-05,579.3800,573.1400,580.2000,570.3100,1643800
2014-08-04,576.5100,582.2700,583.8200,572.2600,1519400
2014-08-07,576.0500,571.8100,578.3100,569.4300,1163000
2014-08-06,569.5000,574.4900,578.6440,567.4500,1322800
2011-05-06,538.1500,535.3000,541.4600,535.1800,4108000
2011-05-05,533.8600,534.2700,539.4212,531.5000,3991600
2011-05-04,535.1700,535.7900,539.0000,533.0200,4229700
2011-05-03,537.1300,533.8900,542.0100,529.6300,4158800
2011-05-02,545.7000,538.5600,545.7300,537.1200,4263100
2011-05-09,535.0000,537.6800,538.4900,531.1000,3893500
2014-11-14,558.0000,555.1900,558.0000,552.5100,1425060
2014-11-17,555.1900,546.6400,555.1900,544.4400,1680621
2014-11-10,552.4000,558.2300,560.6300,551.6200,1304481
2014-11-11,558.5200,561.2900,562.5000,556.2419,1100179
2014-11-12,561.1500,558.2500,561.2500,555.5000,1094114
2014-11-13,560.8100,556.4400,560.8199,554.0900,1510989
2004-09-08,100.7400,102.3000,103.0300,100.5000,4985600
2014-11-18,547.9300,544.5100,552.7900,543.8000,1822166
2014-11-19,544.7500,547.2000,548.2200,539.1900,1517286
2014-12-19,516.9900,520.0400,520.8100,508.8600,4872059
2014-12-18,515.9900,514.6200,516.2500,506.5600,3876732
2012-04-12,642.3500,651.0100,653.1400,640.2600,11501600
2012-04-13,647.5500,624.6000,648.9900,623.5400,16302200
2012-04-16,623.0000,606.0700,623.8100,601.6600,11372800
2012-04-17,608.5600,609.5700,617.6900,607.0100,6041700
2014-12-11,530.0100,532.1100,537.0400,529.1600,2073290
2014-12-10,535.9000,528.0400,539.3600,527.4900,2316204
2014-12-12,527.4400,521.5100,532.2400,521.4600,2371543
2014-12-15,523.7600,515.8400,525.3700,515.3970,2621977
2014-12-17,499.8600,506.4500,509.0700,499.1100,3639437
2014-12-16,513.6000,498.1600,515.5800,497.1900,4349882
2006-08-21,378.1000,377.3000,379.0000,375.2200,8038500
2009-10-30,550.0000,536.1200,550.1700,534.2400,6930000
2011-06-30,501.9900,506.3800,506.6700,501.5000,4851900
2011-10-03,509.8500,495.5200,512.0000,495.0000,8939800
2011-10-05,496.3500,504.7000,507.8000,480.7700,9059100
2011-10-04,490.0300,501.9000,503.4400,480.5960,8309200
2011-10-07,516.8300,515.1200,520.5000,510.3000,5706000
2011-10-06,507.5000,514.7100,515.2300,502.6000,6841700
2006-07-03,420.0400,423.2000,423.7700,419.4500,4309000
2006-07-05,421.5200,421.4600,422.8000,415.6400,9961200
2006-07-07,426.0500,420.4500,427.8900,415.8800,12071700
2006-07-06,423.3750,423.1900,425.3800,421.9800,7366800
2011-08-08,562.9800,546.0200,569.0000,544.3500,14978200
