date,open,close,high,low,volume
2002-08-13,26.7300,26.4900,28.0800,26.4100,18725700
2005-07-21,43.7000,43.3500,43.9300,43.0400,9706500
2015-11-19,126.5300,126.8600,127.6200,125.9500,4660904
2015-11-18,126.4400,126.5400,126.7300,124.6600,6501305
2008-11-14,21.7400,20.5400,22.6400,20.3200,24957300
2008-11-13,19.8900,22.2300,22.3700,19.1500,28059400
2008-11-12,19.8600,19.8000,20.3400,19.6200,18189400
2008-11-11,20.3900,20.5100,21.4700,19.9400,17405400
2008-11-10,21.5300,20.7400,21.7100,20.4600,14073700
2015-11-11,125.4300,124.7100,125.4300,124.5200,3247636
2015-11-10,124.4900,125.2600,125.4100,124.0400,3872769
2015-11-13,123.1000,120.0000,123.2500,119.9000,8728203
2015-11-12,124.1800,123.8100,124.9700,123.0600,4283672
2005-11-07,41.3400,41.5000,41.5700,41.1400,7188600
2015-11-17,124.8600,126.1800,126.3400,123.1000,10516554
2015-11-16,120.0500,120.8400,121.0300,118.6100,7782603
2004-05-27,35.5000,35.8400,36.0200,35.4200,8433900
2004-05-26,35.2500,35.4600,35.5400,34.9400,6813900
2004-05-25,34.6600,35.3000,35.3100,34.3100,7517900
2004-05-24,34.6000,34.6500,34.7800,34.3500,6276400
2017-08-01,150.2400,149.8500,150.3900,148.9500,3329387
2004-05-21,34.2500,34.4700,34.8200,34.1200,8684700
2004-05-20,34.0200,34.1000,34.3400,33.7700,6761300
2000-06-13,46.1300,49.3800,49.6900,45.9400,9177000
2000-06-12,47.5600,46.0000,47.5600,45.0000,12584100
2002-08-12,27.5000,26.7000,27.6900,26.5500,19157200
2000-06-16,50.8800,49.8100,51.0000,49.5600,7158700
2000-06-15,50.9400,50.8800,51.2500,50.2500,5048400
2004-05-28,35.8400,35.9200,36.3000,35.7700,7014700
2016-03-23,130.5900,130.2200,131.1800,129.9500,3625169
2001-06-19,49.9000,49.4900,50.0900,49.0500,3572300
2007-08-24,34.2100,34.6800,34.9500,34.1600,14370700
2011-12-01,38.8600,39.3400,39.5650,38.7900,9621900
2009-10-06,26.3100,26.2900,26.4800,26.1800,14352000
2009-10-07,26.2700,26.1400,26.4206,26.0700,13455700
2008-08-20,26.0100,25.9700,26.4400,25.6710,19012500
2017-02-23,146.1100,144.7100,146.3300,144.5100,4184046
2008-11-17,19.9200,20.0000,20.9900,19.7400,22643100
2006-11-27,38.1000,37.5900,38.1500,37.4600,12267800
2006-01-03,40.3900,41.2400,41.4458,39.7700,8959200
2006-08-16,34.5500,34.5000,34.6100,34.0200,12539600
2015-12-14,131.0900,132.0100,132.1255,130.7100,5959371
2015-12-15,132.6200,131.2900,133.4900,131.1900,4921773
2015-12-16,132.1700,132.9000,133.2800,130.3600,4711646
2015-12-17,133.0600,131.3500,133.5400,130.9950,4345798
2002-03-05,49.1800,47.5000,49.1800,47.1000,14541800
2015-12-11,131.0900,130.4400,132.1900,130.3100,5300644
2013-01-07,62.6000,62.8412,63.0000,62.3800,5466500
2002-03-06,47.7500,48.7000,48.9700,47.7000,9741600
2013-01-09,63.5100,63.1700,63.6300,63.0100,4712400
2013-01-08,62.7500,63.2200,63.4600,62.7300,5433000
2015-12-18,130.7300,130.2900,131.3100,130.0150,9807483
2017-08-04,151.0100,152.7500,152.7500,150.8000,3245699
2005-07-25,43.3300,43.0600,43.7600,43.0000,5009400
2014-03-31,79.2100,79.1300,79.3300,78.8400,5736200
2002-06-11,40.0500,39.1600,40.9000,39.0000,8343200
2002-06-10,38.8300,39.9500,40.2000,38.7500,8409600
2001-10-31,37.9900,38.2300,39.0100,37.3500,9468300
2005-05-31,39.8000,39.3500,39.9500,39.3300,7188900
2002-06-12,39.0700,38.0600,39.1500,38.0000,12306500
2003-03-13,22.5000,23.1500,23.2000,22.2700,11208700
2008-11-19,20.4800,19.7600,21.2600,19.6000,21970500
2003-03-12,21.7500,22.1700,22.1800,21.6600,10365400
2008-11-18,20.6600,20.7100,21.4200,19.9400,32638500
2003-03-11,21.9900,21.7500,22.2300,21.7500,7190100
2014-02-11,76.4400,76.7000,76.9900,76.1700,6292900
2001-09-10,40.0800,40.5500,41.3000,40.0600,11048500
2012-06-18,51.9300,52.3200,52.6300,51.6500,11636100
2000-06-19,49.3800,50.0000,50.0000,48.7500,5058600
2012-03-19,48.9100,48.8300,48.9900,48.4800,9028200
2009-02-12,21.7000,21.9800,22.0600,21.1500,23454000
2016-09-08,131.5500,131.2600,132.9400,131.1200,5019625
2016-09-09,130.6400,127.7400,130.8900,127.7300,6315009
2010-05-06,34.9200,33.9600,35.3750,32.0700,31183100
2010-05-07,33.7400,33.4300,34.3200,32.6300,28620700
2016-09-06,134.9600,134.1000,135.7200,133.8814,4215934
2016-09-07,133.3000,132.7900,133.8700,132.1600,4676049
2012-03-15,49.4100,49.2000,49.4400,48.8700,8869200
2016-09-01,134.4800,134.2300,135.0600,133.6600,3851836
2016-09-02,134.7700,135.1500,135.8800,134.5500,3402572
2012-03-16,49.4500,49.0500,49.5200,48.8500,13267200
2004-09-01,36.5500,36.8800,36.9500,36.3600,5789800
2017-04-17,145.9000,147.3100,147.3100,145.7600,3467650
2009-02-11,22.3600,22.1400,22.5000,21.9000,17896200
2017-04-11,147.9100,148.2000,148.6500,147.1000,2844794
2017-04-10,146.9600,148.2100,149.0000,146.7500,5044458
2017-04-13,146.4200,145.9100,147.0100,145.8700,2346886
2017-04-12,147.4200,146.5400,147.5700,146.3700,4445599
2001-08-31,45.8500,45.9500,47.1300,45.8400,5730000
2017-04-19,147.9300,147.2200,148.4000,147.0200,3460975
2017-04-18,147.0600,147.7600,148.1800,146.7700,2969413
2009-02-17,20.7000,19.9400,20.7500,19.8600,35715200
2004-09-07,37.7300,37.6400,37.9900,37.5100,6950800
2004-09-02,36.9100,37.9300,38.0000,36.9100,10186800
2005-06-30,39.9000,38.9000,40.0100,38.8400,7645900
2005-10-11,38.0200,38.2300,38.4000,38.0100,8306200
2005-10-10,38.1000,38.0200,38.6200,37.9499,8386100
2005-10-13,37.8700,37.9500,38.2000,37.7000,7965600
2005-10-12,38.2500,38.1200,38.3800,37.5800,8938900
2005-10-14,38.9100,38.4100,38.9100,37.9100,7870500
2005-10-17,38.5000,38.4600,38.5500,38.0000,5450900
2005-10-19,38.0000,39.2600,39.5000,37.5500,23767700
2005-10-18,38.3000,38.1600,38.3400,37.9700,7092000
2017-08-24,149.7300,148.2500,150.6000,147.9800,3718608
2017-08-25,148.5100,149.6500,150.5300,148.4000,3020468
2017-03-09,147.0800,146.6200,147.1600,146.5300,3594694
2017-03-08,146.2200,146.9200,147.1200,145.9200,3614479
2016-05-31,133.5700,132.1200,133.8000,131.7200,6366822
2017-08-21,147.1000,149.2000,149.8800,146.8900,3860701
2017-08-22,149.2900,149.9100,150.5800,149.2900,3201554
2017-08-23,148.5800,149.1000,149.4800,147.4300,5178283
2017-03-03,147.9500,147.8100,148.2600,146.8200,3413398
2017-03-02,147.0800,147.9500,148.2300,146.3900,4053352
2017-03-01,146.7200,146.6800,147.7000,145.8900,6213540
2000-06-14,49.7500,51.0000,51.0000,49.0600,8827700
2017-03-07,146.3300,146.0200,146.9500,145.8300,3995889
2017-03-06,147.1300,147.1300,147.5100,146.5800,3998026
2002-10-08,24.8900,25.2500,25.8500,24.1500,19936200
2014-08-08,81.0700,82.4300,82.4600,80.8800,7226500
2008-04-23,28.6800,28.1300,28.6900,28.0200,15925000
2016-05-19,131.4500,131.7300,132.1300,130.7800,4577199
2014-08-01,80.5600,79.7500,81.0799,79.7400,8708000
2003-04-01,24.6100,24.7900,24.7900,23.9800,10403600
2001-04-26,46.5000,47.3000,47.4000,46.1500,4794700
2014-08-05,79.7800,80.0300,80.8600,79.7800,5895500
2014-08-04,79.7000,80.0300,80.2500,79.6600,7025000
2014-08-07,80.7500,80.4700,81.0700,80.2900,4045900
2014-08-06,79.9400,80.5200,81.0200,79.8500,4228200
2011-05-06,37.3400,36.9900,37.4800,36.7700,10677800
2011-05-05,37.0000,37.0100,37.4300,36.7800,13661700
2011-05-04,37.3000,37.1900,37.6200,37.1000,11319900
2011-05-03,37.0800,37.3500,37.4200,37.0600,8833000
2011-05-02,37.4400,37.3500,37.6700,37.1800,7918500
2002-10-04,25.4800,25.8000,26.1900,24.6000,19569600
2003-04-02,25.1000,25.8800,26.1300,25.1000,13033900
2011-05-09,36.9300,36.9600,37.0900,36.7000,6550000
2014-11-14,98.9000,98.2400,99.0000,98.0200,4082879
2014-11-17,98.1700,98.0300,98.9450,97.8000,8575645
2014-11-10,97.6400,98.1600,98.1700,97.0000,3662160
2014-11-11,98.4600,98.1400,98.7500,97.8800,3819301
2014-11-12,98.3000,98.4900,98.7000,97.6100,4629393
2014-11-13,98.9000,99.0000,99.3600,98.3400,3182816
2003-09-15,31.9900,32.7800,32.9000,31.9500,15480000
2004-09-08,37.5000,37.2700,37.6400,37.0300,6507800
2014-11-18,97.1500,95.9800,97.7100,86.7800,10387062
2014-11-19,96.5500,96.7000,97.3100,96.0000,6830710
2015-12-24,132.8000,132.9000,133.4800,132.6600,1517075
2016-11-17,125.8700,128.9300,129.1400,125.7000,6801084
2014-12-19,100.9200,101.9300,102.0000,100.8100,12500604
2014-12-18,100.3400,100.6700,100.6900,99.3000,6593517
2012-04-12,49.8500,50.6300,50.6800,49.6602,10472200
2012-04-13,50.6000,50.9600,51.2800,50.6000,10430600
2000-12-27,40.7500,42.7500,43.1900,40.6300,7302000
2012-04-16,51.4400,51.6900,51.8500,50.9400,10239000
2012-04-17,51.7900,52.0300,52.1500,51.2600,9054400
2014-12-11,99.2800,100.2700,101.4000,99.1500,6863672
2014-12-10,99.3600,98.9400,100.2300,98.8200,5356939
2014-12-12,99.6900,99.7800,101.2500,99.3900,5985138
2014-12-15,100.0100,100.0500,101.2400,99.2900,5488342
2014-12-17,97.5900,98.9400,99.1400,97.0900,6096377
2014-12-16,99.3800,97.0600,100.2320,96.9900,7831429
2000-09-05,48.9400,50.1300,51.0000,48.6300,5492500
2000-09-07,50.6300,50.5000,51.0000,50.0600,5109900
2000-09-06,50.6300,50.6300,51.1300,50.5000,5266700
2000-09-01,49.0000,48.5600,49.0000,48.0600,5517300
2009-10-30,25.8300,25.0900,25.9000,24.9600,19426300
2000-09-08,50.8800,52.9400,53.4400,50.7500,7810500
2011-06-30,36.1900,36.2200,36.3100,35.9400,11945200
2011-10-03,32.8000,31.5900,33.0000,31.5800,17929700
2011-10-05,31.8400,32.8300,33.0400,31.7500,16324600
2011-10-04,31.1300,32.4700,32.5500,31.0300,15100000
2011-10-07,33.6400,33.9200,34.3400,33.4800,12809500
2011-10-06,32.5100,33.3800,33.4000,32.4000,9052800
2006-07-03,35.8600,35.7700,35.9800,35.7000,7944800
2006-07-05,35.6200,35.5300,35.7800,35.3900,14000400
2016-11-30,129.3400,129.4000,130.3200,128.8100,6972912
2006-07-07,35.5100,35.3700,35.7000,35.2800,14575700
2006-07-06,35.4500,35.4700,35.7300,35.4000,10733200
2004-02-23,35.7900,35.3800,35.9000,35.1600,8243100
2005-07-14,40.9700,41.0400,41.6500,40.9700,6442000
2011-08-08,30.1200,28.9300,30.3500,28.9200,38047000
2013-10-29,76.4500,77.5000,77.5500,76.3900,7248000
2013-10-28,76.1500,76.0600,76.4000,75.8000,7728100
2011-08-09,29.2800,30.1500,30.2600,28.1300,26132600
2013-10-25,76.5500,76.2500,76.6100,76.0100,5944200
2013-10-24,75.4200,76.7800,76.8400,75.4100,7927400
2013-10-21,74.6000,74.6200,74.8000,74.1500,7578700
2013-10-23,74.5400,75.0800,75.4100,74.5100,5526100
2013-10-22,75.0400,74.8600,75.1250,74.5901,6867000
2012-07-17,50.9200,50.7200,51.0900,50.2800,16519200
2012-07-16,51.8100,51.4500,51.8100,50.9300,8484000
2012-07-11,52.2100,51.6700,52.6100,51.3800,10075500
2012-07-10,52.4400,52.2200,52.7500,52.0600,8368700
2012-07-13,51.8600,52.0900,52.2000,51.7000,7970300
2012-07-12,51.0700,51.5500,51.8500,50.8600,9535000
2000-01-05,61.7500,61.7500,63.0000,61.0000,6931400
2000-01-04,64.0000,58.5000,64.3100,57.0000,8774500
2006-04-28,40.2500,39.9300,40.4300,39.9300,9010100
2000-01-06,61.6300,60.0000,62.0000,60.0000,6603400
2012-07-19,51.0100,50.9600,51.3800,50.5000,10630900
2012-07-18,50.5900,50.9100,51.0300,50.3200,9222600
2000-01-03,68.7500,68.7500,68.7500,68.7500,12030800
2001-02-08,46.0000,43.9900,46.2500,43.5800,7761100
2003-07-24,32.1600,31.4800,32.4700,31.4600,7095400
2003-07-25,31.7000,32.0000,32.0400,30.9100,10019400
2003-07-22,32.3200,31.7600,32.3200,31.4000,12416400
2003-07-23,32.0300,32.1200,32.3400,31.6800,8026100
2003-07-21,33.2000,32.1500,33.2450,32.1500,7447300
2010-07-08,28.3500,28.1500,28.3800,27.7200,15975800
2000-02-11,59.5000,60.0600,60.5000,59.1900,4647100
2014-08-21,90.6800,91.1500,91.8080,90.6700,8315900
2003-07-28,32.2000,31.7500,32.3700,31.4500,9533700
2003-07-29,31.8600,31.5700,32.1700,31.4600,9160000
2001-03-20,43.0000,41.9500,44.1400,41.9500,8313400
2010-09-08,29.3200,29.4500,29.6100,29.2800,9560100
2014-08-20,88.1700,90.7500,91.0700,88.0800,13394200
2011-08-01,35.0700,34.2500,35.0700,33.8800,14037800
2010-09-02,28.7600,29.4100,29.5500,28.7400,14321400
2014-08-27,91.6800,91.8700,91.9600,91.3110,4320200
2010-09-01,28.0800,28.6700,28.7400,28.0600,12772500
2010-09-07,29.6600,29.3300,29.8000,29.2750,8605900
2016-06-08,130.0100,129.5900,130.2950,129.2500,3742365
2009-06-26,23.4700,23.6100,24.0600,23.4200,18879400
2009-06-25,22.6700,23.5700,23.7500,22.6500,18940500
2012-12-03,65.0000,64.9800,65.9200,64.9000,6696200
2012-12-04,64.9300,64.2400,64.9900,64.2300,7787600
2012-12-05,64.1700,64.0200,64.4800,63.4500,6050500
2012-12-06,64.0600,64.3400,64.4500,63.6400,5837400
2012-12-07,64.6000,64.4500,64.7500,64.0400,6092800
2008-06-04,27.0700,27.1800,27.5000,26.8700,17537800
2008-06-05,27.4200,27.9100,28.1300,27.4000,20265500
2008-06-06,27.4500,27.1800,27.6900,27.1000,19366500
2004-02-26,36.4200,36.8400,36.9840,36.2000,8174400
2009-06-30,23.9200,23.6300,24.0100,23.3500,12676800
2009-06-29,23.6600,23.8700,24.1600,23.5600,12322400
2011-08-05,32.0700,30.7400,32.1500,30.6200,36483500
2001-07-02,46.9900,47.7000,48.2500,46.7000,4711300
2001-07-03,48.0500,47.8900,48.1800,47.3500,2435000
2000-12-26,41.6300,41.6300,41.6300,41.6300,6407000
2017-06-20,158.7300,157.6700,159.2200,157.6000,4192579
2009-05-08,25.7800,25.5000,25.7800,24.7500,18467600
2015-05-01,106.9800,109.5500,109.7900,106.8500,6696926
2014-08-28,91.4000,92.5100,92.7300,91.2700,7575700
