date,open,close,high,low,volume
2002-08-13,32.0000,30.2000,32.0900,30.2000,4458600
2005-07-21,38.4300,38.5400,39.1400,38.0100,6458600
2015-11-19,104.2600,105.0400,105.1800,104.0700,3408742
2015-11-18,102.6200,104.0600,104.1500,102.4184,2535792
2008-11-14,28.2500,27.3500,28.8100,27.0700,6877700
2008-11-13,26.8400,28.7900,28.9500,25.4600,9456500
2008-11-12,26.8800,26.7200,27.4100,26.5100,6847100
2008-11-11,28.5600,27.3800,28.6000,26.8900,6281400
2008-11-10,29.9100,28.9400,30.2800,28.5000,3777000
2015-11-11,102.8800,103.2600,104.1300,102.4500,2306258
2015-11-10,102.2700,102.4000,102.8600,101.3100,2757440
2015-11-13,101.7500,101.0800,102.5100,100.7900,2446173
2015-11-12,102.4600,101.9700,102.6400,101.6300,3478172
2005-11-07,36.0000,35.9000,36.0500,35.6000,3270600
2015-11-17,103.1800,102.2900,103.1800,101.9400,2423980
2015-11-16,101.0800,102.9600,102.9900,100.9600,2297969
2004-05-27,33.6000,33.7900,34.0700,33.4900,2074600
2004-05-26,33.4800,33.5900,33.7000,33.1600,2991800
2004-05-25,33.0200,33.6000,33.6600,32.8200,2195300
2004-05-24,33.5200,33.2200,33.8500,33.1600,2475400
2017-08-01,136.3500,137.0100,137.0550,135.8200,2859178
2004-05-21,33.2300,33.3100,33.5800,32.9600,1908600
2004-05-20,33.0000,33.0200,33.3300,32.6400,2024400
2000-06-13,50.7500,50.1900,50.8100,50.0600,1831100
2000-06-12,52.1900,51.2500,52.1900,51.2500,1368600
2002-08-12,32.0500,32.6400,32.9500,32.0000,2777400
2000-06-16,50.8800,48.5000,50.9400,48.5000,2866300
2000-06-15,51.3800,50.8800,51.6900,50.6900,1817900
2004-05-28,33.8800,33.7000,33.8800,33.3200,1618700
2016-03-23,112.4700,112.2100,112.7300,111.9300,2201322
2001-06-19,38.8000,38.5000,39.2000,36.7000,19481200
2007-08-24,55.7500,55.8000,55.9600,55.5000,4213800
2011-12-01,53.8800,54.1700,54.7000,53.8500,3614600
2009-10-06,36.5200,36.6000,37.2200,36.4300,6280600
2009-10-07,36.6400,36.3100,36.8200,36.2200,4500000
2008-08-20,49.0700,48.4900,49.1100,47.8100,3316700
2017-02-23,125.0000,124.8200,125.4200,124.0450,2992204
2008-11-17,27.0400,26.3100,27.3400,26.0900,5057300
2006-11-27,42.7700,42.1900,42.7700,42.0800,3394200
2006-01-03,37.2200,37.4600,37.6100,36.6600,4035500
2006-08-16,38.3800,38.7700,38.8400,38.1700,2656900
2015-12-14,98.3400,98.9800,99.0600,97.6600,5760545
2015-12-15,99.4300,98.4700,99.9500,98.3800,5086055
2015-12-16,101.7300,104.0800,104.4047,101.3000,7361232
2015-12-17,104.2000,102.3100,104.5300,102.2600,3747074
2002-03-05,39.0000,38.3000,39.6000,38.2000,5169200
2015-12-11,100.2700,98.2300,100.9900,97.9100,5553674
2013-01-07,66.0700,66.3600,66.8000,66.0000,4264600
2002-03-06,38.4000,39.0000,39.6500,38.1000,5709300
2013-01-09,66.0500,66.5400,66.5400,65.8700,3218100
2013-01-08,66.2500,65.7400,66.2600,65.5400,2977400
2015-12-18,102.0900,101.8300,102.9900,101.4500,5473669
2017-08-04,139.5600,140.0400,140.0700,139.1200,3494701
2005-07-25,38.2000,37.8200,38.2000,37.7400,2446200
2014-03-31,91.6600,92.7600,92.9200,91.4200,3330400
2002-06-11,37.3000,36.4000,37.9200,36.3200,3445900
2002-06-10,36.7100,36.7600,37.3000,36.3500,2846900
