date,open,close,high,low,volume
2002-08-13,17.4000,16.7000,17.9900,16.6900,48730600
2005-07-21,27.5200,27.0300,27.5400,26.9800,62008800
2015-11-19,33.2200,34.3000,34.7300,33.1300,45381552
2015-11-18,32.7300,33.1600,33.2405,32.6200,18619760
2008-11-14,14.0700,13.3200,14.1200,13.2400,74873700
2008-11-13,13.0400,14.4300,14.4400,12.8700,143460400
2008-11-12,13.5500,13.5200,13.9671,13.5100,72675400
2008-11-11,14.0300,13.9300,14.1800,13.4600,84853800
2008-11-10,15.0100,14.3500,15.0600,14.2300,52853700
2015-11-11,33.1600,32.8600,33.3800,32.8000,19864710
2015-11-10,33.1700,33.2100,33.2700,32.8100,22451689
2015-11-13,32.2700,32.1100,32.3800,31.9600,23673174
2015-11-12,32.7100,32.4000,32.9200,32.3900,23265389
2005-11-07,24.0800,24.5000,24.5500,23.9500,49974300
2015-11-17,32.1500,32.6400,32.8800,32.0100,22633643
2015-11-16,32.0900,32.1000,32.2550,31.9300,29899659
2004-05-27,28.4900,28.4500,28.5400,28.1800,55379500
2004-05-26,28.1000,28.3700,28.4800,27.9900,50431600
2004-05-25,27.6300,28.1000,28.3100,27.4800,65523400
2004-05-24,27.8300,27.7400,27.9200,27.5600,45718100
2017-08-01,35.6600,36.3500,36.4300,35.5700,37556349
2004-05-21,27.7300,27.5500,27.7500,27.3500,46798400
2004-05-20,27.3090,27.4100,27.6200,27.2300,52381300
2000-06-13,124.5000,131.5000,131.9000,124.1000,19563300
2000-06-12,127.8000,125.1000,128.0000,124.6000,12973500
2002-08-12,17.2000,17.5300,17.6100,17.0000,35477300
2000-06-16,129.3000,126.1000,129.7000,125.9000,22043100
2000-06-15,126.7000,128.3000,130.1000,126.5000,16705500
2004-05-28,28.5200,28.5500,28.9800,28.4900,48045200
2016-03-23,32.4700,32.0000,32.4700,31.9800,18765319
2001-06-19,28.5300,26.6700,28.7900,26.1500,60427600
2007-08-24,24.1900,24.7900,24.8800,24.0700,51695900
2011-12-01,24.8700,24.9200,24.9700,24.4000,51820400
2009-10-06,19.3000,19.6300,19.7800,19.2800,74185400
2009-10-07,19.6300,19.7500,19.8700,19.4700,49526400
2008-08-20,23.7400,23.3900,23.8000,23.1450,54152400
2017-02-23,36.2400,36.1800,36.3000,35.9000,22774979
2008-11-17,13.2100,13.0000,13.4800,13.0000,60210900
2006-11-27,21.4700,21.0200,21.4900,20.9500,52691900
