date,open,close,high,low,volume
2002-08-13,24.9500,24.4000,25.7800,24.3000,11024300
2005-07-21,35.7000,35.4000,35.7000,35.0600,9322000
2015-11-19,67.5800,67.6600,67.8200,67.0400,12839394
2015-11-18,66.4800,67.4500,67.5500,66.3700,12910083
2008-11-14,36.3300,34.4700,36.9100,34.1600,55941000
2008-11-13,34.6500,37.1900,37.5000,33.5000,74523600
2008-11-12,35.4200,34.5700,36.3000,34.3100,56726100
2008-11-11,35.8200,36.3500,37.4500,35.2700,61577400
2008-11-10,38.2800,36.4100,38.4800,35.6500,41558500
2015-11-11,68.1000,67.3500,68.1700,67.2500,8513925
2015-11-10,67.1900,67.6800,67.8500,66.9300,13237225
2015-11-13,65.8400,65.5600,66.1700,65.2300,11825836
2015-11-12,66.8600,66.0000,66.9000,65.9500,13575820
2005-11-07,37.4600,37.6800,37.7300,37.3800,8644600
2015-11-17,66.6700,66.1300,66.7400,65.8900,12354394
2015-11-16,65.4600,66.5100,66.5800,65.1700,11041091
2004-05-27,36.9900,36.9500,37.1000,36.5100,8163000
2004-05-26,36.8500,36.8300,37.0200,36.5000,6704000
2004-05-25,36.0900,36.8400,36.9000,35.8000,8236600
2004-05-24,36.2700,36.0800,36.4700,35.9000,6079600
2017-08-01,92.4900,93.0300,93.1400,92.2800,12424667
2004-05-21,35.8800,36.0800,36.2400,35.8700,7116500
2004-05-20,35.7500,35.9100,36.3000,35.7500,7384700
2000-06-13,46.2900,46.0000,46.2900,45.4600,5649900
2000-06-12,47.4900,46.3800,47.4900,46.0000,5142600
2002-08-12,25.8000,25.4600,25.8100,25.0100,9748200
2000-06-16,44.8000,43.3700,44.8000,42.1200,16619900
2000-06-15,47.6100,46.5900,47.6100,44.5000,9911800
2004-05-28,36.8700,36.8400,36.9600,36.6600,4311000
2016-03-23,60.3400,59.9400,60.5100,59.8600,11657591
2001-06-19,44.6300,43.7600,44.6300,43.4000,5717600
2007-08-24,45.5000,45.9500,46.0000,45.0300,13248000
2011-12-01,30.8600,30.4600,30.9700,30.0300,33189700
2009-10-06,44.3600,44.9100,45.0000,44.0700,41695700
2009-10-07,44.6000,45.7000,45.8200,44.4600,36148700
