date,open,close,high,low,volume
2002-08-13,50.6000,49.6800,51.3900,49.6100,5241800
2005-07-21,31.4500,31.3800,31.6800,30.8200,9192900
2015-11-19,54.4400,54.2800,54.5289,53.9215,6839235
2015-11-18,53.8600,54.2300,54.3200,53.7000,10811362
2008-11-14,27.9600,27.3300,28.7700,27.2500,16182000
2008-11-13,27.3900,28.5300,28.7300,26.0800,19972700
2008-11-12,27.4000,26.7200,27.4200,26.5200,13127700
2008-11-11,27.8100,27.5500,28.0400,27.0200,11751900
2008-11-10,29.5600,27.9100,29.8500,27.5100,13169100
2015-11-11,54.8100,53.7200,55.0000,53.6800,8544587
2015-11-10,54.3800,54.4300,54.6000,54.0200,7462188
2015-11-13,53.4600,53.0300,53.7200,52.9000,11394539
2015-11-12,53.5900,53.0300,53.9701,53.0300,8577457
2005-11-07,29.2200,29.4500,29.4600,29.0000,5711800
2015-11-17,53.7100,53.7100,54.3000,53.2900,7126622
2015-11-16,52.1900,53.7000,53.8100,52.1300,6907842
2004-05-27,47.0000,47.4300,47.5000,46.7500,5141800
2004-05-26,46.7500,46.9200,47.0700,46.5900,5477700
2004-05-25,46.0300,46.8300,46.9200,46.0000,3903000
2004-05-24,46.6100,46.2500,46.7200,45.8300,3655000
2017-08-01,64.0400,63.9200,64.2700,63.7700,6456627
2004-05-21,46.7000,46.5900,46.8600,46.3800,3539600
2004-05-20,46.3800,46.5000,46.7300,46.2000,5244000
2000-06-13,70.6300,73.4400,73.8800,70.5000,4218500
2000-06-12,70.1300,69.9400,71.7500,69.8100,2606800
2002-08-12,50.1500,51.2500,51.5800,50.1000,4642300
2000-06-16,72.5600,71.0000,73.3100,71.0000,10571300
2000-06-15,73.0000,72.8100,73.7500,72.5000,3750800
2004-05-28,47.3500,47.3000,47.7500,47.2300,4753800
2016-03-23,53.6000,53.0800,53.6000,52.8500,9947490
2001-06-19,73.9000,74.6000,74.6000,73.5000,3738200
2007-08-24,50.5000,50.8200,50.8600,50.0900,7147400
2011-12-01,35.7300,35.6800,35.9900,35.5600,12563700
2009-10-06,31.9400,32.5100,32.5600,31.6700,20658200
2009-10-07,32.3900,32.1900,32.4800,31.9400,11588100
2008-08-20,35.2500,34.9400,35.4300,34.7000,9685700
2017-02-23,65.5200,65.8500,66.1100,65.3500,6855571
2008-11-17,26.7300,25.9900,26.9700,25.9100,11982200
2006-11-27,44.0700,43.6200,44.3100,43.5800,10220800
2006-01-03,32.5200,32.7500,32.8700,31.8100,11627600
2006-08-16,41.2500,41.1800,41.4200,40.9700,6863800
2015-12-14,52.1500,52.2000,52.3600,51.6500,11998481
2015-12-15,52.4800,52.9000,53.1900,52.2300,11585926
2015-12-16,53.4200,54.0200,54.1145,53.0000,10014027
2015-12-17,54.1100,52.6600,54.2500,52.6600,13517113
2002-03-05,62.7500,61.8100,62.9700,61.8100,5618700
2015-12-11,53.0000,52.1500,53.2800,52.0200,10397896
2013-01-07,42.0400,42.1200,42.1900,41.8500,11503600
2002-03-06,61.9000,62.6700,63.0100,61.8500,4868300
2013-01-09,42.3900,42.5900,42.6500,42.2000,10073100
2013-01-08,42.2500,42.1800,42.6900,42.1800,14750900
2015-12-18,52.1500,51.6400,52.3200,51.6100,21079743
2017-08-04,63.6300,63.1000,63.6900,62.9400,5321136
2005-07-25,31.0500,30.7400,31.0900,30.6200,7030700
2014-03-31,56.0900,56.7700,56.8400,56.0400,14181200
2002-06-11,53.4000,51.8800,54.0000,51.6200,9511300
2002-06-10,52.6700,54.3000,54.9000,52.2600,5665900
2001-10-31,64.7300,63.8100,64.9600,63.8000,4138100
2005-05-31,32.4500,32.4400,32.5500,32.2800,13455700
2002-06-12,50.7800,51.9900,52.1000,50.7800,7825500
2003-03-13,51.2600,51.1100,51.6400,50.6500,7448000
2008-11-19,25.8300,25.3100,26.9000,25.2000,15545600
2003-03-12,50.7700,51.2600,51.2600,50.3700,5812400
2008-11-18,25.6800,26.1300,26.7000,25.0700,18212300
2003-03-11,50.7800,50.7700,51.0600,49.9000,5834800
2014-02-11,54.7100,55.7000,55.7500,54.4400,15352600
2001-09-10,64.0000,66.1000,66.5000,63.5100,5481000
2012-06-18,38.7200,38.8500,39.0600,38.7200,8254900
2000-06-19,71.5000,72.0600,72.7500,70.8800,3294600
2012-03-19,37.9400,37.8900,38.0350,37.8400,9747400
2009-02-12,29.2300,29.3400,29.4300,28.5300,10868100
2016-09-08,62.4500,63.2400,63.2900,62.3300,9186287
2016-09-09,62.6900,62.4900,62.7100,62.3200,12587535
2010-05-06,35.4100,34.2700,35.5800,30.7000,30769800
2010-05-07,33.9100,33.4900,34.2225,32.9500,26434900
2016-09-06,62.9900,63.2400,63.4700,62.7700,7930326
2016-09-07,63.3100,62.8700,63.4900,62.5950,8668038
2012-03-15,38.1500,38.0600,38.2500,37.9500,12246000
2016-09-01,62.7000,62.9000,62.9800,62.3900,6544694
2016-09-02,62.5900,62.9800,63.2700,62.5900,7613244
2012-03-16,38.1700,38.0300,38.3300,37.9700,18555500
2004-09-01,44.5900,44.5400,44.6900,44.1200,4982400
2017-04-17,62.7100,62.8000,62.8400,62.3900,5334438
2009-02-11,29.0900,29.7200,29.9400,29.0100,10317100
2017-04-11,62.4900,62.5800,62.7600,62.1800,6544754
2017-04-10,63.2700,62.5500,63.3300,62.5300,7247668
2017-04-13,62.7900,62.6100,63.0000,62.5600,5932538
2017-04-12,62.3700,63.0500,63.2100,62.2800,9509164
2001-08-31,65.6500,65.1000,66.7800,64.7600,3913000
2017-04-19,62.2600,62.6400,62.6400,62.0000,10349052
2017-04-18,62.4600,62.2700,62.4600,61.9900,7394709
2009-02-17,28.1400,28.6100,29.0300,27.8800,20596300
2004-09-07,45.6500,45.7800,45.9200,45.3500,5019700
2004-09-02,44.6500,45.1200,45.3100,44.4000,4396000
2005-06-30,31.4000,30.8000,31.4000,30.6000,8482400
2005-10-11,27.1000,26.7500,27.1400,26.5800,10508000
2005-10-10,26.5000,26.9000,26.9700,26.2100,12567500
2005-10-13,26.8000,26.8100,27.1900,26.7100,7462500
2005-10-12,27.2400,26.7800,27.2400,26.7400,8281500
2005-10-14,26.8300,27.1600,27.2000,26.5900,8366200
2005-10-17,27.1000,27.0800,27.3200,26.6700,5513700
2005-10-19,27.1200,26.9200,27.1500,26.7800,8604700
2005-10-18,26.8900,27.0500,27.3400,26.8500,10435200
2017-08-24,62.2500,62.7100,62.9100,62.1900,7693136
2017-08-25,62.8700,62.9400,63.2900,62.7700,5262101
2017-03-09,65.9700,65.8900,66.0300,65.5200,7735152
2017-03-08,65.9600,65.8000,66.1200,65.2700,8418318
2016-05-31,56.4900,56.2600,56.7200,56.0750,9468175
2017-08-21,61.4800,61.9700,62.0400,61.4300,6675850
2017-08-22,61.9700,62.4200,62.5000,61.9200,5435216
2017-08-23,62.2500,62.1500,62.6000,62.1500,5969566
2017-03-03,66.0800,66.5800,66.6200,65.8100,8322960
2017-03-02,66.3800,66.0800,66.5800,66.0000,8647430
2017-03-01,66.0700,66.2100,66.8000,65.8900,10680729
2000-06-14,73.6900,72.9400,74.3100,72.0000,5639500
2017-03-07,65.4300,65.9600,66.3100,65.1900,8328169
2017-03-06,66.0800,66.4700,66.7800,65.9000,8687456
2002-10-08,45.0000,46.0000,46.8000,44.6300,7545600
2014-08-08,55.8700,56.5500,56.6100,55.5750,7081500
2008-04-23,38.7700,38.6200,38.8800,38.0000,17963100
2016-05-19,54.1600,54.5800,54.9800,54.0800,8733895
2014-08-01,56.9500,57.0600,57.2700,56.3600,10141000
2003-04-01,55.1000,55.6000,55.8000,54.7800,5072900
2001-04-26,74.6100,74.8500,75.5500,74.1200,4575000
2014-08-05,56.7200,56.0300,56.9700,55.8200,9031200
2014-08-04,56.9500,57.0600,57.2700,56.3600,8649500
2014-08-07,56.2100,55.6400,56.5600,55.5700,7215500
2014-08-06,55.8800,55.9300,56.1400,55.7200,12275800
2011-05-06,36.5300,36.3900,36.7500,36.2900,12773600
2011-05-05,36.4500,36.2500,36.6400,36.1700,16487800
2011-05-04,36.3600,36.5600,36.7488,36.2700,17399100
2011-05-03,36.2400,36.4100,36.6400,36.0700,17721100
2011-05-02,36.4400,36.3100,36.5750,36.1800,18387300
2002-10-04,45.8100,44.2600,46.0000,43.7700,8031200
2003-04-02,55.6000,56.7700,57.2700,55.6000,5194200
2011-05-09,36.1100,36.4800,36.5800,36.1000,10732800
2014-11-14,59.2300,59.0700,59.5500,58.7700,7130581
2014-11-17,59.7100,59.4600,59.9000,59.3100,8570380
2014-11-10,58.2400,58.8100,59.1900,57.7000,14598204
2014-11-11,59.7200,59.3700,59.9500,59.2100,13303665
2014-11-12,59.2800,59.3100,59.5500,59.0960,6668822
2014-11-13,59.5000,59.5400,59.9500,59.1800,6646925
2003-09-15,53.4900,53.0900,53.5300,53.0900,3817600
2004-09-08,45.6500,45.6400,45.9900,45.5700,5519400
2014-11-18,59.4900,59.8900,60.1300,59.1500,7668095
2014-11-19,59.6300,59.6400,59.7300,59.1300,7304294
2015-12-24,52.7900,52.8500,53.1300,52.6100,2980053
2016-11-17,62.5100,62.7000,62.7900,62.1150,8360674
2014-12-19,59.2500,59.5800,59.8976,59.0100,17374218
2014-12-18,58.5900,58.9800,58.9800,58.0900,13359389
2012-04-12,38.7100,38.2650,38.7100,38.1900,12806400
2012-04-13,38.0900,37.7800,38.1000,37.7700,20858100
2000-12-27,92.7500,92.6900,94.6900,92.6300,5028300
2012-04-16,37.8800,37.9500,38.0600,37.8800,13938100
2012-04-17,38.1100,38.5100,38.5400,37.9850,11200400
2014-12-11,59.7800,59.3400,60.5800,59.1900,11313581
2014-12-10,60.1200,59.9800,60.5200,59.7000,13253207
2014-12-12,59.1300,57.7200,59.6500,57.7100,12120150
2014-12-15,57.8200,56.9500,58.0600,56.8000,12175188
2014-12-17,57.0500,57.6300,57.8000,56.5600,12669862
2014-12-16,56.9700,56.8000,58.2900,56.7800,11210543
2000-09-05,67.0000,67.1400,68.4400,66.0000,5885200
2000-09-07,65.2500,67.2500,67.6300,65.0000,5074700
2000-09-06,67.6300,66.0000,68.0600,65.3100,4766500
2000-09-01,69.0600,69.1900,70.1300,69.0600,3626500
2009-10-30,31.1700,30.9300,31.7800,30.8300,40464100
2000-09-08,67.2500,67.5200,68.5000,66.3800,4810400
2011-06-30,35.2200,35.2900,35.4650,35.1000,12751200
2011-10-03,32.5900,31.5700,32.7200,31.5600,23819600
2011-10-05,31.4400,31.4600,31.7700,31.0100,25274000
2011-10-04,31.2700,31.3500,31.4400,30.5400,28700000
2011-10-07,31.9100,31.6100,32.2800,31.5700,21872700
2011-10-06,31.3700,31.4200,31.5600,30.9910,18601200
2006-07-03,36.9000,36.6200,36.9300,36.4600,8743000
2006-07-05,36.6400,36.6900,36.9100,36.5100,8608600
2016-11-30,62.3100,61.1900,62.3200,60.9900,12530631
2006-07-07,36.7000,36.9700,37.0000,36.3400,10006800
2006-07-06,36.7000,36.6600,36.9500,36.5000,9700400
2004-02-23,48.4700,48.5400,48.8000,48.3200,5208000
