date,open,close,high,low,volume
2002-08-13,41.8500,41.2000,43.5900,41.1400,5447300
2005-07-21,53.8000,53.3800,53.9100,53.2100,3834700
2015-11-19,34.2800,34.1700,34.4400,33.9500,8947465
2015-11-18,33.6900,34.2500,34.3100,33.6100,10396151
2008-11-14,12.6700,12.0300,13.1900,11.5100,34968900
2008-11-13,12.3400,13.2100,13.3500,10.7700,58075400
2008-11-12,13.5600,11.9400,13.9500,11.9400,34221200
2008-11-11,14.0800,14.0800,14.4400,12.8000,46738800
2008-11-10,16.6600,14.5800,16.6600,14.1500,29810900
2015-11-11,35.3800,35.0200,35.5400,34.9500,7511346
2015-11-10,35.0000,35.2400,35.3200,34.7275,7335612
2015-11-13,34.0400,33.9300,34.3700,33.7800,8725104
2015-11-12,34.7400,34.2300,34.7700,34.1800,10403434
2005-11-07,52.4100,52.7200,52.9200,52.2500,4612900
2015-11-17,34.4400,33.5900,34.4400,33.4700,10853281
2015-11-16,33.7400,34.0500,34.1400,33.2200,11227415
2004-05-27,54.4500,54.0500,54.8000,53.7000,3847200
2004-05-26,53.8900,54.2000,54.5000,53.3800,4422500
2004-05-25,52.6500,53.8800,54.0500,52.2000,5439700
2004-05-24,52.8400,53.2800,53.3000,52.6200,3692900
2017-08-01,47.2500,47.2100,47.5300,47.0600,6321633
2004-05-21,52.8800,52.5300,53.1800,52.3200,3472000
2004-05-20,52.2600,52.2600,52.7200,51.9100,4114500
2000-06-13,80.8100,83.3800,84.0000,79.9400,2733800
2000-06-12,79.2500,80.8100,81.4400,79.2500,1852500
2002-08-12,41.8000,41.8900,42.1100,41.0500,3603800
2000-06-16,82.1200,81.1200,84.0600,81.0000,4140100
2000-06-15,84.6200,83.9400,84.8800,80.2500,2789200
2004-05-28,54.0500,53.5100,54.0900,53.0400,3580500
2016-03-23,25.8300,25.2700,25.8700,25.2000,10430500
2001-06-19,59.4900,58.4500,60.5500,58.4500,6191200
2007-08-24,64.2200,64.5400,64.7500,63.1000,7126700
2011-12-01,14.5600,14.5100,14.9000,14.3500,25387900
