date,open,close,high,low,volume
2002-08-13,9.6100,9.0900,9.7000,9.0600,54342800
2005-07-21,13.9500,13.7200,14.0500,13.5400,41179300
2015-11-19,38.6700,39.0200,39.3200,38.6200,12306010
2015-11-18,38.1900,38.7000,38.7300,38.1500,11958895
2008-11-14,17.2600,16.9000,17.7900,16.6600,51944100
2008-11-13,16.3300,17.7200,17.7500,15.6300,62134400
2008-11-12,16.8200,16.4700,17.0400,16.4000,44447600
2008-11-11,17.3800,17.2900,17.5200,16.7900,35681000
2008-11-10,17.8350,17.5600,17.8400,17.3600,24816800
2015-11-11,39.2400,39.0400,39.6000,38.9800,18861512
2015-11-10,39.8300,39.9200,40.1700,39.7900,11294021
2015-11-13,38.4800,37.3000,38.6000,37.2200,23987129
2015-11-12,38.6500,38.6300,39.1050,38.5100,14590012
2005-11-07,12.6000,12.6100,12.6400,12.4499,29100600
2015-11-17,38.2300,38.1300,38.5150,37.9700,14819972
2015-11-16,37.6900,38.1200,38.3900,37.5600,16740998
2004-05-27,11.5000,11.4800,11.6210,11.3700,40369500
2004-05-26,11.4300,11.4800,11.5000,11.2800,32837400
2004-05-25,11.3100,11.5000,11.5200,11.1800,44651300
2004-05-24,11.3400,11.3600,11.4300,11.2800,30700600
2017-08-01,50.1500,50.1600,50.2200,49.8200,5925093
2004-05-21,11.3200,11.2300,11.3910,11.1800,38074300
2004-05-20,11.3800,11.2300,11.3800,11.1500,35553700
2000-06-13,79.9800,81.6900,81.7500,78.0600,18614700
2000-06-12,82.5600,80.5600,82.8100,80.3800,12103000
2002-08-12,9.6700,9.7300,10.0200,9.6400,33188100
2000-06-16,81.8800,81.8800,83.7500,81.0600,20952200
2000-06-15,79.2500,82.5000,82.6300,79.1300,18393400
2004-05-28,11.4200,11.4000,11.4900,11.3200,30497100
2016-03-23,41.3000,40.7500,41.3500,40.5700,13666056
2001-06-19,17.0500,16.7600,17.0800,16.4400,123132300
2007-08-24,19.3000,19.9400,19.9700,19.3000,26753000
2011-12-01,31.4000,31.6700,31.7800,31.1400,22197000
2009-10-06,20.4700,20.5400,20.6000,20.3000,37202700
2009-10-07,20.5200,20.5700,20.9500,20.4700,41754000
2008-08-20,22.6800,22.6600,22.9500,22.5000,21921000
2017-02-23,42.5600,42.9600,42.9900,42.5000,15483953
2008-11-17,16.6100,16.4100,16.9900,16.3000,41318500
2006-11-27,19.4800,18.9200,19.5500,18.8300,36667400
2006-01-03,12.2300,12.6000,12.8000,12.2200,56073800
2006-08-16,15.7400,15.5400,15.7500,15.4100,49609300
2015-12-14,37.1500,37.6500,37.6800,36.8500,20134909
2015-12-15,38.1000,38.2100,38.5300,37.9500,19263508
2015-12-16,38.6700,38.9100,39.1400,38.3450,23463499
2015-12-17,38.0900,36.9300,38.2000,36.5400,42879939
2002-03-05,13.9700,13.8500,14.1400,13.6700,72999800
2015-12-11,37.6200,37.2100,37.8500,37.0350,20346816
2013-01-07,34.4400,34.4300,34.5150,34.2100,14008300
2002-03-06,13.8000,14.1400,14.2100,13.6300,47536200
2013-01-09,34.5000,34.4600,34.8000,34.3800,18932700
2013-01-08,34.1500,34.4400,34.5100,34.0600,17408900
2015-12-18,36.8900,36.3500,37.0800,36.3100,28648184
2017-08-04,50.1800,49.9600,50.2100,49.8700,6982595
2005-07-25,13.8000,13.7900,13.9000,13.7099,18455700
2014-03-31,39.7500,40.9100,41.4300,39.6300,48340300
2002-06-11,8.2900,8.0300,8.4800,7.9700,39634900
2002-06-10,8.4200,8.1400,8.4300,8.0800,38192900
2001-10-31,13.8700,13.5600,14.1800,13.4700,36448300
2005-05-31,12.7700,12.8000,12.8700,12.6900,28423900
2002-06-12,7.9100,8.2600,8.3000,7.7300,61515800
2003-03-13,11.3100,11.9300,11.9400,11.1900,57891600
2008-11-19,16.9000,16.0000,17.3000,15.9700,65869100
2003-03-12,10.6600,11.0000,11.0600,10.6400,41539800
2008-11-18,16.5200,17.0200,17.0272,15.9200,55664200
2003-03-11,10.8100,10.6800,10.9600,10.6500,36460600
2014-02-11,37.5000,37.8400,37.8950,37.3900,12066100
2001-09-10,10.8900,11.4600,11.5200,10.8500,53889500
2012-06-18,27.4250,27.1200,27.4300,26.6900,38322000
2000-06-19,82.0600,86.0000,86.0600,81.2500,25538600
2012-03-19,29.5900,29.7600,29.8900,29.4300,32519400
2009-02-12,17.5500,17.5500,17.6100,16.9400,42572500
2016-09-08,40.9300,40.7200,41.0000,40.6000,16732092
2016-09-09,40.3300,40.0300,40.7400,40.0300,14477482
2010-05-06,24.8600,23.9100,24.9700,22.2000,56242000
2010-05-07,23.9250,23.4100,24.2550,23.1100,63592900
2016-09-06,41.3700,41.2500,41.3700,41.0700,8308325
2016-09-07,41.1400,41.2500,41.3100,40.9500,10415336
2012-03-15,29.9600,30.0600,30.1300,29.7400,35528500
2016-09-01,40.9800,41.1600,41.2600,40.7800,10652531
2016-09-02,41.2600,41.2500,41.4196,41.0300,9019468
2012-03-16,30.1100,29.7400,30.1600,29.5800,38651200
2004-09-01,9.9600,10.0500,10.1100,9.9400,28920000
2017-04-17,44.1200,44.2900,44.3600,44.0000,10999992
2009-02-11,17.6500,17.8000,18.0100,17.5700,28637900
2017-04-11,43.8900,44.1700,44.4500,43.7600,15422243
2017-04-10,44.2100,44.0000,44.4500,43.9600,11668629
2017-04-13,44.1900,44.0000,44.4500,43.9800,11838300
2017-04-12,44.3300,44.1800,44.4100,44.0300,8457041
2001-08-31,12.1000,12.2100,12.8300,12.0400,38723800
2017-04-19,44.4400,44.1900,44.5400,44.0800,10711956
2017-04-18,44.2100,44.5200,44.5800,44.1400,10446944
2009-02-17,17.1500,16.9600,17.3400,16.8100,41029500
2004-09-07,10.1700,10.0800,10.2200,9.9800,31732100
2004-09-02,10.0700,10.2900,10.3500,9.9700,40370000
2005-06-30,13.5600,13.2000,13.6300,13.1599,73638100
2005-10-11,12.0100,12.0800,12.2101,11.9900,45667300
2005-10-10,11.9700,12.0100,12.0700,11.8500,29861900
2005-10-13,11.9900,12.0800,12.2201,11.9700,27465200
2005-10-12,12.0600,12.0000,12.2500,11.9990,38115600
