date,open,close,high,low,volume
2002-08-13,44.3000,43.9100,44.9300,43.8500,4423000
2005-07-21,54.8100,54.6800,54.9700,54.3700,3877800
2015-11-19,100.5200,100.9300,101.3700,100.5000,3496007
2015-11-18,99.0700,100.2700,100.3800,98.9100,4073669
2008-11-14,54.7800,53.5200,56.1300,52.1100,9990700
2008-11-13,53.2800,55.5900,55.6900,52.0100,10991600
2008-11-12,54.1200,53.1000,55.0600,52.9200,7447800
2008-11-11,54.6100,55.0800,56.1200,53.4744,7532200
2008-11-10,56.3800,54.6100,56.3900,53.7500,7633300
2015-11-11,99.2800,99.4300,99.9598,99.0900,3151467
2015-11-10,98.5000,98.8300,99.2200,98.3800,3367819
2015-11-13,98.1900,98.0400,98.9500,97.8100,4000911
2015-11-12,98.9000,98.3700,99.3300,98.3400,3892758
2005-11-07,58.4800,58.5600,58.7800,58.2900,3353500
2015-11-17,99.5400,98.8300,99.8800,98.5550,3446515
2015-11-16,97.7500,99.5600,99.6600,97.6500,3446744
2004-05-27,53.4700,53.5300,53.7500,53.0000,4076300
2004-05-26,53.8700,53.3000,53.9500,52.7400,4963000
2004-05-25,53.2200,53.8200,54.0000,53.0000,3413600
2004-05-24,53.7500,53.4200,53.9800,53.1600,2869800
2017-08-01,116.6900,115.9200,116.7800,115.9000,2860667
2004-05-21,53.9800,53.4600,54.0800,53.2200,3427400
2004-05-20,52.6500,53.8000,53.9700,52.6500,3876300
2000-06-13,42.3800,42.8100,43.0000,42.2500,6619800
2000-06-12,41.5000,41.9600,42.4400,41.5000,3470300
2002-08-12,43.8000,44.3000,44.6000,43.0000,5133800
2000-06-16,43.8100,43.7500,43.9400,43.6300,6044800
2000-06-15,43.0000,43.3800,43.9400,42.8800,5856600
2004-05-28,53.5500,53.3700,53.7000,53.2900,3016900
2016-03-23,100.6900,100.8100,101.7626,100.5300,3407894
2001-06-19,43.4200,43.7100,43.9400,43.2000,4891400
2007-08-24,68.0700,68.2200,68.3900,67.8300,3995100
2011-12-01,64.2700,64.0900,64.4700,63.8300,7686200
2009-10-06,61.0500,60.8700,61.2700,60.4200,8128900
2009-10-07,60.8500,61.1700,61.3800,60.4500,6441900
2008-08-20,70.3700,69.8500,70.3700,69.4000,4082700
2017-02-23,109.1200,109.5400,110.0000,109.1200,3382733
2008-11-17,53.4700,52.9700,54.7900,52.6000,8527600
2006-11-27,62.1500,61.5000,62.2700,61.4200,4767200
2006-01-03,59.9200,59.7600,59.9200,58.9300,4424100
2006-08-16,63.4500,63.2900,63.5828,63.1300,3387100
2015-12-14,98.0900,97.9500,98.6200,96.8100,6633208
2015-12-15,98.5300,99.3900,99.6700,98.2000,5554162
2015-12-16,99.8400,101.0800,101.3300,99.6500,4993997
2015-12-17,101.0000,100.2000,101.1100,100.1700,4303613
2002-03-05,50.5200,50.3900,50.7000,49.7000,4225100
2015-12-11,97.9300,97.7800,98.7900,97.5400,5429692
2013-01-07,69.5300,69.4500,69.6900,69.1600,5658400
2002-03-06,50.0000,49.8800,50.3700,49.5300,4153000
2013-01-09,69.9500,70.0100,70.0400,69.5700,6280900
2013-01-08,69.2500,69.6600,69.7000,69.2500,5072500
2015-12-18,99.7500,97.9000,99.7600,97.8800,6907028
2017-08-04,116.3200,116.3700,116.4900,115.8700,2920378
2005-07-25,54.9000,54.5700,55.0700,54.2300,3550000
2014-03-31,83.7400,83.5000,83.8000,83.1700,6620900
2002-06-11,51.2800,50.9200,51.4800,50.7000,3254000
2002-06-10,51.2000,51.2500,51.4900,50.9200,2305100
2001-10-31,48.7500,48.7100,48.9500,48.2500,3270100
2005-05-31,56.5000,56.2600,56.6900,56.2600,5173900
2002-06-12,50.5200,51.6500,51.9500,50.5100,4497400
2003-03-13,38.2300,38.8600,38.9900,37.9700,3756900
2008-11-19,52.8100,52.1000,54.4000,51.8000,11360000
2003-03-12,37.2500,37.7300,37.8600,37.1000,5072000
2008-11-18,52.0200,53.1400,53.8800,51.1100,13268800
2003-03-11,37.6200,37.7000,38.4300,37.6000,5157400
2014-02-11,80.4800,81.2500,81.3300,80.3300,5068100
2001-09-10,47.4000,46.9000,47.5000,46.5500,5179300
2012-06-18,69.4200,69.6000,69.7500,69.4000,4337700
2000-06-19,43.8100,43.6900,44.1300,43.5600,3689700
2012-03-19,64.3200,64.7300,64.8800,64.2700,6555900
2009-02-12,50.5100,52.0000,52.1700,50.0000,10423700
2016-09-08,107.1000,106.8800,107.3350,106.4900,3491416
2016-09-09,106.0200,104.0500,106.1900,104.0500,6134504
2010-05-06,65.1600,64.7000,66.2000,61.9100,14046200
2010-05-07,64.4600,64.5700,65.0400,63.6600,13221500
2016-09-06,107.7900,107.9200,108.1200,107.3950,2913270
2016-09-07,107.7600,107.2100,107.9700,106.7800,3260537
2012-03-15,64.0000,64.1700,64.3400,63.8000,4734500
2016-09-01,106.4600,107.2900,107.3400,106.2900,3799038
2016-09-02,107.5800,107.8700,108.2500,107.5000,3671099
2012-03-16,64.2300,64.4700,64.5000,64.1799,8870500
2004-09-01,50.0600,49.7400,50.1300,49.4200,2952300
2017-04-17,112.7400,113.3200,113.3200,112.6800,2917688
2009-02-11,50.1400,50.6100,50.9200,49.5800,5917500
2017-04-11,111.7100,111.7300,112.0800,111.3500,3031448
2017-04-10,111.7000,112.0200,112.1500,111.4100,2873249
2017-04-13,113.2500,112.6800,113.3800,112.6500,3257297
2017-04-12,112.0500,113.6100,113.7700,111.9000,6260257
2001-08-31,47.3300,47.0000,47.5300,46.7900,3955100
2017-04-19,114.4200,113.6200,114.4900,113.4800,3044737
2017-04-18,113.4400,114.2800,114.6100,113.4000,4574200
2009-02-17,51.4500,51.8200,52.1100,50.5000,12454400
2004-09-07,50.6000,51.0500,51.2000,50.6000,2893400
2004-09-02,50.5000,50.6200,50.7200,50.3000,3695100
2005-06-30,54.1200,53.9300,54.4300,53.7800,4037900
2005-10-11,57.0100,57.1300,57.5800,56.8600,3470700
2005-10-10,57.1100,57.3000,57.7200,57.0500,3740200
2005-10-13,57.2000,57.4700,58.0000,57.2000,4237900
2005-10-12,56.9300,57.7100,57.7600,56.9000,4988100
2005-10-14,57.2500,57.5100,57.8200,57.1800,3400200
2005-10-17,57.3700,57.7600,57.7900,57.1700,2972300
2005-10-19,57.7000,58.1300,58.1800,57.4800,4654900
2005-10-18,57.4600,58.3200,58.6600,57.4600,5138800
2017-08-24,117.2600,116.2200,117.3000,116.0300,4739615
2017-08-25,116.7400,115.8500,116.9000,115.8000,3442511
2017-03-09,109.6000,109.0200,109.6100,108.9100,4066952
2017-03-08,109.1700,109.3000,109.3300,108.4700,5244494
2016-05-31,102.1400,101.1800,102.3699,100.8200,6368712
2017-08-21,117.8000,118.2600,118.4600,117.5500,2095233
2017-08-22,118.2500,117.9200,118.7000,117.6500,2302100
2017-08-23,117.9000,117.2900,118.1200,117.2300,2597540
2017-03-03,110.1000,110.5600,110.6700,109.6500,4130942
2017-03-02,109.8100,110.1100,110.3200,109.4300,3880791
2017-03-01,109.6000,109.7300,110.3200,109.1700,4750734
2000-06-14,43.0000,43.5000,43.7500,42.6900,5736800
2017-03-07,109.1600,109.3200,109.7700,109.0000,4360309
2017-03-06,109.8000,109.6300,110.1900,109.4300,4491045
2002-10-08,38.5000,41.1000,41.3200,38.5000,23211500
2014-08-08,89.9000,90.2900,90.3500,89.5100,4739900
2008-04-23,69.1000,69.1900,69.9700,68.7900,7170900
2016-05-19,100.7500,101.3300,101.4400,100.3000,4722434
2014-08-01,88.3300,89.6900,89.7200,88.1300,3987700
2003-04-01,40.0000,39.9800,40.3400,39.8600,5131800
2001-04-26,44.5000,44.9000,44.9100,44.1600,4213500
2014-08-05,89.3800,89.2000,89.6800,88.8900,7678800
2014-08-04,88.3300,89.6900,89.7200,88.1300,6488900
2014-08-07,90.7900,89.9000,90.8500,89.5400,4625600
2014-08-06,88.4300,90.5100,90.7600,88.4300,6589900
2011-05-06,69.6500,69.2700,69.9500,69.1750,6792600
2011-05-05,69.4000,68.8300,69.6900,68.4600,7642700
2011-05-04,69.5400,69.8300,69.9300,69.3000,8129500
2011-05-03,68.8800,69.5900,69.5900,68.8800,6107500
2011-05-02,69.2400,69.3100,69.4800,69.0300,6235200
2002-10-04,37.4500,37.0000,38.0800,37.0000,7844400
2003-04-02,40.1500,39.7000,40.2400,39.7000,6608800
2011-05-09,69.6400,69.8200,69.9800,69.4800,5763100
2014-11-14,98.4900,97.7200,98.5500,97.3600,4335184
2014-11-17,96.8500,98.4200,98.5500,96.8500,3745202
2014-11-10,96.4000,96.9700,96.9850,96.1600,3345479
2014-11-11,96.9600,96.7000,97.3800,96.6400,3263623
2014-11-12,96.7000,97.1600,97.3900,96.2200,3247530
2014-11-13,96.5300,98.5400,98.9600,96.5300,6257928
2003-09-15,45.2400,45.1500,45.3100,44.7100,2765000
2004-09-08,50.7900,49.7000,50.7900,49.6500,6779700
2014-11-18,98.4200,97.9400,98.5000,97.8600,3908644
2014-11-19,97.9400,98.4100,98.4400,97.7500,3396799
2015-12-24,100.5100,100.5400,100.9700,100.1100,1044308
2016-11-17,101.8100,101.6200,101.9300,101.1750,4211375
2014-12-19,95.3000,95.4400,96.2000,95.2100,7678724
2014-12-18,94.7100,95.3600,95.4100,93.7400,8122804
2012-04-12,65.0600,65.3800,65.4950,64.6400,5843100
2012-04-13,65.3500,65.0600,65.5000,65.0600,7412100
2000-12-27,48.9400,48.8800,49.5000,48.6900,3164400
2012-04-16,65.1300,65.9900,66.3900,65.1300,7862600
2012-04-17,66.2300,66.4000,66.6500,66.0200,6748100
2014-12-11,96.3000,96.2900,97.0000,96.0100,4784694
