date,open,close,high,low,volume
2002-08-13,32.4000,31.7800,32.8300,31.7700,17066600
2005-07-21,27.3200,26.5900,27.3200,26.5400,38098400
2015-11-19,32.7900,32.2900,32.9700,31.9500,90712489
2015-11-18,33.0800,33.3100,33.4300,32.9300,35961195
2008-11-14,16.4500,16.2800,17.0900,16.2200,50081900
2008-11-13,15.8800,16.7300,16.7500,15.3000,62606500
2008-11-12,16.4600,15.8300,16.5600,15.8100,55955800
2008-11-11,16.5500,16.7700,16.7900,16.1100,37584700
2008-11-10,17.2000,16.6000,17.3000,16.3500,34683200
2015-11-11,33.9200,33.7400,34.2100,33.6500,20503311
2015-11-10,33.8300,33.7900,33.9700,33.6100,20968199
2015-11-13,33.3400,33.2700,33.6800,33.1400,18064631
2015-11-12,33.6100,33.3900,33.7000,33.3500,18000169
2005-11-07,22.3500,22.2700,22.3850,22.0000,33188300
2015-11-17,33.2000,32.8700,33.4600,32.8700,29691861
2015-11-16,33.2900,33.1600,33.4070,32.8500,25633881
2004-05-27,35.0000,35.4000,35.5100,34.9600,12013400
2004-05-26,34.6200,34.8900,35.2400,34.6200,12323800
2004-05-25,34.2700,34.7400,34.9900,34.2700,15537000
2004-05-24,34.7700,34.4500,34.8000,34.2200,13742500
2017-08-01,33.0400,33.0800,33.3000,32.7200,26329236
2004-05-21,35.0000,34.8100,35.0700,34.6100,15954200
2004-05-20,35.0700,34.8900,35.1500,34.6900,14014100
2000-06-13,45.3800,45.8400,46.3800,45.0600,11281600
2000-06-12,45.0600,44.3800,45.7500,44.3800,5685000
2002-08-12,32.4400,32.8600,33.0600,32.1000,12092900
2000-06-16,46.4400,47.9400,48.1300,46.4400,14399100
2000-06-15,46.3800,47.0000,47.0000,46.1300,8344800
2004-05-28,35.6100,35.3400,35.6100,35.0600,11965300
2016-03-23,30.4300,30.1900,30.6100,30.1000,40779992
2001-06-19,42.9900,44.0000,44.0900,42.9900,11979300
2007-08-24,24.5200,24.7400,24.8300,24.5000,31995300
2011-12-01,20.0300,20.0300,20.2100,19.8900,42807900
2009-10-06,16.6000,16.7800,16.9750,16.5000,55169900
2009-10-07,16.7400,16.6900,16.8400,16.6400,41996500
2008-08-20,19.3600,19.2800,19.4300,19.0600,30270000
2017-02-23,33.7000,34.0600,34.1200,33.5800,30477129
2008-11-17,16.1000,15.9200,16.4200,15.8600,42703500
2006-11-27,26.8900,26.9700,27.1700,26.7700,39007400
2006-01-03,23.6500,23.7800,23.9200,23.6000,38049800
2006-08-16,26.3500,26.7500,26.8100,26.3500,28439900
2015-12-14,31.9900,32.1800,32.2100,31.8400,38285102
2015-12-15,32.6200,32.2600,32.8200,32.1650,47339338
2015-12-16,32.4300,32.5800,32.6700,31.9900,44432034
2015-12-17,32.5600,32.3300,32.6700,32.3000,38326977
2002-03-05,41.3700,40.6000,41.7500,40.4500,17286800
2015-12-11,32.1100,32.0600,32.2300,31.9700,40274509
2013-01-07,25.9100,25.9800,26.0500,25.7700,25779900
2002-03-06,40.4300,40.5400,41.1000,39.6500,25670600
2013-01-09,26.2200,26.4700,26.5600,26.1900,34210200
2013-01-08,26.0000,26.0200,26.2500,25.9800,31057000
2015-12-18,32.2500,31.9900,32.4500,31.9500,66470071
2017-08-04,33.5800,33.6400,34.0000,33.4800,25664338
2005-07-25,26.5000,26.4200,26.6200,26.3800,21905500
2014-03-31,31.9600,32.1200,32.1800,31.8300,18473200
2002-06-11,35.3000,34.1200,35.3100,34.0000,17192900
2002-06-10,34.5000,35.3500,35.6900,34.3200,11585600
2001-10-31,42.4000,41.9000,42.4900,41.7700,10956300
2005-05-31,28.1100,27.9000,28.3500,27.9000,26342300
2002-06-12,34.3200,35.0200,35.4000,34.0300,19574700
2003-03-13,29.5000,29.2800,29.5600,28.7000,20822600
2008-11-19,16.1500,15.5600,16.5000,15.5100,55131400
2003-03-12,28.9400,29.1600,29.2200,28.3400,15805900
