date,open,close,high,low,volume
2002-08-13,89.9500,90.0600,91.6900,89.7000,4574400
2005-07-21,54.9000,55.1300,55.2400,54.6000,7590300
2015-11-19,76.1400,76.2200,76.9600,76.0200,7899386
2015-11-18,74.9800,75.9000,75.9600,74.8100,6446956
2008-11-14,64.8700,63.1100,66.0000,61.9600,42262700
2008-11-13,61.7100,65.0500,66.8200,60.8700,44886300
2008-11-12,63.5000,61.8500,63.5000,61.5000,26012800
2008-11-11,64.6500,63.8200,64.8800,63.2300,16256000
2008-11-10,65.4600,64.9500,65.7800,64.0300,16157100
2015-11-11,76.0200,75.9600,76.4300,75.9200,5295876
2015-11-10,75.3800,75.7700,76.2400,75.2300,6551032
2015-11-13,74.6400,73.9600,74.9800,73.9500,8468816
2015-11-12,75.6700,74.6600,76.0100,74.6600,7678594
2005-11-07,55.5200,55.5800,55.8100,55.1400,7611700
2015-11-17,75.3300,75.0700,76.0100,74.8700,8761043
2015-11-16,74.2500,75.3000,75.3250,74.0100,7410647
2004-05-27,107.7300,108.5800,108.7500,107.6300,3038600
2004-05-26,107.0100,107.6000,107.9900,107.0100,2822900
2004-05-25,105.9600,107.7600,107.9500,105.9600,3037200
2004-05-24,106.9200,106.1700,107.4500,106.0300,2866800
2017-08-01,91.0300,91.1000,91.7300,90.7200,8186630
2004-05-21,106.8600,106.9100,108.1600,106.6100,3878300
2004-05-20,105.1100,106.6900,107.0500,105.1100,2720500
2000-06-13,55.8100,57.0000,57.0000,55.8100,4633600
2000-06-12,57.0000,56.3800,57.1900,56.0600,4660900
2002-08-12,90.0000,90.8500,91.4300,89.9500,3101900
2000-06-16,57.0000,55.5000,57.1900,55.5000,5786700
2000-06-15,57.1900,56.7500,57.5000,56.4400,5728800
2004-05-28,108.2900,107.8200,108.4800,107.7800,3929000
2016-03-23,82.7200,82.8200,83.4900,82.5800,5594556
2001-06-19,62.2500,62.4100,62.7500,61.9100,3521600
2007-08-24,65.3100,65.9300,65.9500,65.1000,8496800
2011-12-01,64.5800,64.0800,64.7900,63.8700,9387600
2009-10-06,56.8800,57.0300,57.2400,56.7900,12000200
2009-10-07,57.0100,56.9500,57.0800,56.7600,7593900
2008-08-20,70.6800,70.3000,70.7600,69.6800,10981000
2017-02-23,91.6100,91.1300,91.8000,90.9100,7611638
2008-11-17,63.0000,62.5100,64.5400,61.4100,23074600
2006-11-27,63.3300,62.8400,63.3500,62.5300,7182900
2006-01-03,58.3000,58.7800,58.8600,57.6900,9741500
2006-08-16,60.3800,60.4200,60.5600,60.2300,6605100
2015-12-14,77.6300,78.2900,78.5300,77.4400,12177054
2015-12-15,78.7100,79.6800,80.0000,78.4800,14113427
2015-12-16,79.9800,80.9900,81.2300,79.8000,14102635
2015-12-17,80.9800,80.2900,81.0300,80.2000,9864248
2002-03-05,85.8000,85.0600,86.5000,84.1100,3642700
2015-12-11,77.5100,77.7800,78.3300,77.1100,12280492
2013-01-07,68.9200,68.6200,68.9200,68.3800,5269800
2002-03-06,85.0600,85.0500,85.9000,84.7600,3126800
2013-01-09,68.7700,68.8800,69.1100,68.6100,5762900
2013-01-08,68.5200,68.5100,68.7300,68.4000,7362000
2015-12-18,79.9500,78.1300,80.1200,78.1300,21249370
2017-08-04,90.6900,90.6700,91.0800,90.5300,5818230
2005-07-25,54.9900,54.9400,55.1100,54.8500,5442900
2014-03-31,80.0000,80.6000,80.8300,79.5500,8492800
2002-06-11,90.1000,89.0000,90.5000,88.9400,2841100
2002-06-10,88.9500,89.2000,89.6900,88.1500,2835300
2001-10-31,74.2000,73.7800,74.4200,73.4500,3783600
2005-05-31,55.4200,55.1500,55.6400,55.1300,5904000
2002-06-12,90.5000,93.0000,93.0000,90.2700,8848200
2003-03-13,82.7500,83.4800,83.4900,81.7900,4333900
2008-11-19,63.8800,62.2700,64.6600,62.1100,23344900
2003-03-12,80.7100,81.9500,82.0000,80.4600,3990700
2008-11-18,62.2500,64.2500,64.4900,60.7600,35518000
2003-03-11,79.7600,80.7000,81.8200,79.6600,4722200
2014-02-11,78.1000,78.8400,79.1100,77.6440,10500800
2001-09-10,73.4500,74.2000,74.4000,73.3000,3716800
2012-06-18,62.5600,62.2900,62.7500,61.7900,10289300
2000-06-19,56.1900,56.0900,56.5000,55.0600,3356300
2012-03-19,67.0300,67.2100,67.4800,66.9600,7038900
2009-02-12,50.9300,51.2800,51.4000,49.9500,18019300
2016-09-08,87.9500,87.7800,88.1800,87.6300,23465734
2016-09-09,87.1000,86.2400,87.1700,86.2400,21954951
2010-05-06,61.9100,60.7500,62.6700,39.3700,28560400
2010-05-07,60.6138,60.3100,61.2000,60.0000,23976600
2016-09-06,88.2500,88.6400,88.6400,87.8800,14472067
2016-09-07,88.3100,87.9500,88.4100,87.7100,17556418
2012-03-15,67.6900,67.6800,67.7900,67.5000,8611500
2016-09-01,87.3600,88.3100,88.3100,86.9800,29793308
2016-09-02,88.4800,88.2000,88.8700,88.0400,17467091
2012-03-16,67.8300,67.2500,67.8500,67.1300,15713500
2004-09-01,55.9700,56.2000,56.2100,55.4900,3832100
2017-04-17,90.2300,90.3900,90.5900,90.1300,6931678
2009-02-11,51.8500,51.1600,51.9078,50.8600,16404400
2017-04-11,89.6600,89.8000,89.8200,89.2900,5184691
2017-04-10,89.1300,89.4900,89.6800,88.7500,5955986
2017-04-13,90.0500,90.0300,90.5400,89.7900,5040104
2017-04-12,89.7000,90.3100,90.4200,89.5600,6286312
2001-08-31,73.8000,74.1500,74.3500,73.6500,2403900
2017-04-19,90.1000,89.6000,90.4500,89.5000,6918993
2017-04-18,90.4000,90.8000,91.1300,90.3400,7087796
2009-02-17,50.0000,50.1100,50.9400,49.2800,20833900
2004-09-07,56.3500,56.6500,56.9000,56.3100,3656500
2004-09-02,56.1700,56.4900,56.5400,55.8900,2742700
2005-06-30,53.1000,52.7500,53.7300,52.7000,8299700
2005-10-11,56.0000,56.0100,56.3700,55.9000,10238300
2005-10-10,56.0400,55.8400,56.4000,55.8000,9164800
2005-10-13,55.9800,56.2000,56.5100,55.9600,8723300
2005-10-12,56.0100,56.0300,56.2300,55.6000,9824100
2005-10-14,55.8500,56.1100,56.2900,55.7800,8307500
2005-10-17,56.0200,55.7800,56.1100,55.4000,8406200
2005-10-19,54.6500,55.6700,55.7000,54.6200,9540100
2005-10-18,55.4000,55.3500,55.5900,54.8700,7906600
2017-08-24,92.4400,92.2700,92.5700,92.0400,5138560
2017-08-25,92.6500,92.5100,92.8600,92.4100,4915903
2017-03-09,90.1400,90.3400,90.4900,90.1000,5587379
2017-03-08,90.0200,90.1400,90.3500,89.7600,5513405
2016-05-31,81.5800,81.0400,81.8200,80.7400,6705032
2017-08-21,92.3800,92.8600,92.9600,92.3600,4305190
2017-08-22,92.9100,92.7900,92.9600,92.5900,4667716
2017-08-23,92.5000,92.4400,92.6600,92.2800,3588211
2017-03-03,90.9100,90.5000,90.9100,89.8900,8341071
2017-03-02,91.4000,90.9100,91.5900,90.8800,7030935
2017-03-01,91.0500,91.6600,91.8900,90.7100,8792150
2000-06-14,56.7500,57.0000,57.1300,56.0600,4039400
2017-03-07,90.1400,90.2900,90.4900,90.0600,5362951
2017-03-06,89.8900,90.3700,90.5100,89.5900,9533795
2002-10-08,89.4400,89.3000,90.8300,89.0600,4867500
2014-08-08,80.0500,80.9500,81.0300,80.0400,6202900
2008-04-23,67.4800,67.1700,67.8700,66.7500,14184800
2016-05-19,79.6400,80.1900,80.2250,79.4500,6242522
2014-08-01,79.2500,79.6500,80.6700,78.8300,18110700
2003-04-01,89.0500,89.5200,90.0000,88.7100,4318000
2001-04-26,58.1000,58.3000,58.3000,57.7800,3599300
2014-08-05,78.9900,79.4100,79.7400,78.9800,7995900
2014-08-04,79.4600,79.2200,79.4600,78.6600,12061800
2014-08-07,81.0200,80.1400,81.1800,80.0100,7904000
2014-08-06,79.4000,81.0900,81.3000,79.2700,12808700
2011-05-06,66.2100,65.2700,66.3400,65.0450,11125800
2011-05-05,66.0800,65.8800,66.3900,65.6300,10812500
2011-05-04,65.7000,66.4700,66.5000,65.5800,14236900
2011-05-03,65.2600,65.7100,65.7900,65.1600,9924100
2011-05-02,65.2400,65.1800,65.4500,65.0000,8909000
2002-10-04,90.0000,88.5200,90.1300,87.3700,5217400
2003-04-02,89.9800,90.1200,90.1900,89.4700,4695400
2011-05-09,64.9300,65.1400,65.3900,64.8600,8698800
2014-11-14,88.7000,88.1100,88.8900,87.9300,7559371
2014-11-17,88.0000,87.8400,88.1800,87.3700,9475739
2014-11-10,88.9200,89.4500,89.5000,88.2600,5926707
2014-11-11,89.3800,89.6700,89.7900,89.1700,6346785
2014-11-12,89.6000,89.4800,89.8800,89.4200,6298570
2014-11-13,88.9400,88.6000,89.8400,88.4600,10191559
2003-09-15,91.4700,91.7400,92.4100,91.4515,3985900
2004-09-08,56.5500,56.7300,56.9000,56.2000,4507500
2014-11-18,88.0200,87.9500,88.1800,87.4900,6419641
2014-11-19,88.2400,88.7300,88.8700,87.9300,6570396
2015-12-24,79.6600,79.7900,80.1500,79.6000,2498020
2016-11-17,83.2700,83.0700,83.5000,82.9300,9083724
2014-12-19,92.1500,92.0500,92.7300,91.7600,14037813
2014-12-18,91.0100,92.0000,92.0000,90.5500,8724454
2012-04-12,66.1700,66.0900,66.3700,65.9500,27847200
2012-04-13,66.0400,65.8100,66.5000,65.8000,29792000
2000-12-27,74.3800,76.5000,79.3100,74.0000,7448000
2012-04-16,66.0100,66.7800,67.1000,65.8800,32810100
2012-04-17,66.9100,67.0200,67.2000,66.8300,8894700
2014-12-11,90.0000,90.4100,91.2800,89.9800,6468676
2014-12-10,90.9500,90.0000,91.1000,89.9600,6293332
2014-12-12,90.0100,89.5500,90.9700,89.5300,6574529
2014-12-15,89.7000,89.2000,90.6000,89.0300,6511895
2014-12-17,89.5600,90.7000,91.1600,89.4000,7415365
2014-12-16,89.1400,89.3600,90.9600,88.3800,8776195
2000-09-05,61.4400,62.5000,62.6900,61.1300,2487600
