date,open,close,high,low,volume
2002-08-13,32.2500,31.4700,32.7900,31.4600,1869700
2015-11-19,87.1700,87.4000,87.6300,86.5200,1763167
2015-11-18,85.9100,87.3800,87.5500,85.8500,2159221
2008-11-14,23.1600,25.2400,27.8800,23.0100,12425700
2008-11-13,26.9800,25.1400,27.1200,20.1400,17958600
2008-11-12,26.2800,26.5400,28.9100,25.5900,12185000
2008-11-11,28.3700,27.6100,28.9000,26.6900,14533000
2008-11-10,35.5200,30.9500,36.7600,30.4100,7147100
2015-11-11,86.5800,86.7500,87.4600,85.9900,2562461
2015-11-10,85.8600,86.3200,86.5200,85.2100,2048786
2015-11-13,84.4400,84.2900,85.3300,83.8800,2081785
2015-11-12,86.0800,84.6900,86.5100,84.6300,2371870
2005-11-07,74.3000,74.2100,74.7300,73.8500,2341500
2015-11-17,85.9700,85.4600,86.6700,85.2300,1487935
2015-11-16,84.0800,85.6500,85.6600,83.9001,1850983
2004-05-27,44.0000,44.3200,44.4600,43.8000,1954000
2004-05-26,42.7600,43.5500,43.6500,42.7600,1674200
2004-05-25,42.4000,42.8100,42.9100,41.7100,2404900
2004-05-24,42.5500,42.3000,42.8800,42.3000,1665700
2017-08-01,113.9500,114.4000,114.4100,113.0300,1536894
2004-05-21,42.7000,42.3800,43.1500,42.2800,1343500
2004-05-20,42.5200,42.6600,42.8400,42.3000,1032600
2002-08-12,32.4500,32.3000,32.6500,31.8000,1540300
2005-07-22,66.0300,65.4200,66.1300,64.7800,2388400
2004-05-28,44.0700,44.3000,44.5500,43.9600,1438400
2016-03-23,73.8300,72.8300,74.0000,72.5900,2065739
2009-10-06,50.1900,50.0300,51.4300,48.5300,5394700
2009-10-07,49.8800,50.4400,50.6100,49.1900,3065200
2017-02-23,110.7300,110.8600,110.9900,110.1200,1552419
2008-11-17,24.8600,20.8900,25.1100,20.4400,10696700
2006-01-03,74.7800,75.6900,75.6900,73.6900,3495200
2006-08-16,72.9900,72.4200,73.2100,72.1200,2212100
2015-12-14,80.9500,80.6900,81.9700,79.6000,3213177
2015-12-15,81.7100,83.0600,83.8900,81.6700,3578484
2015-12-16,83.8600,84.1900,84.5350,82.6200,3570768
2015-12-17,84.4600,81.8500,84.4900,81.6100,2970783
2002-03-05,30.7000,31.4400,31.4900,30.4100,3350200
2015-12-11,82.3900,80.6900,82.7000,80.0600,3342685
2013-01-07,56.1500,55.7900,56.3200,55.4800,1944300
2002-03-06,31.0000,31.4000,31.4000,31.0000,1593000
2013-01-09,55.8600,56.3100,56.3600,55.6600,2079300
2013-01-08,55.4700,55.6600,56.2700,55.4000,2419100
2015-12-18,81.2000,79.5500,81.4400,79.4400,4181689
2017-08-04,111.5300,112.4900,113.2800,111.1100,2088224
2005-07-25,65.3400,65.4300,65.8700,65.3400,1214600
2014-03-31,84.3400,84.6500,84.9900,84.3000,2220000
2002-06-11,35.4500,34.3000,35.4500,34.3000,1891200
2002-06-10,35.5000,35.5500,35.6700,35.0000,1167400
2005-05-31,62.6500,63.3100,63.6000,62.2800,2197900
2002-06-12,34.3000,35.2000,35.2000,34.0000,2351700
2005-06-20,63.5900,64.8000,65.0100,63.4900,2793400
2003-03-13,27.8400,29.1600,29.4000,27.8400,3522700
2008-11-19,19.1700,17.0100,19.8900,16.8500,11989400
2003-03-12,27.8000,27.5600,28.0500,27.0300,1922100
2008-11-18,21.0700,19.9100,21.7500,17.8000,16324600
2003-03-11,28.6500,27.9900,28.9000,27.9600,2044300
2014-02-11,82.9500,84.5300,84.8700,82.5100,2866700
2012-06-18,48.2600,47.3800,48.3400,47.1800,3423000
2012-03-19,63.8000,64.1100,64.5000,63.7000,2380600
2009-02-12,25.6500,26.7600,26.9600,24.3200,8975300
2016-09-08,78.7700,78.6900,79.0500,78.1700,2052595
2016-09-09,78.8500,79.1800,80.1900,78.6850,3540730
2010-05-06,60.6300,60.0300,63.5900,55.7500,8545900
2010-05-07,60.0100,58.1500,60.8700,57.0000,8733100
2016-09-06,79.4200,78.5900,79.4200,77.9539,2171588
2016-09-07,78.3700,78.5100,78.7500,78.0100,1962221
2012-03-15,61.8600,63.2400,63.5500,61.3000,4668700
2016-09-01,79.6200,78.8400,79.9800,77.9750,2207957
2016-09-02,79.1400,79.4900,79.9400,78.7600,2146205
2012-03-16,63.4600,63.7100,64.5800,63.3400,3365100
2004-09-01,46.1800,46.0200,46.4900,45.7400,2624000
2017-04-17,103.0000,104.3000,104.4800,102.7000,1429221
2009-02-11,25.6000,25.9000,26.9800,25.0000,7141900
2017-04-11,105.0600,105.4000,105.7900,104.3500,2133979
2017-04-10,105.8800,105.7300,106.6700,105.2400,1108780
2017-04-13,103.1400,102.9200,104.4400,102.6200,1509173
2017-04-12,105.7100,103.8400,105.7100,103.5700,1779717
