date,open,close,high,low,volume
2002-08-13,26.7500,26.6300,27.7000,26.4000,5963900
2005-07-21,23.9500,23.7100,23.9800,23.5600,12169200
2015-11-19,33.5200,33.6200,33.7500,33.4700,17963220
2015-11-18,33.2500,33.5400,33.5800,33.0200,22231184
2008-11-14,28.0200,27.6500,28.9900,26.5700,38959900
2008-11-13,26.1200,28.6700,28.7400,25.7500,45718400
2008-11-12,26.8800,26.1800,27.2500,26.0000,28552400
2008-11-11,27.2800,27.3300,28.1000,26.9100,26618400
2008-11-10,27.7800,27.4700,28.1000,26.9700,24611600
2015-11-11,32.8400,32.9200,33.0000,32.8000,14038925
2015-11-10,32.8600,32.7900,32.9000,32.6700,19262729
2015-11-13,32.6400,32.3100,32.8400,32.3100,23587106
2015-11-12,32.8400,32.6900,32.8600,32.6300,17408319
2005-11-07,23.6400,23.4100,23.6800,23.3500,12785300
2015-11-17,33.0700,33.2600,33.5200,33.0600,20367699
2015-11-16,32.3500,33.0400,33.0500,32.2200,23600146
2004-05-27,23.7500,23.8500,23.9000,23.5600,9231700
2004-05-26,24.0800,23.5000,24.0800,23.5000,11198900
2004-05-25,24.0500,24.0500,24.1900,23.6300,10117400
2004-05-24,24.3400,24.1900,24.4000,23.9900,5066600
2017-08-01,39.2500,38.8800,39.2700,38.7100,29057131
2004-05-21,24.3800,24.3300,24.5200,24.2100,5991500
2004-05-20,24.3100,24.3100,24.3800,24.1000,6263700
2000-06-13,46.5000,48.0000,48.0600,46.5000,4192000
2000-06-12,47.3800,46.8100,47.6900,46.6300,3894000
2002-08-12,26.9600,26.8500,27.1000,26.5000,6014400
2000-06-16,48.6300,47.2500,48.8800,47.1900,8192900
2000-06-15,49.3800,48.6900,49.9400,48.1300,6229700
2004-05-28,23.9200,23.7000,23.9200,23.6200,5521000
2016-03-23,38.6000,38.5400,38.6569,38.3700,20806718
2001-06-19,40.2500,40.4200,40.6300,40.0000,5395900
2007-08-24,40.1500,40.3600,40.4400,39.9600,15491200
2011-12-01,28.9300,28.8400,28.9500,28.6700,21840400
2009-10-06,26.9500,27.1500,27.1900,26.8700,25783400
2009-10-07,26.8500,26.1800,26.8500,26.1500,40363600
2008-08-20,30.9600,30.6900,31.0100,30.3900,20968800
2017-02-23,41.6900,41.9500,41.9900,41.5400,19218542
2008-11-17,27.3200,26.7700,27.5300,26.4100,31965200
2006-11-27,32.6000,32.6800,33.1500,32.5000,30516200
2006-01-03,24.4900,24.7100,24.8700,24.2400,16350500
2006-08-16,30.4000,30.2500,30.4000,30.2400,8491800
2015-12-14,33.1500,33.6000,33.6500,33.1100,26394486
2015-12-15,33.7200,33.8100,33.9300,33.4100,25359533
2015-12-16,33.9100,34.4000,34.4800,33.9000,31191773
2015-12-17,34.4200,34.0300,34.6100,34.0300,27720504
2002-03-05,39.1100,38.7700,39.2000,38.5500,5074100
2015-12-11,33.4100,33.1700,33.5900,33.0900,26947761
2013-01-07,35.2500,35.3900,35.5000,35.1000,27500500
2002-03-06,39.0200,39.0300,39.2500,38.5500,6846800
2013-01-09,34.4400,34.2400,34.5800,34.2400,19618400
2013-01-08,35.0200,34.3500,35.0400,34.2700,29210300
2015-12-18,33.8700,33.6000,33.9975,33.6000,51083102
2017-08-04,38.4400,38.4300,38.5200,38.0400,16234405
2005-07-25,23.8400,23.8300,24.0600,23.7200,10248600
2014-03-31,35.3000,35.0700,35.5000,34.9900,30486500
2002-06-11,33.1500,32.1300,33.4000,31.9400,5894300
2002-06-10,33.2000,33.1500,33.9500,32.6200,4462900
2001-10-31,37.8500,38.1100,38.4500,37.7500,6615000
2005-05-31,23.5500,23.3800,23.6600,23.3500,10498900
2002-06-12,32.1300,32.8300,33.0000,32.0500,7695600
2003-03-13,19.8000,20.5000,20.5400,19.5500,10824300
2008-11-19,26.5000,25.2300,26.8900,25.1100,35461900
2003-03-12,19.2200,19.4500,19.5000,18.8500,12864000
2008-11-18,26.5500,26.5700,27.2700,25.5000,45527900
2003-03-11,19.4000,19.3400,19.8500,19.1100,10227100
2014-02-11,32.6200,32.9500,33.0400,32.5100,26228800
2001-09-10,41.0000,43.4300,43.6000,41.0000,8005100
2012-06-18,35.6600,35.6300,35.9800,35.6000,22627200
2000-06-19,47.2500,47.5000,48.6900,47.2500,5087700
2012-03-19,31.4600,31.6500,31.7400,31.3500,19746000
2009-02-12,24.1700,24.2900,24.4100,23.5200,40520300
2016-09-08,41.2700,41.1900,41.3900,41.0500,13524514
2016-09-09,40.9800,39.7100,41.0750,39.6800,38500118
2010-05-06,25.7100,25.1400,25.7400,24.0400,67762600
2010-05-07,25.2100,25.1000,25.4900,24.7700,51364100
2016-09-06,41.0200,41.2300,41.3600,40.8100,15532418
2016-09-07,41.2600,41.2700,41.3400,40.9900,13531169
2012-03-15,31.4100,31.6400,31.6500,31.3500,20003200
2016-09-01,40.8500,40.9600,41.0000,40.6500,15706888
2016-09-02,41.0900,40.9500,41.3800,40.7400,19066897
2012-03-16,31.7000,31.5900,31.7100,31.5100,28666300
2004-09-01,25.8700,25.9900,25.9900,25.5700,6696000
2017-04-17,40.3000,40.3000,40.4900,40.2200,12118645
2009-02-11,24.7500,24.4400,24.8800,24.1500,26144000
2017-04-11,40.3800,40.3100,40.3900,40.0700,19609903
2017-04-10,40.6000,40.3800,40.6800,40.3100,18215046
2017-04-13,40.5100,40.2800,40.7600,40.2500,17556190
2017-04-12,40.2100,40.5600,40.5700,40.0700,22195768
2001-08-31,41.0500,40.9100,41.2600,40.6000,3993200
2017-04-19,40.3200,40.2500,40.4500,40.1900,23799483
2017-04-18,40.2200,40.2500,40.4300,40.1800,15920226
2009-02-17,23.6200,23.2200,23.8500,22.9900,38112000
2004-09-07,26.4800,26.6900,26.7400,26.3200,7780700
2004-09-02,26.0300,26.1800,26.2500,25.8300,5362300
2005-06-30,23.8500,23.7500,23.9500,23.7000,11424300
2005-10-11,22.7400,22.5600,22.7700,22.4600,12264400
2005-10-10,23.1100,22.7600,23.7800,22.6700,9411300
2005-10-13,22.2900,22.2500,22.3700,21.7500,13386900
2005-10-12,22.4600,22.3100,22.5400,22.3000,11519200
2005-10-14,22.2500,22.2000,22.3600,22.0400,14806700
2005-10-17,22.1300,22.2000,22.2500,22.0000,12171400
2005-10-19,22.1000,22.4100,22.5900,22.1000,16111100
2005-10-18,22.1900,22.1000,22.2550,22.0700,10878500
2017-08-24,37.9600,37.6800,37.9800,37.6400,10806185
2017-08-25,37.8200,37.9900,38.1300,37.7600,14183566
2017-03-09,41.8600,41.9400,42.1300,41.7500,17672624
2017-03-08,41.8800,41.7700,41.8800,41.6800,17881049
2016-05-31,39.0300,39.1500,39.2000,38.9400,27937226
2017-08-21,37.4900,37.5800,37.8900,37.4100,17247774
2017-08-22,37.6900,37.9800,37.9900,37.5600,14690796
2017-08-23,37.8500,37.9200,38.0800,37.8500,19814504
2017-03-03,42.0500,42.0100,42.0600,41.7600,17248209
2017-03-02,41.9000,42.0700,42.1000,41.8400,13181750
2017-03-01,41.7800,42.0400,42.1800,41.5600,23900989
2000-06-14,48.8800,50.0000,50.3100,48.5600,8273000
2017-03-07,41.9000,41.8800,41.9900,41.7200,16250873
2017-03-06,41.8300,41.9600,42.0000,41.7100,14177020
2002-10-08,21.4500,20.4800,21.7900,20.2000,13471700
2014-08-08,34.3000,34.4700,34.5000,34.1800,18771100
2008-04-23,37.9100,38.5300,38.9800,37.8700,27518500
2016-05-19,38.2700,38.4400,38.4700,37.7700,27414773
2014-08-01,35.7800,35.3300,35.8200,35.2800,23962400
2003-04-01,20.5000,21.3800,21.7000,20.4000,18283700
2001-04-26,40.8500,40.9200,41.5500,40.4500,6455300
2014-08-05,35.3600,35.1100,35.4600,35.0100,19505100
2014-08-04,35.3700,35.4600,35.5300,35.2000,21300200
2014-08-07,34.7500,34.2100,34.7900,34.1700,20749200
2014-08-06,35.0000,34.6200,35.0200,34.3600,35941100
2011-05-06,31.5600,31.2600,31.6800,31.1250,24422300
2011-05-05,31.7200,31.2200,31.9165,31.0300,31477700
2011-05-04,31.7000,31.7900,31.9100,31.6200,26214700
2011-05-03,31.5200,31.8600,31.9400,31.2600,46242200
2011-05-02,31.6000,31.2100,31.7200,31.1500,27573300
2002-10-04,21.8100,21.6200,21.9500,20.9000,10448900
2003-04-02,21.4000,22.1500,22.5000,21.4000,11965700
2011-05-09,31.2000,31.3500,31.4200,31.0550,15376300
2014-11-14,35.6400,35.9000,36.1500,35.6000,20552847
2014-11-17,35.8600,35.8500,35.9000,35.6300,12957857
2014-11-10,35.0600,35.1200,35.1400,34.6600,17921397
2014-11-11,35.1500,35.1000,35.1500,34.8000,12299550
2014-11-12,35.0500,35.4000,35.4400,34.9600,18748961
2014-11-13,35.3700,35.6100,35.9000,35.2900,20900773
2003-09-15,23.4000,23.0600,23.4900,23.0100,8961200
2004-09-08,26.5000,26.5500,26.8300,26.4900,7907900
2014-11-18,35.7700,35.7200,35.8700,35.6200,17124511
2014-11-19,35.6300,35.3700,35.6600,35.1800,19342748
2015-12-24,34.7500,34.6600,34.7700,34.5440,6862360
2016-11-17,37.3000,37.4100,37.6900,37.2700,21183458
2014-12-19,33.4800,33.5400,33.7600,33.3500,40198284
2014-12-18,33.0200,33.5100,33.5100,32.8500,37618243
