date,open,close,high,low,volume
2002-08-13,63.2500,63.5100,64.6300,63.2500,3205000
2005-07-21,73.7000,72.3400,74.0000,71.8100,6498900
2015-11-19,104.0000,104.1000,104.6900,103.6400,1552740
2015-11-18,103.2200,103.6800,103.8600,102.6000,2141618
2008-11-14,54.0400,53.1400,55.0100,51.4400,8083600
2008-11-13,51.5800,55.0900,55.2200,49.3200,11316600
2008-11-12,52.4400,51.2000,53.3300,50.5700,6524700
2008-11-11,52.9500,53.3800,54.7100,52.3200,5379300
2008-11-10,53.9800,53.6000,55.0100,52.8000,6979900
2015-11-11,104.5900,104.8000,105.3700,103.9500,2587858
2015-11-10,103.9800,104.3400,104.9200,103.5900,2148855
2015-11-13,103.1400,101.7800,103.1400,101.4300,3114384
2015-11-12,103.4900,102.6000,103.6500,102.4500,3296117
2005-11-07,74.3000,74.8100,74.8800,74.0700,2185900
2015-11-17,103.3500,103.1400,104.2400,102.8200,2098307
2015-11-16,101.7100,103.1400,103.1800,101.6400,2226512
2004-05-27,71.0000,71.5100,71.8600,70.9500,2156800
2004-05-26,70.5400,70.9700,70.9800,70.2100,1665700
2004-05-25,69.5100,70.7500,70.8800,69.2800,2431700
2004-05-24,69.4800,69.5000,69.6600,69.2300,1826600
2017-08-01,110.8000,110.1700,110.8000,109.6500,2662019
2004-05-21,69.1900,69.1200,69.5000,68.8100,1518700
2004-05-20,69.1400,68.9600,69.1700,68.6100,2280400
2000-06-13,59.5000,61.3100,62.0600,59.2500,958400
2000-06-12,59.0000,59.3400,59.8800,57.5000,1105100
2002-08-12,64.1000,63.7600,64.1500,63.1000,3145300
2000-06-16,62.4400,61.7500,62.7500,61.3800,721300
2000-06-15,61.5000,62.3800,62.5000,61.4400,1076100
2004-05-28,71.5800,71.7200,71.8800,71.1800,1320000
2016-03-23,104.7400,104.8800,105.2100,104.5600,2210334
2001-06-19,56.5500,55.9800,56.6300,55.6800,977000
2007-08-24,76.2900,77.0300,77.1400,76.2700,3733300
