date,open,close,high,low,volume
2002-08-13,67.7000,62.4700,67.7100,62.4200,6493200
2005-07-21,52.1000,51.8000,52.3400,51.6800,3681000
2015-11-19,97.9700,98.3000,98.8900,97.8300,4366641
2015-11-18,97.6300,97.7100,97.8600,96.8400,4201972
2008-11-14,51.2900,50.2300,53.5600,49.7400,7227600
2008-11-13,49.8000,52.2800,52.4500,46.5700,11826400
2008-11-12,50.8000,49.0100,50.8500,48.9300,6928600
2008-11-11,51.4100,51.8000,53.0000,50.0000,6738000
2008-11-10,53.0200,52.1900,54.2400,51.4100,6871400
2015-11-11,99.0400,98.2600,99.3999,98.0700,2172819
2015-11-10,98.8300,98.6800,99.4150,97.9500,2738471
2015-11-13,98.7200,96.4800,99.6350,96.3900,6217140
2015-11-12,97.2600,99.2200,99.7300,96.8800,8808020
2005-11-07,51.7500,51.6400,51.7500,51.4700,2551700
2015-11-17,98.1700,97.5500,98.3000,97.4000,4528758
2015-11-16,96.5600,97.8300,97.8600,96.3800,5099023
2004-05-27,83.0500,84.0900,84.4200,82.9000,2717800
2004-05-26,84.0000,82.8300,84.0000,82.8300,3296000
2004-05-25,82.7000,83.9900,84.2400,82.4300,2296600
2004-05-24,81.8500,82.7200,82.9400,81.3100,2160000
2017-08-01,119.0000,118.8800,119.2500,118.3600,1551243
2004-05-21,81.7500,81.5600,81.8400,80.6700,2448100
2004-05-20,82.0500,81.5000,82.2200,80.8700,1666700
2000-06-13,58.7500,57.1900,58.8100,57.0000,1342800
2000-06-12,58.7500,58.2700,59.1300,58.2500,882400
2002-08-12,67.9000,68.4500,68.9200,67.1500,1664400
2000-06-16,59.1300,58.8800,60.2500,58.1900,1806400
2000-06-15,59.8100,59.6300,61.7500,58.9400,1087800
2004-05-28,84.1000,84.6100,84.7700,84.0400,1616900
2016-03-23,98.7700,99.1100,99.4650,98.2800,3235349
2001-06-19,78.0000,74.7500,78.0000,74.1500,4116600
2007-08-24,73.3600,74.3300,74.4600,73.0100,2980100
2011-12-01,76.2000,76.5800,77.1500,76.2000,2736300
2009-10-06,60.8800,61.4900,61.9210,60.6900,3726800
2009-10-07,60.8600,61.0700,61.4600,60.8600,2375400
2008-08-20,64.9800,64.7500,65.1500,63.9900,4520400
2017-02-23,112.7000,112.0900,112.8800,111.9700,3471711
2008-11-17,49.6100,48.1500,50.5400,48.0100,8027800
2006-11-27,65.9500,64.8400,66.0800,64.8400,3942300
2006-01-03,56.4500,56.5300,56.6600,55.4600,3716500
2006-08-16,61.2500,62.1700,62.4900,61.0000,2633300
2015-12-14,93.3000,93.0300,93.5700,92.2000,6748213
2015-12-15,93.6800,93.2600,94.6600,93.2300,6618064
2015-12-16,93.9700,95.1300,95.4300,93.4400,9868283
2015-12-17,95.1300,93.8700,95.7300,93.8400,4802328
2002-03-05,76.9000,73.9000,76.9100,73.3500,6361600
2015-12-11,93.0100,93.3000,94.6300,92.9300,9942579
2013-01-07,84.5400,84.5700,84.9900,84.3700,3378500
2002-03-06,73.9000,75.0000,75.1000,73.7100,3960600
2013-01-09,83.9400,84.5500,85.3100,83.8300,3770000
2013-01-08,84.3900,83.5500,84.7100,83.2500,4830600
2015-12-18,93.3100,92.3400,94.3300,92.3400,8657623
2017-08-04,121.2200,121.4900,121.6600,120.6500,1796823
2005-07-25,51.3500,50.4500,51.6300,50.2000,5075300
2014-03-31,115.4800,116.8400,116.9600,115.2800,3605400
2002-06-11,69.6000,68.7200,70.2000,68.4000,2372000
2002-06-10,68.7500,69.0900,69.7500,68.3900,1706700
2001-10-31,53.4600,53.8900,55.0100,53.4600,3312000
2005-05-31,107.4800,106.7000,107.4800,106.4500,2067400
2002-06-12,68.6000,69.9500,69.9500,68.2300,2101700
2003-03-13,55.2000,57.3600,57.4600,55.0400,3724400
2008-11-19,49.1400,45.9900,49.5500,45.8600,9944300
2003-03-12,54.2400,54.1500,54.9100,53.5100,3621700
2008-11-18,47.6500,49.3200,49.5000,47.2000,9062100
2003-03-11,55.9700,54.2300,55.9900,54.2300,3209700
2014-02-11,111.7500,112.9600,113.2000,111.3900,3364000
2001-09-10,67.0000,66.2000,67.2700,65.7500,4851500
2012-06-18,74.3000,75.0000,75.2500,74.0100,3211500
2000-06-19,59.2500,57.3800,59.3100,56.3100,2140900
2012-03-19,85.7200,84.6200,85.7200,84.5600,4611300
2009-02-12,46.6000,46.9100,47.0100,45.4100,6384200
2016-09-08,105.6100,105.7500,106.1599,105.5200,2810189
2016-09-09,105.0000,102.6800,105.1000,102.6700,4258155
2010-05-06,73.0500,71.2400,74.0000,65.1700,9270000
2010-05-07,70.8500,69.4600,71.4600,68.8600,10290000
2016-09-06,107.0000,106.0100,107.4900,105.4800,3670706
2016-09-07,105.7200,105.8500,106.2900,105.2900,2524173
2012-03-15,86.8900,86.8900,87.5000,85.9000,7203200
2016-09-01,106.7400,106.7200,106.9650,105.7001,3231547
