date,open,close,high,low,volume
2002-08-13,30.2500,29.4000,30.6300,29.3600,6426500
2005-07-21,34.4800,34.1800,34.5000,34.1000,6960500
2015-11-19,45.4400,45.7600,45.8701,45.3500,9320319
2015-11-18,45.0800,45.3800,45.4273,44.5800,13585587
2008-11-14,30.4700,30.0000,31.7800,29.6300,24803400
2008-11-13,29.0300,31.1400,31.2400,28.3000,27287500
2008-11-12,29.6000,28.9600,29.6900,28.6900,18681900
2008-11-11,30.1200,29.7200,30.5700,29.4200,20089000
2008-11-10,30.9400,30.4900,31.1500,30.1300,15699800
2015-11-11,45.3600,45.3200,45.5400,45.1300,7904016
2015-11-10,45.2700,45.1000,45.3300,44.8000,9996441
2015-11-13,44.7300,44.2300,44.9900,44.2200,12608957
2015-11-12,45.0200,44.8300,45.0900,44.7700,11052980
2005-11-07,30.9700,30.5500,31.0700,30.1000,13284900
2015-11-17,45.0100,45.0800,45.3200,44.9300,10657470
2015-11-16,44.2600,45.0400,45.0700,44.1849,10112499
2004-05-27,34.7400,35.0800,35.1400,34.5000,10208400
2004-05-26,35.2000,34.4000,35.2700,34.3900,10739800
2004-05-25,35.2500,35.4500,35.5000,34.8200,7575500
2004-05-24,35.9500,35.3600,35.9600,35.1400,6604400
2017-08-01,48.6800,48.8900,49.6300,48.5300,33358643
2004-05-21,35.8700,35.7700,36.0200,35.6000,6377600
2004-05-20,35.9800,35.8000,36.1300,35.6500,5582100
2000-06-13,54.0000,55.4400,56.6300,53.9400,3795900
2000-06-12,54.0000,53.8100,54.6300,53.7500,2569000
2002-08-12,29.6500,30.1000,30.6500,29.5000,6113300
2000-06-16,55.7500,55.0600,56.3800,54.9400,5447500
2000-06-15,57.5000,56.5600,58.6300,56.3100,5563500
2004-05-28,35.1800,34.5800,35.1800,34.4300,6491100
2016-03-23,53.1300,52.9100,53.2299,52.8200,9716116
2001-06-19,52.5000,52.1000,53.0000,51.7000,4367600
2007-08-24,42.1500,42.6400,42.6800,42.1200,7410800
2011-12-01,37.6800,37.7700,37.7700,37.4900,12271900
2009-10-06,30.1500,30.1700,30.2100,29.9900,17739900
2009-10-07,29.7700,29.3800,29.8100,29.2200,25738900
2008-08-20,34.3500,34.4500,34.7500,33.8300,11499200
2017-02-23,49.9800,50.3100,50.5000,49.6700,16211994
2008-11-17,29.8700,29.2400,30.2500,28.6500,17438600
2006-11-27,34.7500,34.2400,34.8200,34.1800,12228400
2006-01-03,30.2000,30.3800,30.4700,30.0400,14348100
2006-08-16,34.3900,34.2300,34.4200,34.1600,7946500
2015-12-14,44.8400,45.4500,45.5000,44.6800,16720559
2015-12-15,45.5200,45.5500,45.8600,45.2050,16742625
2015-12-16,45.9300,46.5100,46.5700,45.7000,18808162
2015-12-17,46.4900,46.1000,46.6900,46.0250,15508602
2002-03-05,47.9000,47.4000,47.9300,47.0500,4994700
2015-12-11,44.9950,44.8200,45.3500,44.7300,16481686
2013-01-07,44.2500,44.6900,44.8700,44.0100,20891300
2002-03-06,47.5500,48.0900,48.1300,47.5300,5169600
2013-01-09,42.8400,43.0000,43.1900,42.7600,13346700
2013-01-08,44.0300,43.1000,44.2600,43.0400,21394400
2015-12-18,45.9000,45.5600,46.0400,45.5600,31538739
2017-08-04,48.5500,48.9100,48.9100,48.1400,13811577
2005-07-25,34.3500,34.0200,34.4700,34.0200,7164000
2014-03-31,47.6600,47.5700,47.8300,47.5000,20744100
2002-06-11,41.8000,40.5300,42.2500,40.4200,4764500
2002-06-10,41.6000,41.6800,42.5700,40.9000,4235800
2001-10-31,49.3000,49.8100,50.5000,49.1700,5435600
2005-05-31,35.4300,35.3800,35.5200,35.3200,7239200
2002-06-12,40.7000,41.7100,41.8400,40.7000,6502400
2003-03-13,34.1500,34.7500,34.8000,33.6000,9131700
2008-11-19,28.8300,26.9400,28.8400,26.9400,27203200
2003-03-12,32.5800,33.4700,33.5900,32.2600,8731700
2008-11-18,29.0000,28.5000,29.7500,27.5800,29272300
2003-03-11,32.8000,32.4100,35.5200,32.0600,11655600
2014-02-11,47.0400,47.2100,47.3700,46.9100,16222300
2001-09-10,49.2500,50.7000,51.0000,49.0400,8582100
2012-06-18,43.5200,43.8200,44.1300,43.5100,12273800
2000-06-19,55.1300,57.0000,57.6900,54.9400,4819300
2012-03-19,39.4600,39.6500,39.7900,39.3000,10245200
2009-02-12,29.7800,29.8600,29.9000,28.9700,18384100
2016-09-08,53.6000,53.6000,53.8800,53.4300,9005335
2016-09-09,53.1300,51.8200,53.2400,51.7700,18258506
2010-05-06,28.6100,28.0100,28.7200,26.4900,42107900
2010-05-07,27.9800,28.1900,28.7050,27.8000,38892900
2016-09-06,53.0900,53.5100,53.8400,52.8250,17234527
2016-09-07,53.5000,53.7100,53.7900,53.2800,10611407
2012-03-15,39.5000,39.5400,39.5500,39.2700,10102800
2016-09-01,52.1400,52.5600,52.7100,52.0400,9988839
2016-09-02,52.8000,52.8800,53.1400,52.5200,13275072
2012-03-16,39.6200,39.5700,39.6600,39.3600,22440500
2004-09-01,39.1500,39.5000,39.7300,39.0000,7091900
2017-04-17,48.6800,48.8100,49.1000,48.6800,10507780
2009-02-11,30.3500,29.9800,30.4000,29.6300,13400800
2017-04-11,48.5100,48.7000,48.7500,48.3000,13096137
2017-04-10,48.7200,48.5400,48.8800,48.4500,10859384
2017-04-13,48.8000,48.6200,48.9200,48.5700,9486987
2017-04-12,48.5300,48.9200,48.9400,48.3400,10455754
2001-08-31,49.8500,50.0000,50.3000,49.5000,4251000
2017-04-19,49.4400,48.9400,49.5500,48.8900,18837325
2017-04-18,48.6200,49.2200,49.4900,48.5400,19691292
2009-02-17,28.8800,28.2600,29.2500,28.0700,20988800
2004-09-07,40.3500,40.4000,40.7500,40.2900,7016500
2004-09-02,39.7000,39.9500,40.0700,39.4200,8163100
2005-06-30,34.9500,34.5500,34.9500,34.5300,9728500
2005-10-11,30.2500,29.9400,30.2900,29.8500,10367100
2005-10-10,30.6700,30.2900,30.6900,30.1400,11397400
2005-10-13,29.6900,29.8000,30.0700,29.6800,9919900
2005-10-12,30.0000,29.8300,30.2000,29.8100,11422900
2005-10-14,30.0000,29.9000,30.0000,29.7200,10002700
2005-10-17,29.8700,29.4000,29.9100,29.2800,12345900
2005-10-19,29.4100,29.4000,29.4600,29.2800,15434700
2005-10-18,29.3900,29.3500,29.5800,29.2600,17394400
