date,open,close,high,low,volume
2002-08-13,35.2500,35.0800,36.3000,35.0700,2653800
2005-07-21,47.1800,46.5100,47.1800,46.3000,1858100
2015-11-19,84.5500,82.8300,84.7300,81.8500,4455981
2015-11-18,82.9700,84.5800,84.8200,82.7600,4606415
2008-11-14,24.0400,23.4300,24.8800,23.4000,9574000
2008-11-13,23.1700,24.5500,24.7000,22.3500,9847600
2008-11-12,23.2600,23.0000,23.5600,22.7800,5827300
2008-11-11,23.4100,23.6400,24.2900,22.9900,5272800
2008-11-10,23.9200,23.5900,24.3600,23.2700,5143000
2015-11-11,83.7100,81.8200,83.8599,81.7000,6035103
2015-11-10,83.8300,83.5300,84.7900,83.2600,4302631
2015-11-13,80.1800,79.1700,80.8500,79.0400,5702323
2015-11-12,81.6700,80.4000,81.9350,80.1500,5764534
2005-11-07,46.3700,46.6900,46.9200,46.1700,3112600
2015-11-17,82.1600,82.9700,83.7400,82.0200,4723404
2015-11-16,79.0000,81.8400,82.0900,78.9000,5944806
2004-05-27,34.7500,35.2300,35.5400,34.5900,3350100
2004-05-26,34.7600,34.5700,34.9600,34.2700,2484900
2004-05-25,34.2500,34.9500,35.0400,34.0800,2722000
2004-05-24,34.0000,34.1900,34.2900,33.9900,2588000
2017-08-01,80.4300,81.1300,81.4600,80.4300,4770014
2004-05-21,33.6900,33.8300,34.1500,33.6100,1953600
2004-05-20,33.6800,33.6600,34.0000,33.5800,2386300
2000-06-13,28.3800,28.3800,28.5600,28.0000,1113900
2000-06-12,28.5600,28.2700,28.7500,28.0600,1085600
2002-08-12,35.2500,35.5000,35.8400,35.0000,2558200
2000-06-16,28.2500,28.7500,29.1300,28.2500,2117000
2000-06-15,28.8800,29.1900,29.4400,28.6900,1795000
2004-05-28,35.1100,35.0100,35.2400,34.9300,1787600
2016-03-23,82.8200,82.3400,83.0500,82.0800,2114083
2001-06-19,41.6000,41.8500,41.9900,41.0200,1783300
2007-08-24,44.9600,45.1000,45.1000,44.6800,3271300
2011-12-01,33.5800,33.8800,34.4000,33.5800,7140600
2009-10-06,38.3400,38.3100,38.5000,38.1100,7429400
2009-10-07,38.2300,39.1200,39.3000,38.1800,8578700
2008-08-20,36.4800,35.8300,36.4800,35.5800,5702700
2017-02-23,86.4700,86.9900,87.8200,86.3100,3437222
2008-11-17,23.0900,22.6500,23.4200,22.5900,6921800
2006-11-27,40.5700,40.1000,40.6015,40.0100,7775300
2006-01-03,44.6300,45.3900,45.4980,44.3400,5217300
2006-08-16,49.5800,49.3700,49.7500,49.1400,2947100
2015-12-14,81.8000,82.5600,82.8900,81.1500,4180727
