date,open,close,high,low,volume
2002-08-13,50.6000,50.2400,51.8000,50.1800,5497800
2005-07-21,61.9900,61.7800,62.0700,61.3900,3749600
2015-11-19,55.7700,55.9700,56.0699,55.4600,12166085
2015-11-18,55.0600,55.6700,55.7700,54.9650,16612371
2008-11-14,28.2000,28.7300,29.8900,27.6300,69123200
2008-11-13,27.5100,29.0900,29.3400,25.7500,86007600
2008-11-12,28.3200,27.3000,29.4200,27.3000,64430300
2008-11-11,27.9500,28.8300,29.5300,27.9400,64961800
2008-11-10,29.9400,28.6200,30.0300,28.0400,80723300
2015-11-11,56.1300,55.8000,56.1700,55.5100,10808470
2015-11-10,55.3000,55.9100,55.9600,55.2300,13474398
2015-11-13,55.0200,54.5700,55.3600,54.3300,16547827
2015-11-12,55.5200,55.1700,55.7500,55.1700,17551403
2005-11-07,60.0100,60.2900,60.4000,59.9100,3215500
2015-11-17,55.3300,54.9600,55.4850,54.8400,11331933
2015-11-16,54.4800,55.2700,55.2700,54.4000,11955410
2004-05-27,59.5500,59.0500,59.7200,58.6500,6338200
2004-05-26,58.7500,59.1200,59.2500,58.4300,4407700
2004-05-25,58.3300,58.7500,58.8100,58.0900,3836200
2004-05-24,58.4000,58.3300,58.6200,58.0600,3667800
2017-08-01,54.2300,54.0800,54.3900,53.8500,19155690
2004-05-21,58.2000,58.0500,58.5500,57.7000,4835300
2004-05-20,57.7000,58.0000,58.1400,57.6200,4446700
2000-06-13,43.6300,43.7500,43.9400,43.0600,2360600
2000-06-12,43.7500,43.9600,44.3800,43.5000,1711500
2002-08-12,50.6000,51.2500,51.5100,50.4500,4123700
2000-06-16,41.7500,38.3100,41.7500,37.3100,12422600
2000-06-15,43.6300,42.0600,44.1300,41.3100,7485600
2004-05-28,59.0000,58.8000,59.1500,58.4600,3963800
2016-03-23,50.1800,49.7600,50.3300,49.7000,13647680
2001-06-19,43.6600,43.5100,44.7700,43.1100,4624900
2007-08-24,36.4500,36.5700,36.6400,36.1600,16806800
2011-12-01,25.6200,25.6400,25.8600,25.3300,25810900
2009-10-06,28.3400,28.6600,29.0500,28.3100,59068600
2009-10-07,28.4900,29.2600,29.3000,28.3600,41824100
2008-08-20,28.0100,28.9200,29.0100,27.1700,52813300
2017-02-23,58.4300,58.4900,58.5900,58.0600,13841369
2008-11-17,28.1900,27.8300,28.7300,26.7300,64412800
2006-11-27,35.5700,35.2000,35.5700,35.1500,10366100
2006-01-03,63.2000,63.8000,63.9500,62.3900,5508200
2006-08-16,35.2000,35.2300,35.3840,35.0800,7873400
2015-12-14,53.3200,53.2000,53.5700,52.7500,22052128
2015-12-15,53.8300,54.9100,55.1200,53.8100,19056701
2015-12-16,55.2100,55.8500,56.0400,54.8150,21085586
2015-12-17,56.1100,55.4700,56.2400,55.4700,18800520
2002-03-05,49.0900,48.6200,49.3000,48.5200,4572700
2015-12-11,53.4500,53.3100,53.9400,52.9900,17814579
2013-01-07,34.9100,34.7700,34.9700,34.4700,28135100
2002-03-06,48.8700,49.1000,49.3200,48.0000,4057400
2013-01-09,34.8468,34.7100,35.1500,34.6600,24589300
2013-01-08,34.6800,34.7100,34.7900,34.4300,20132600
2015-12-18,55.0000,53.7900,55.1500,53.7900,31424522
2017-08-04,53.6700,52.8400,53.7000,51.9100,44584256
2005-07-25,61.6500,61.8400,62.0800,61.6300,3077000
2014-03-31,49.7500,49.7400,49.9100,49.4600,17901800
2002-06-11,50.2600,49.5000,50.4500,49.5000,3397300
2002-06-10,49.7100,50.0100,50.2600,49.6700,3996200
2001-10-31,40.3800,39.5000,40.3800,39.3500,3665500
2005-05-31,60.7200,60.4100,60.8000,60.4100,3591400
2002-06-12,49.7000,49.9900,50.2200,49.2900,5087500
2003-03-13,45.0500,45.7500,45.8300,44.7000,6107800
2008-11-19,27.1000,24.4000,27.2000,24.2700,86670000
2003-03-12,44.1600,44.1500,44.5900,43.2700,7654200
2008-11-18,27.9700,27.2000,28.3700,25.8300,81619800
2003-03-11,44.4500,44.3400,45.0500,44.1700,7466800
2014-02-11,45.5400,45.9700,46.0900,45.4600,13561100
2001-09-10,44.0000,44.2500,45.2000,44.0000,6569700
