date,open,close,high,low,volume
2002-08-13,48.4100,48.7100,50.6500,47.4500,14450100
2005-07-21,49.7000,49.3900,49.7000,49.1300,12498700
2015-11-19,61.1200,60.7000,61.3600,60.4300,11565970
2015-11-18,60.0400,60.9300,61.0700,59.5500,14875038
2008-11-14,54.4000,52.7100,55.1200,52.5000,25751700
2008-11-13,52.9700,54.9300,54.9500,51.0600,37741900
2008-11-12,53.1500,52.6200,54.7100,52.3200,28374100
2008-11-11,54.9900,54.7500,55.6400,53.1200,23785800
2008-11-10,55.1100,55.1800,55.7300,54.3500,18201900
2015-11-11,58.5000,57.5800,58.7300,57.4700,8689874
2015-11-10,58.3100,58.6800,58.7100,58.3100,7613783
2015-11-13,56.7400,56.4200,57.0600,56.3000,12512234
2015-11-12,57.6400,56.9500,57.7700,56.9200,9549381
2005-11-07,47.9200,48.0500,48.1900,47.7500,12175100
2015-11-17,59.3400,59.9200,60.9000,59.2000,24667384
2015-11-16,56.3900,57.8700,58.0300,56.3600,13317585
2004-05-27,55.5000,55.9700,56.3900,55.5000,9867400
2004-05-26,55.2000,55.2800,55.4800,54.9000,6675900
2004-05-25,54.8400,55.4900,55.5800,54.5100,8567400
2004-05-24,55.2700,54.9900,55.6800,54.4400,9549500
2017-08-01,80.2500,80.5000,80.7300,80.0000,5565862
2004-05-21,55.0900,55.0900,55.7000,54.8400,8585500
2004-05-20,54.7800,54.8400,55.0400,54.0500,7449000
2000-06-13,52.0600,55.0000,55.0000,51.6300,7711700
2000-06-12,54.0000,52.7500,54.3800,51.8100,8089200
2002-08-12,48.2000,48.4100,48.9300,47.6500,7239900
2000-06-16,54.7500,53.8800,56.1300,53.2500,9569700
2000-06-15,55.0600,55.5000,56.1900,54.8100,5682300
2004-05-28,55.9700,55.7300,56.0500,55.7000,6163100
2016-03-23,68.0100,67.4600,68.1000,67.4400,6110647
2001-06-19,49.4700,48.8600,49.4900,48.6300,5176800
2007-08-24,43.1600,43.7400,43.9200,43.1300,17961600
2011-12-01,58.6400,58.6100,59.1500,58.4600,8787300
2009-10-06,49.2300,49.4800,49.6400,49.1300,17582800
2009-10-07,49.5300,49.4900,49.7000,49.3200,11620200
2008-08-20,58.5200,58.3600,58.6500,57.6800,12856900
2017-02-23,72.0000,71.3100,72.5000,71.1600,12799700
2008-11-17,52.7700,51.8100,53.0700,51.1800,26964900
2006-11-27,47.3400,46.6100,47.6900,46.5500,23502500
2006-01-03,46.3600,46.2300,46.6600,45.5700,23413500
2006-08-16,44.5500,44.4300,44.6800,44.0500,16454100
2015-12-14,59.3000,60.3900,60.4400,59.0700,14522962
2015-12-15,60.6400,59.6400,60.8400,59.5700,14615439
2015-12-16,60.1100,60.3000,60.6500,59.7000,9958979
2015-12-17,60.3300,58.9800,60.3300,58.9700,12976095
2002-03-05,62.3200,60.7600,62.5900,60.5500,12356700
2015-12-11,59.0500,59.3600,59.5300,58.8100,9744152
2013-01-07,68.8300,68.4000,68.9200,68.1250,6201400
2002-03-06,60.9700,60.9000,61.4800,60.3000,10196200
2013-01-09,68.6600,68.5700,68.7100,68.2200,5055200
2013-01-08,68.2800,68.5900,68.8900,68.2100,5866900
2015-12-18,58.9300,58.8500,59.4000,58.7500,16234433
2017-08-04,81.0600,80.4800,81.4000,80.2100,7110903
2005-07-25,49.5400,49.4500,49.8700,49.3100,6598700
2014-03-31,76.3500,76.4300,76.7800,76.0200,4695600
2002-06-11,56.8500,56.4500,57.6300,56.3800,11423700
2002-06-10,55.1000,56.4000,56.5800,55.0600,8559100
2001-10-31,50.7000,51.4000,52.3200,50.6500,7034600
2005-05-31,47.4500,47.2300,47.4700,47.1300,11405800
2002-06-12,56.5500,58.3000,58.3000,56.2400,10561800
2003-03-13,48.5000,49.5500,49.5700,48.2100,10811900
2008-11-19,52.5000,51.0000,53.8000,50.7300,29776200
2003-03-12,46.8100,47.5000,47.5000,46.5000,8465800
2008-11-18,51.6800,52.7200,53.5700,50.9700,36628700
2003-03-11,47.4000,46.8000,47.9100,46.8000,6988800
2014-02-11,73.9000,74.8000,74.8500,73.6700,6511200
2001-09-10,45.5000,46.2300,47.0000,45.0400,6726900
2012-06-18,67.4700,68.1200,68.2800,67.4300,7553500
2000-06-19,53.6900,54.3800,55.0000,52.8100,6001700
2012-03-19,60.5800,60.7400,60.8800,60.4600,8251900
2009-02-12,47.9800,48.1300,48.2900,47.0300,22392700
2016-09-08,71.8900,71.8300,72.3200,71.7100,9661224
2016-09-09,71.3200,70.3000,71.5099,70.3000,12172571
2010-05-06,54.3500,53.2300,54.7800,51.5300,24067500
2010-05-07,53.0400,52.4000,53.6200,51.8000,28945100
2016-09-06,72.7600,73.0000,73.0800,72.2000,9569405
